'a'li'ren'ou 阿笠人偶
'a'li'xie'dai'tong'xin'qi 阿笠携带通信器
'ai'gou'yi'zu 爱狗一族
'ai'lin'an'duo'la 艾琳安多拉
'an'jian'jie'jue 案件解决
'an'wan'bi'zhu'yi'zhe 俺完璧主义者
'an'ye'gong'jue'fu'ren'deng'chang 暗夜公爵夫人登场
'an'ying'nan'jue 暗影男爵
'ba'tou'she'de'jian 八头蛇的剑
'bai'se'de'shi'jie 白色的世界
'bai'se'de'xue'hei'se'de'ying'zi 白色的雪黑色的影子
'bai'se'pi'feng 白色披风
'bai'se'shi'jie 白色世界
'bai'zhou 白昼
'bao'fang'de'si'jiao 包房的死角
'bao'ying 报应
'bao'zha'fan'de'mu'biao 爆炸犯的目标
'bei'can'jie'ju'de'xue'shan 悲惨结局的雪山
'bei'dou'xing 北斗星
'bei'feng'yin'de'mi'mi 被封印的秘密
'bei'gai'xie'de'liu'yan 被改写的留言
'bei'hu'gao'zhong 杯户高中
'bei'ji'ta'da'er 贝吉塔达尔
'bei'ji'ta'xing'xing 贝吉塔行星
'bei'jin'zhi'le'de'wen'jian 被禁止了的文件
'bei'ju 悲剧
'bei'ke'jie'de'wang'ling 贝克街的亡灵
'bei'mi'feng'de'qi'che 被密封的汽车
'bei'pan'de'jie'jiao 背叛的街角
'bei'qiu'jin'de'xing'jing 被囚禁的刑警
'bei'shang'de'hu'juan 悲伤的虎卷
'bei'yi'liu'xia'zhuo'zi'de'zhen'xiang 被遗留下桌子的真相
'bei'yi'wang'de'xing'dong'dian'hua 被遗忘的行动电话
'bei'yin'cang'de'qiu 被隐藏的球
'bei'yin'cang'de'zhen'xiang 被隐藏的真相
'bei'you'zhi'gu'cheng 被诱至孤城
'bei'zhe'gai'de'shi'shi 被遮盖的事实
'bei'zu'zhou'de'ming'zhen'tan 被诅咒的名侦探
'bi'ji'ben'xing'dian'zi'di'tu 笔记本型电子地图
'bi'ke'da'mo'wang 比克大魔王
'bi'sai'jie'shu 比赛结束
'bi'sai'kai'shi 比赛开始
'bi'xing'xing'geng'mi'mi 比星星更秘密
'bian'dang'xing'chuan'zhen'ji 便当型传真机
'bian'hua'de'jian'shi 变化的剑士
'bo'shi'de'chu'lian 博士的初恋
'bu'chun'de'da'sou'bu 不纯的大搜捕
'bu'chun'de'da'sou'suo 不纯的大搜索
'bu'ci'er'bie 不辞而别
'bu'guang'cai'de'ying'xiong 不光彩的英雄
'bu'he'qun 不合群
'bu'huai'yi'ma 不怀疑吗
'bu'huo'de'lie'wu 捕获的猎物
'bu'ji'ge'de'mo'shu'shi 不及格的魔术师
'bu'ke'neng'fan'zui 不可能犯罪
'bu'ke'si'yi'de'da'gong 不可思议的打工
'bu'mei'di'dan'xin 步美的担心
'bu'mie 不灭
'bu'ming'de'an'hao 不明的暗号
'bu'neng'cheng'wei'lang'ren'de'ren 不能成为狼人的人
'bu'su'zhi'ke 不速之客
'bu'xie'tiao'de'gan'jue 不协调的感觉
'bu'xing'de'wu'hui 不幸的误会
'cai'hong'tian'tang'bao'po'zha'dan 彩虹天堂爆破炸弹
'cai'zhai'ping'guo'zhi'shi 采摘苹果之时
'cao'zong 操纵
'chao'ren 超人
'chao'yue'shi'kong 超越时空
'chen'mo'de'hang'xian 沉没的航线
'chen'mo'de'jian'shi 沉默的剑士
'chen'mo'de'shi'wu'fen'zhong 沉默的十五分钟
'chen'shui'de'xiao'wu'lang 沉睡的小五郎
'chi'jing'de'guo'qu 赤井的过去
'chi'ma'de'mu'ji'zhe 赤马的目击者
'chi'ma'de'zhu'ren 赤马的主人
'chi'ma'zhi'ying 赤马之影
'chi'ren'de'fang'wu 吃人的房屋
'chong'zhuang'wang'zi 冲撞王子
'chu'dong'de'qin'xian 触动的琴弦
'chu'lian'zai'hui'bie'li 初恋再会别离
'chui'zi'de'yuan'xing 锤子的原形
'chun'bai 纯白
'chun'tian'dao'le 春天到了
'ci'wu'lang'fei'bi'wu'lang 此五郎非彼五郎
'cong'ta'dao'ta 从他到她
'cong'tian'guo'dao'di'yu 从天国到地狱
'cong'tian'kong'dao'di'mian 从天空到地面
'cong'zi'sha'dao'ta'sha 从自杀到他杀
'cui'mian'wa'si 催眠瓦斯
'cuo'wu'de'dian'hua 错误的电话
'da'bu'kai'de'chuang 打不开的窗
'da'er'bei'ji'ta 达尔贝吉塔
'dan'pian'yan'jing 单片眼镜
