'chen'tan'long'she 沉檀龙麝
'dao'jia 倒架
'fu'sen 富森
'hui'an'xi 惠安系
'huo'chen 活沉
'ming'mu'xiang'shi 名木香释
'ming'xiang'xiao'jie 名香小姐
'nei'shang'shu'zhi'gou 内伤树脂沟
'pu'mu'ming'xiang 朴木名香
'pu'mu'xian'sheng 朴木先生
'sheng'jie 生结
'shu'jie 熟结
'shui'chen'xiang 水沉香
'tu'chen 土沉
'xing'zhou'xi 星洲系
'ya'zhuang 芽庄
'yi'chen 蚁沉
'yue'nan'hong'tu 越南红土
