'a'rui'si'kuang'bao 阿瑞斯狂暴
'ao'tuo 奥托
'ba'chong'ying 八重樱
'ba'si'ke'wei'er'de'lie'quan 巴斯克维尔的猎犬
'bai'hua 白花
'beng'huai 崩坏
'de'li'sha'a'bo'ka'li'si 德丽莎阿波卡利斯
'di'er'ji 第二季
'di'yi'ji 第一季
'fan'ju 番剧
'he'mu'de'zhong'nian 赫姆的重碾
'hei'yuan 黑渊
'hei'yuan'bai'hua 黑渊白花
'jue'dao'ying'xiao'ye 绝刀樱咲夜
'ke'luo'yi 科罗伊
'ling'dao'ying'chui'xue 灵刀樱吹雪
'qi'ge'fei'ka'si'lan'na 齐格飞卡斯兰娜
'qi'ya'na'ka'si'lan'na 琪亚娜卡斯兰娜
'qian'bei 乾杯
'sai'xi'li'ya'sha'ni'ya'te 塞西莉亚沙尼亚特
'san'wu 三无
'shao'qian 少前
'wu'liang'ta'ji'zi 无量塔姬子
'xi'er'fu'le'ai 希儿芙乐艾
'xi'xue'zu'zhou'tuo'rui'duo'diao 吸血诅咒妥芮朵雕
'xing'ma'er 杏玛尔
'xing'zhi'ren 星之人
'yao'dao'ying'ran'xue 妖刀樱染血
'yao'ye'ji 耀夜姬
