'bo'mao 驳帽
'ce'gu 侧骨
'cha'dai 插袋
'che'jiao'cha 车脚叉
'da'zao 打枣
'dai'bu 袋布
'dai'chun 袋唇
'dai'shu'dai 袋鼠袋
'dai'tie 袋贴
'dan'zhen 单针
'di'lang 底浪
'ding'er'zai 定耳仔
'ding'wei 定位
'feng'jiao'kou 封脚口
'feng'su 封苏
'feng'xiu'kou 封袖口
'ha'su 哈苏
'he'ding 合订
'hou'dai 后袋
'hou'fu 后幅
'hou'lang 后浪
'hou'ling 后领
'ji'tou 机头
'jia'wei 甲位
'jia'xian 假线
'jian'tong 肩筒
'jian'xian 间线
'jiao'kou 脚口
'kai'jian'tong 开肩筒
'kai'tong 开筒
'kan'jiao'kou 冚脚口
'kan'ling 冚领
'kan'mao'bian 冚帽边
'kan'xiu'kou 冚袖口
'kuan'hao 款号
'la'bo 拉膊
'la'kun'tiao 拉捆条
'luo'dai'bu 落袋布
'luo'dai'gai 落袋盖
'luo'nei'pu 落内朴
'luo'wen 罗纹
'luo'xi'shui'mai 落洗水唛
'luo'zhi'dai 落织带
'mai'jia 埋甲
'men'jin 门襟
'nei'tie 内贴
'niu'jiao'xiu 牛角袖
'qian'dai 前袋
'qian'fu 前幅
'qian'hou'fu 前后幅
'qian'hou'lang 前后浪
'qian'hou'ling 前后领
'qian'lang 前浪
'qian'ling 前领
'qun'jiao 裙脚
'qun'yao 裙腰
'san'kou 散口
'shang'ling 上领
'shang'mao 上帽
'shang'xiu 上袖
'shuang'zhen 双针
'tie'dai 贴袋
'xiu'kou 袖口
'xiu'zi'kou 修子口
'you'bian'bo 右边膊
'yun'er'zai 运耳仔
'zhang'gen 丈根
'zhang'jin 丈筋
'zhang'zai 章仔
'zhu'mai'yan'zhi 主唛烟治
'zhuang'se 撞色
'zuo'bian'bo 左边膊
