'a'lao'di 阿劳迪
'a'nuo'de 阿诺德
'ao'jiao'shou'si'pei'duo 傲娇受斯佩多
'bai'zheng 白正
'chu'dai'yun'wu 初代云雾
'chu'dai'yun'wu 初代雲霧
'chu'dai'yun'wu'sai'gao 初代云雾赛高
'chu'dai'yun'wu'wang'dao 初代云雾王道
'chu'dai'yun'wu'yong'heng 初代云雾永恒
'chu'yun'wu 初云雾
'chu'yun'wu 初雲霧
'chu'yun'wu'bu'ke'ni'bu'ke'chai 初云雾不可逆不可拆
'chu'yun'wu'sai'gao 初云雾赛高
'di'nuo'zhi'chi'yun'hai 迪诺支持云骸
'feng'ma 风玛
'gang'bai 纲白
'hai'shou 骸受
'hai'zi 骸子
'liu'dao'hai'zong'shou 六道骸总受
'ma'que'feng'li 麻雀凤梨
'quan'jia'yun'wu 全家云雾
'que'ge 雀哥
'si'pei'de 斯佩德
'si'pei'duo 斯佩多
'si'pei'duo'zong'shou 斯佩多总受
'tao'niang 桃娘
'tao'niang'si'pei'duo 桃娘斯佩多
'wu'jia'quan'jia'shou 雾家全家受
'wu'shou 雾受
'xiao'hai 小骸
'yao'mei'shou'liu'dao'hai 妖媚受六道骸
'yun'gong 云攻
'yun'gong'hai'shou 云攻骸受
'yun'gong'wu'shou 云攻雾受
'yun'gong'wu'shou'shi'zhen'xiang 云攻雾受是真相
'yun'hai 云骸
'yun'hai 雲骸
'yun'hai'sai'gao 云骸赛高
'yun'hai'wan'sui 云骸万岁
'yun'hai'wang'dao'bu'ke'ni'bu'ke'chai 云骸王道不可逆不可拆
'yun'jia'quan'jia'gong 云家全家攻
'yun'que'bie'niu'gong 云雀别扭攻
'yun'que'hai 云雀骸
'yun'que'hai 雲雀骸
'yun'wu 云雾
'yun'wu 雲霧
'zheng'bai 正白
