'bai'qiu 白球
'da'mang'nei 大忙内
'dui'nei'zong'gong'xian'en'jing 对内总攻咸恩静
'en'jing'ou'ba 恩静偶吧
'fu'ren 夫人
'gong'zhu 公主
'han'en'jing 含恩静
'han'guo'zui'bai'bian'nv'tuan 韩国最百变女团
'hua'ye 花爷
'huang'guan'tuan 皇冠团
'jia'mang'nei 假忙内
'jing'ye 静爷
'ju'li'fu'ren 居丽夫人
'lan'bao 蓝宝
'lan'bo 蓝波
'li'ju'li 李居丽
'liu'hua'ying 刘花英
'mang'nei 忙内
'mei'ren 美人
'meng'yan 萌妍
'nv'shen 女神
'pi'zi'min 痞子敏
'pi'zi'yan 痞子妍
'ping'feng 屏风
'pu'su'yan 朴素妍
'pu'xiao'min 朴孝敏
'pu'zhi'yan 朴智妍
'quan'bao'lan 全宝蓝
'quan'neng'min 全能敏
'ru'yi'dao'ka'ka'ka 汝矣岛咔咔咔
'shan'xi'nv 删戏女
'shi'li'wa'er 实力娃儿
'shui'en'jing 睡恩静
'shui'shen 睡神
'su'yan'nv'wang 素妍女王
'tong'yan'wa'wa 童颜娃娃
'yan'bao 妍宝
