'ban'li'shi'zhuan'wan 半犁式转弯
'chao'ji'da'hui'zhuan 超级大回转
'da'hui'zhuan 大回转
'dan'ban'heng'hua 单板横滑
'dan'ban'xie'hua 单板斜划
'heng'hua 横滑
'heng'hua'jiang 横滑降
'lan'che 缆车
'li'shi'sha'che 犁式刹车
'li'shi'zhi'dong 犁式制动
'li'shi'zhuan'wan 犁式转弯
'shuang'ban'hua'xue 双板滑雪
'xiao'hui'zhuan 小回转
'xie'hua 斜划
'xie'hua'jiang 斜滑降
'xue'ban 雪板
'xue'ju 雪具
'xue'qiao 雪橇
'xue'zhang 雪仗
'zhi'ban'hua'xue 直板滑雪
'zhi'shi'zhuan'wan 直式转弯
'zhi'xian'hua'jiang 直线滑降
