'a'bu'feng 阿部丰
'a'li'bo'shi 阿笠博士
'ai'de'hua'ke'luo 爱德华克洛
'ai'nei'li'cai 爱内里菜
'an'ye'gong'jue 暗夜公爵
'ba'zhong'zi 八重子
'bai'ma'tan 白马探
'bai'niao'ren'san'lang 白鸟任三郎
'ban'jing'quan'shui 坂井泉水
'bei'er'mo'de 贝尔摩得
'ben'tang'ying'hai 本堂瑛海
'ben'tang'ying'you 本堂瑛佑
'cang'mu'ma'yi 仓木麻衣
'cha'feng'lin 茶风林
'cha'mu'shen'tai'lang 茶木神太郎
'chang'dao'mao'xiong 长岛茂雄
'chi'bo'jing'hua 池波静华
'chi'jing'xiu'yi 赤井秀一
'chi'mu'ying'xiong 赤木英雄
'chi'tian'xiu'yi 池田秀一
'chong'shi'mao 冲矢昴
'chong'tian'yi 冲田一
'chong'ye'yang'zi 冲野洋子
'da'gu'yu'jiang 大谷育江
'da'long'jing'guan 大泷警官
'da'ying'he'yang 大鹰和洋
'dao'ben'xu'mei 岛本须美
'di'yuan 荻原
'du'song'zi'jiu 杜松子酒
'er'jie'tang 二阶堂
'fei'ying'li 妃英理
'feng'li'ya 峰莉亚
'fu'bu'jing'hua 服部静华
'fu'bu'ping'cang 服部平藏
'fu'bu'ping'ci 服部平次
'fu'sha'hui 芙莎绘
'fu'te'jia 伏特加
'gao'dao'ya'luo 高岛雅罗
'gao'mu'she 高木涉
'gao'shan'nan 高山南
'gen'an'zheng'shu 根岸正树
'gong'ben'you'mei 宫本由美
'gong'cun'you'zi 宫村优子
'gong'teng'xin'yi 工藤新一
'gong'teng'you'xi'zi 工藤有希子
'gong'teng'you'zuo 工藤优作
'gong'ye'ai'lin'na 宫野爱琳娜
'gong'ye'ming'mei 宫野明美
'gong'ye'zhi'bao 宫野志保
'gu'chuan'deng'zhi'fu 谷川登志夫
'guai'dao'ji'de 怪盗基德
'guang'tian'ya'mei 广田雅美
'gui'shan'xiu'zhi 桧山修之
'gui'wan 鬼丸
'hei'yu'dao'yi 黑羽盗一
'hei'yu'kuai'dou 黑羽快斗
'heng'gou'can'wu 横沟参悟
'heng'gou'zhong'wu 横沟重悟
'hui'yuan'ai 灰原哀
'ji'tian'bu'mei 吉田步美
'jiang'hu'chuan'ke'nan 江户川柯南
'jing'ji'zhen 京极真
'jing'shang'he'yan 井上和彦
'jue'chuan'liang 崛川亮
'ke'li'si 克里斯
'ku'ai'jiu 苦艾酒
'ku'xiu'xing 堀秀行
'ku'zhi'ji 堀之纪
'li'chuan'qian'he 立川千鹤
'li'mu'wen'yan 立木文彦
'lin'yuan'hui'mei 林原惠美
'ling'mu'ling'zi 铃木绫子
'ling'mu'peng'zi 铃木朋子
'ling'mu'shi'lang 铃木史郎
'ling'mu'yuan'zi 铃木园子
'liu'tian 六田
'long'she'lan 龙舌兰
'lu'ye'xiu'er 鹿野修二
'lu'zhao'sheng 鹭沼升
'ma'sheng'gui'er 麻生圭二
'mao'li'lan 毛利兰
'mao'li'xiao'wu'lang 毛利小五郎
'mu'mu'lv 目暮绿
'mu'mu'shi'san 目暮十三
'nei'tian'ma'mei 内田麻美
'pi'si'ke 匹斯可
'pian'tong'feng 片桐枫
'qi'wei 七尾
'qian'tian'cong 前田聪
'qian'ye'yi'shen 千叶一伸
'qiang'tian'yu'mei 枪田郁美
'qin'jiu 琴酒
'qing'shan'gang'chang 青山刚昌
'san'chuan 三船
'san'ze 三泽
'san'zhi'xi'xia 三枝夕夏
'sen'gu'di'er 森谷帝二
'sha'lang 莎朗
'shan'an'rong 山岸荣
'shan'ben'you 杉本优
'shan'cun'xing'shi 山村刑事
'shan'kou'sheng'ping 山口胜平
'shan'qi'he'jia'nai 山崎和佳奈
'shang'mu'cai'shi 上木彩矢
'shen'gu'ming 神谷明
'shen'niao'die'zi 神鸟蝶子
'sheng'shan'xian'san 枡山宪三
'sheng'you 声优
'shui'wu'ling'nai 水无伶奈
'si'jing 四井
'song'ben'qing'chang 松本清长
'song'ben'xiao'bai'he 松本小百合
'song'jing'cai'ying'zi 松井菜樱子
'song'tian'zhen'ping 松田阵平
'tang'wu'dun'zi 汤屋墩子
'teng'feng'you'xi'zi 藤峰有希子
'ti'ze'heng'fu 鹈泽恒夫
'tian'zhong'xiu'xing 田中秀幸
'tie'jian'shi'lang 铁剑十郎
'tie'ren 铁刃
'wan'chuan'ci'lang 丸传次郎
'wu'tiao 五条
'xi'cun'jing'bu 西村警部
'xia'chuan'mei'na 下川美娜
'xiao'dao'yuan'tai 小岛元太
'xiao'quan'hong'zi 小泉红子
'xiao'shan'mo'mei 小山茉美
'xiao'song'wei'bu 小松未步
'xin'chu'zhi'ming 新出智明
'xin'ming'xiang'bao'li 新名香保里
'xu'fang'xian'yi 绪方贤一
'yan'ju'you'xi'zi 岩居由希子
'yan'ze'jian'ren 盐泽兼人
'yi'tiao'cheng'you'zi 一条成优子
'yi'zhi 一枝
'yi'zhi 伊织
'ying'ting'you'si 樱庭佑司
'yuan'du'xiu'lang 猿渡秀朗
'yuan'gu'guang'yan 圆谷光彦
'yuan'shan'he'ye 远山和叶
'yuan'shan'jing'guan 远山警官
'zhan'mu'si'bu'lai'ke 詹姆斯布莱克
'zhao'yuan'yi'yi'lang 沼渊已一郎
'zhong'sen'qing'zi 中森青子
'zhong'sen'yin'san 中森银三
'zhong'song'ming'nan 重松明男
'zhu'bao'man'xiong 猪保满雄
'zhu'di'sheng'ti'mi'li'weng 茱蒂圣提米利翁
'zuo'shan'ming'zi 佐山明子
'zuo'teng'mei'he'zi 佐藤美和子
