'ai'ma 艾玛
'ai'si'mei'la'da'shi'xue'dong'dao 艾丝美拉达式血冻道
'ban'kou'da'zhu 阪口大助
'ben'jie'ming 本杰明
'bu'la'ke 布拉克
'bu'lei'ge'li'de'liu'xue'dou'shu 布雷格利德流血斗术
'chai'tian'xiu'sheng 柴田秀胜
'da'zhong'ming'fu 大冢明夫
'dao'ge'ha'mo 道格哈默
'de'er'de'luo'bu'luo'di 德尔德罗布罗迪
'ding'gong'li'hui 钉宫理惠
'dou'liu'xue'fa 斗流血法
'duo'luo'wang'fei'mu'tuo 堕落王飞姆托
'gao'su'ti'ji 高速踢技
'ge'wu'li'ji 各务立基
'gong'ben'chong 宫本充
'gong'ye'zhen'shou 宫野真守
'he'er'sha'lei'mu'zi'luo'te 赫尔沙雷姆兹罗特
'huai'te 怀特
'jian'mie'guai'wu 歼灭怪物
'jue'wang'wang 绝望王
'ke'lao'si 克劳斯
'lang'ren 狼人
'lao'ban 老板
'lei'ou'na'lu'de'wo'qi 雷欧纳鲁德渥奇
'liao'ya'shou'lie'zhe 獠牙狩猎者
'luo'shou'zhi'wai'wei'jian'yan 裸兽汁外卫贱严
'lv'chuan'guang 绿川光
'mi'mi'jie'she'lai'bu'la 秘密结社莱布拉
'mi'xie'la'wo'qi 米歇拉沃奇
'mu'nei'xiu'xin 木内秀信
'nei'tian'xiong'ma 内田雄马
'ni'jia 妮嘉
'pa'te'li'ke 帕特里克
'pian'zhi'wang'ya'li'ji'la 偏执王亚莉基菈
'qi'de'ao'bu'lai'en 齐德奥布赖恩
'qian'huang 钱皇
'shang'tian'li'nai 上田丽奈
'shen'zhi'yi'yan 神之义眼
'shi'tian'zhang 石田彰
'shi'zhong'yun'sheng 石冢运升
'shui'shu'nai'nai 水树奈奈
'teng'yuan'qi'zhi 藤原启治
'wei'wei'an 薇薇安
'xiao'lin'you 小林优
'xiao'shan'li'ye 小山力也
'xing'lv'li'mei 兴梠里美
'xue'dan'ge'dou'ji 血弹格斗技
'xue'jie'juan'shu 血界眷属
'xue'jie'zhan'xian 血界战线
'yin'he'wan'zhang 银河万丈
'yin'su'yuan'suo'ni'ke 音速猿索尼克
'you'jia'nai 由加奈
'ze'cheng'mei'xue 泽城美雪
'zha'pu'lun'fu'luo 扎普伦弗洛
'zhe'li'ai 折笠爱
'zhong'jing'he'zai 中井和哉
