'a'lin 阿麟
'ai'mi'er 艾蜜儿
'bian'shen'xiao'mo'wang 变身小魔王
'bing'ruo'si'ba'da 病弱斯巴达
'cai'xu'kun 蔡徐坤
'fan'pai'jue'yuan'ti 翻牌绝缘体
'fei'tie'xing'zhe 废铁行者
'gu'lang 孤狼
'jian'chi'hu 剑齿虎
'jiang'yu'wei 蒋毓玮
'lin'ye 林夜
'lu'yang'yang 卢洋洋
'mao'qin 猫芹
'nai'kun 奶坤
'qin'jie 芹姐
'qing'chun'he'er'meng 青春荷尔蒙
'qing'zi'xue'yuan 青姿学园
'ren'wo'xing 任我行
'ren'xiao'jie 任小姐
'ren'xiao'qin 任小芹
'san'fen'qiu'xiao'shuai'ge 三分球小帅哥
'shao'yi 少宜
'shen'shao'yi 沈少宜
'shu'sha 舒莎
'shu'zhe 舒哲
'si'ba'da 斯巴达
'tie'xue'gu'lang 铁血孤狼
'tu'cao'bu'dao'shi 吐槽补刀师
'wang'xuan 王瑄
'wang'zi'yue 王咨越
'xi'gong'niang'niang 西宫娘娘
'xiao'ba'wang 小霸王
'xiao'qin 小芹
'xiao'qin'xiao'jie 小芹小姐
'xing'fu'bu'jian'dan 幸福不简单
'yang'jing'cheng 杨景诚
'ye'lin 叶麟
'ye'lin'ge 叶麟哥
'ye'lin'tong'xue 叶麟同学
'ye'lin'xue'zhang 叶麟学长
'zha'ye 渣叶
'zhao'huan'shou 召唤兽
'zheng'yi'shi'zhe 正义使者
'zhong'er'bing'wan'qi 中二病晚期
