'ai'gui 矮柜
'ai'lao 矮老
'ai'ta 矮榻
'an'sun 暗榫
'an'xing'jie'gou 案型结构
'an'yang'chu'tu'sui'dai'ci'deng 安阳出土隋代瓷凳
'ao'xian 凹线
'ba'bu'chuang 拔步床
'ba'wang'cheng 霸王枨
'ba'xian'zhuo 八仙桌
'bai'bao'xiang 百宝箱
'bai'jia'zhu 白夹竹
'bai'mu 柏木
'bai'ri'qing 百日青
'bai'tan 白檀
'ban'cai 板材
'ban'chi 板尺
'ban'chu'tui 半出腿
'ban'chuang 板床
'ban'fang'cai 板方材
'ban'shi'jia'ju 板式家具
'ban'sun 半榫
'ban'zhuo 半桌
'bao'ban 薄板
'bao'hua'ban 刨花板
'bao'hua'ban'bian'yuan'he'ding'dian'jia'gu 刨花板边缘和定点加固
'bao'hua'ban'jia'ju 刨花板家具
'bao'hua'mo'ya'cheng'xing'jia'ju 刨花模压成型家具
'bao'hua'mo'ya'zhi'pin 刨花模压制品
'bao'jian'sun 抱肩榫
'bao'jiao 包角
'bao'jiao'ta'jiao 包角踏脚
'bao'mu'xiang'qian'jia'ju 薄木镶嵌家具
'bao'xing'bao'hua'ban 薄型刨花板
'bao'zi 刨子
'bao'zuo 宝座
'bei'ban 背板
'bei'wei'shuang'ren'ta 北魏双人榻
'bi'geng'yi 笔梗椅
'bi'guan'lan'gan'chuang 笔管栏杆床
'bi'gui 壁柜
'bi'jia 壁架
'bi'zhuo 壁桌
'bian'zhong'da'tou'dian'zhu 变种大头典竹
'bing'pan'yan 冰盘沿
'bo'gu'jia 博古架
'bu'bu'gao 步步高
'bu'zhang 步障
'cao'kou 槽口
'cao'pian 槽片
'ceng'ban'jia'ju 层板家具
'ceng'shi'tuo'ya 层式托牙
'cha'dan'xiang 茶担箱
'cha'ji 茶几
'cha'jian'sun 插肩榫
'cha'jiao 插角
'cha'ping 插屏
'chai'zhuang'jia'ju 拆装家具
'chan'chuang 禅床
'chan'deng 禅凳
'chan'deng 禅灯
'chan'di 铲地
'chang'bian'duan'mo 长边短抹
'chang'duan'sun 长短榫
'che'jiao 车脚
'che'wei'zi 车围子
'cheng'du'xuan'tong'yuan'zhuo 成都宣统圆桌
'cheng'jiao 承脚
'cheng'wan 承挽
'cheng'xing'jiao'he'ban 成型胶合板
'chi'chuang 痴床
'chi'du 尺度
'chi'shui'mu 赤水木
'chou'ti 抽替
'chu'bian 出边
'chuan'bai 川柏
'chuan'dai 穿带
'chuan'shao 穿梢
'chuan'tong'jia'ju 传统家具
'chuang'qin 床寝
'chuang'tou'gui 床头柜
'chun'deng 春凳
'chun'qiu'mu'an 春秋木案
'chun'qiu'mu'ji 春秋木几
'ci'zhi'jia'ju 瓷质家具
'ci'zhu 慈竹
'cuan'bian'zuo'fa 攒边作法
'cuan'dou 攒斗
'da'bian'he'mo'tou 大边和抹头
'da'chuang 大床
'da'fang 大方
'da'jiao'zi'deng 搭脚仔凳
'da'li'shi 大理石
'da'nao 搭脑
'da'tou'dian'zhu 大头典竹
'da'wa'er 打洼儿
'da'yi 大椅
'dan'ban'ceng'ya'jia'ju 单板层压家具
'dan'kao 单靠
'dan'yi 掸椅
'dan'zhu 单竹
'dan'zhu 淡竹
'dang'ban 档板
'dao'dun'jia 刀墩架
'deng'gua'yi 灯挂椅
'deng'qing 灯檠
'deng'tai 灯台
'deng'zhuo 灯桌
'di'shui'chuang 滴水床
'dian'shi'gui 电视柜
'diao'hua'zuo 雕花作
'diao'huan 吊环
'diao'pai 吊牌
'diao'si'qiu'zhu 吊丝球竹
'diao'tou 吊头
'die'ji 蝶几
'die'luo'xiang'ji 叠落香几
'die'sha 迭刹
'ding'xiang'bao'hua'ban 定向刨花板
'ding'xiang'li'gui 顶箱立柜
'dou'ban'nan 豆瓣楠
'dou'liao 兜料
'dou'zhang 斗帐
'du'shu'zhuo 读书桌
'du'shui 独睡
'du'zuo 独座
'duan'mu 椴木
'duan'sui'zhu 短穗竹
'dun'mu 墩木
'duo'bao'jia 多宝架
'duo'bian 垛边
'duo'ceng'jiao'he'wan'qu'mu'jia'ju 多层胶合弯曲木家具
'e'bo 鹅脖
'fan'men 翻门
'fang'cai 方材
'fang'cai 枋材
'fang'jiao'gui 方角柜
'fang'xian'zhu 方线珠
'fang'zhuo 方桌
'fang'zuo 方作
'fei'chuan'tong'yuan'liao'bao'hua'ban 非传统原料刨花板
'fei'cui'ping 翡翠屏
