'a'bi'la'ma'le'da 阿比拉玛勒达
'a'bu'ji'zhi 阿部记之
'a'bu'wei'luo 阿布维洛
'a'er'tu'luo 阿尔图罗
'a'fei 阿绯
'a'jin 阿近
'a'lai'sang'duo'luo'de'er 阿莱桑多罗德尔
'a'pa'qi 阿帕契
'a'san'jing 阿散井
'a'san'jing'lian'ci 阿散井恋次
'ai'chuan'luo'wu 爱川罗武
'ai'chuan'luo'wu'yuan'qi'fan'dui'dui'zhang 爱川罗武原七番队队长
'ai'duo'la'de 艾多拉德
'ai'lu'lu'ye'li 艾鲁鲁耶利
'ai'si'ling'ka 艾斯灵卡
'ai'xin'qiang 爱心枪
'ai'xin'wu 爱心屋
'an'wei'da'fu 岸尾大辅
'an'yuan'yang'gui 安元洋贵
'ao'si'ka'huang'jin'di'la'luo'sha 奥斯卡皇金迪拉洛沙
'ba'qian'liu 八千流
'ba'shi'qian 八十千
'ba'tou'yan'da'she 八头炎大蛇
'ba'wa'ba'wa 巴瓦巴瓦
'ba'wen'te 巴温特
'bai'bu'lan'gan 百步阑干
'bai'cao'mei 白草莓
'bai'ci'du'chang 百刺毒娼
'bai'da 白打
'bai'dao 白刀
'bai'fu 白伏
'bai'le'gang 拜勒岗
'bai'lei 白雷
'bai'li 白梨
'bai'lian 白涟
'bai'lian 白莲
'bai'lian'shuan 百连闩
'bai'lu 白露
'bai'lu'wei'shuang 白露为霜
'bai'qiang'wei'zhi'xing 白蔷薇之刑
'bai'ren 白刃
'bai'she'ji 白蛇姬
'bai'tao 白桃
'bai'yi'hu 白一护
'bai'yi'lu 白一露
'bai'zai 白哉
'bai'zhou 白粥
'ban'mu'yi'jiao 斑木一角
'ban'mu'yi'jiao 斑目一角
'ban'xu 半虚
'bang'de 邦德
'bao'feng'nan'jue 暴风男爵
'bao'wang 豹王
'bao'wang'zhi'zhao 豹王之爪
'bei'luo'na 贝罗纳
'ben'jiang'qian'he 本匠千鹤
'ben'ti 本体
'ben'tian'gui'zi 本田贵子
'beng'dian 崩点
'beng'yu 崩玉
'bi'er'si'tan 毕尔斯坦
'bi'ju'ru'dao 比巨入道
'bi'lu'dou'nv 碧鹿斗女
'bian'cheng'sha'ba'shi'bo 变成沙吧石波
'bing'long'xuan'wei 冰龙旋尾
'bing'long'xuan'wei'jue'kong 冰龙旋尾绝空
'bing'lun'wan 冰轮丸
'bing'tian'bai'hua'zang 冰天百华葬
'bing'xue'xi'zhan'po'dao 冰雪系斩魄刀
'bo'cun 狛村
'bo'cun'dui'zhang 狛村队长
'bo'cun'zuo'zhen 狛村左阵
'bo'shu'zuo'zhen 狛树左阵
'bu'jing'du'le 不精独乐
'bu'liang'shang'ren 不良商人
'bu'lu'ba'ai 布鲁巴艾
'cai'hong'yan'ling 彩虹言灵
'cang'huo'zhui 苍火坠
'cang'jian'pao 苍剑炮
'cang'jiao'wang'zi 苍角王子
'cang'ren 藏人
'cao'lu 草鹿
'cao'lu'ba'qian'liu 草鹿八千流
'cao'lu'ba'qian'liu 草鹿八千留
'cao'mei 草莓
'cao'mei'jun 草莓君
'cen'wu'bai'ren 叄舞白刃
'cha'du 茶渡
'cha'du'tai'hu 茶渡泰虎
'chai'tian 柴田
'chai'tian'yong'yi 柴田勇一
'chang'dao'xiong'yi 长岛雄一
'chang'deng'gao'shi 长嶝高士
'che'gu'shan'zhi'jie 车谷善之介
'che'lun'tie'yan 车轮铁燕
'cheng'tian'jian 成田剑
'cheng'yi 成一
'chi'huo'pao 赤火炮
'chi'huo'pao'bai'lei 赤火炮白雷
'chi're'de'xiao'chui 炽热的小锤
'chi'yan'dun 赤烟遁
'chou'wu'yu 紬屋雨
'chu'dai'si'shen'dai'li 初代死神代理
'chu'gen 雏根
'chu'gen'xian'sheng 雏根先生
'chu'qu'zhi'beng 初曲止绷
'chu'sen 雏森
'chu'sen'tao 雏森桃
