'ba'yue'you 八月酉
'ba'zuo 八座
'ba'zuo'xing 八座星
'bai'hu 白虎
'bai'hu'xing 白虎星
'bai'la'jin 白腊金
'bai'lu 白露
'ben'gua 贲卦
'bi'gua 比卦
'bi'shang'tu 壁上土
'bing'chen 丙辰
'bing'fu 病符
'bing'fu'xing 病符星
'bing'nian'sheng'ren 丙年生人
'bing'shen 丙申
'bing'tong'ji'chang'lian 丙同机昌廉
'bing'wu 丙午
'bing'xin'hua'shui 丙辛化水
'bing'xu 丙戌
'bing'yin 丙寅
'bing'zi 丙子
'bo'gua 剥卦
'bo'shi 博士
'bo'shi'shi'er'shen'sha 博士十二神煞
'bo'shi'xing 博士星
'bu'jiao'bu'tong 不交不通
'cai'bo'gong 财帛宫
'cai'bo'gong'hua'ji 财帛宫化忌
'cai'bo'gong'hua'ke 财帛宫化科
'cai'bo'gong'hua'lu 财帛宫化禄
'cai'bo'gong'hua'quan 财帛宫化权
'cai'bo'gong'zi'hua 财帛宫自化
'cai'bo'gong'zi'hua'ji 财帛宫自化忌
'cai'bo'gong'zi'hua'ke 财帛宫自化科
'cai'bo'gong'zi'hua'lu 财帛宫自化禄
'cai'bo'gong'zi'hua'quan 财帛宫自化权
'cai'fu'xian 财福线
'cai'lu'jia'ma 财禄夹马
'cai'lu'jia'ma'ge 财禄夹马格
'chai'chuan'jin 钗钏金
'chang'liu'shui 长流水
'chang'sheng 长生
'chang'sheng'shi'er'shen 长生十二神
'chang'sheng'shi'er'xing 长生十二星
'chen'long 辰龙
'chen'shu'xiang'chong 辰戍相冲
'chen'tuan'lao'zu 陈抟老祖
'chen'xu'yan'man'si'zhong'lou 辰戌烟满寺钟楼
'cheng'qiang'tu 城墙土
'cheng'wei'zhi'ye 诚威治业
'cheng'xin'li'shen 诚信立身
'cheng'xin'tuan'jie 诚信团结
'chou'niu 丑牛
'chou'wei'xiang'chong 丑未相冲
'chu'shu 处暑
'chun'fen 春分
'chun'ji'mu'dang'ling 春季木当令
'chun'zheng'yi'yang 纯正以养
'cui'gua 萃卦
'da'chu'gua 大畜卦
'da'de'shan'ren 大德山人
'da'guo'gua 大过卦
'da'hai'shui 大海水
'da'han 大寒
'da'hao 大耗
'da'hao'xing 大耗星
'da'lin'mu 大林木
'da'liu'ren 大六壬
'da'shu 大暑
'da'xi'shui 大溪水
'da'xue 大雪
'da'yi'tu 大驿土
'da'you'gua 大有卦
'da'zhuang'gua 大壮卦
'dan'chi'gui'chi 丹墀桂墀
'dan'chi'gui'chi'ge 丹墀桂墀格
'dang'ling'zhe'wang 当令者旺
'dao'sheng'yi 道生一
'di'feng'sheng 地风升
'di'huo'ming'yi 地火明夷
'di'jie 地劫
'di'jie'xing 地劫星
'di'lei'fu 地雷复
'di'shan'qian 地山谦
'di'shui'shi 地水师
'di'tian'tai 地天泰
'di'wang 帝旺
'di'ze'lin 地泽临
'di'zhi 地支
'di'zhi'pei'sheng'xiao 地支配生肖
'di'zhi'xiang'chong 地支相冲
'diao'ke 吊客
'diao'ke'xing 吊客星
'ding'chou 丁丑
'ding'gua 鼎卦
'ding'hai 丁亥
'ding'mao 丁卯
'ding'nian'sheng'ren 丁年生人
'ding'ren'hua'mu 丁壬化木
'ding'si 丁巳
'ding'wei 丁未
'ding'yin'tong'ji'ju 丁阴同机巨
'ding'you 丁酉
'dong'ji'shui'dang'ling 冬季水当令
'dong'jing'shi'shi 动静适时
'dong'zhi 冬至
'dui'gua 兑卦
'dui'wei'ze 兑为泽
'dun'gua 遁卦
'dun'shi'jiu'shi 遁世救世
'e'ji'gong 厄疾宫
'e'ji'gong'hua'ji 厄疾宫化忌
'e'ji'gong'hua'ke 厄疾宫化科
'e'ji'gong'hua'lu 厄疾宫化禄
'e'ji'gong'hua'quan 厄疾宫化权
'e'ji'gong'zi'hua 厄疾宫自化
'e'ji'gong'zi'hua'ji 厄疾宫自化忌
'e'ji'gong'zi'hua'ke 厄疾宫自化科
'e'ji'gong'zi'hua'lu 厄疾宫自化禄
'e'ji'gong'zi'hua'quan 厄疾宫自化权
'en'guang 恩光
'en'guang'xing 恩光星
'er'sheng'san 二生三
'er'shi'si'jie'qi 二十四节气
'er'yao'tong'lin 二曜同临
'er'yao'tong'lin'ge 二曜同临格
'er'yue'mao 二月卯
'fei'chang'xing'dong 非常行动
'fei'lian 蜚廉
'fei'lian 飞廉
'fei'lian'xing 蜚廉星
'fei'lian'xing 飞廉星
'feng'de'guan 风地观
'feng'gao 封诰
'feng'gao'xing 封诰星
'feng'ge 凤阁
'feng'ge'xing 凤阁星
'feng'gua 丰卦
'feng'huo'jia'ren 风火家人
'feng'lei'yi 风雷益
'feng'shan'jian 风山渐
'feng'shui'huan 风水涣
'feng'tian'xiao'chu 风天小畜
'feng'ze'zhong'fu 风泽中孚
'fou'gua 否卦
'fu'bing 伏兵
'fu'bing'xing 伏兵星
'fu'de'gong 福德宫
'fu'de'gong'hua'ji 福德宫化忌
'fu'de'gong'hua'ke 福德宫化科
'fu'de'gong'hua'lu 福德宫化禄
'fu'de'gong'hua'quan 福德宫化权
'fu'de'gong'zi'hua 福德宫自化
'fu'de'gong'zi'hua'ji 福德宫自化忌
'fu'de'gong'zi'hua'ke 福德宫自化科
'fu'de'gong'zi'hua'lu 福德宫自化禄
'fu'de'gong'zi'hua'quan 福德宫自化权
'fu'deng'huo 覆灯火
'fu'gong'wen'xing 辅拱文星
'fu'gong'wen'xing'ge 辅拱文星格
'fu'gua 复卦
'fu'he'yi'tuo 附和依托
'fu'ji'xian 父疾线
'fu'mu'gong 父母宫
'fu'mu'gong'hua'ji 父母宫化忌
'fu'mu'gong'hua'ji'ru'cai'bo'gong 父母宫化忌入财帛宫
'fu'mu'gong'hua'ji'ru'e'ji'gong 父母宫化忌入厄疾宫
'fu'mu'gong'hua'ji'ru'fu'de'gong 父母宫化忌入福德宫
'fu'mu'gong'hua'ji'ru'fu'qi'gong 父母宫化忌入夫妻宫
'fu'mu'gong'hua'ji'ru'guan'lu'gong 父母宫化忌入官禄宫
'fu'mu'gong'hua'ji'ru'ji'e'gong 父母宫化忌入疾厄宫
'fu'mu'gong'hua'ji'ru'jiao'you'gong 父母宫化忌入交友宫
'fu'mu'gong'hua'ji'ru'ming'gong 父母宫化忌入命宫
