'tian'shi'zhui'luo 天使坠落
'tie'ke'pai'tuo'er 铁克派托尔
'tie'wang 铁网
'tie'zhuang'zhui'li 铁装缀里
'tu'yu'men'wu'xia 土御门舞夏
'tu'yu'men'yuan'chun 土御门元春
'tuo'qi'tuo'li 托琪托莉
'wa'xi'li'sha 瓦希莉莎
'wan'nei'juan'bao 湾內绢保
'wei'li'an 薇莉安
'wei'yuan'wu'zhi 未元物质
'wu'he 五和
'wu'neng'li 无能力
'wu'neng'li'zhe'wu'zhuang'ji'tuan 无能力者武装集团
'wu'xing'ji'guan 五行机关
'wu'zang'ye 武藏野
'wu'zhi'qiu'nv'zi'xue'yuan 雾之丘女子学院
'xi'ban'ya'xing'jiao 西班牙星教
'xi'qi'tao'er 席琪桃尔
'xi'xue'gui'sha'shou 吸血鬼杀手
'xiang'shao 香烧
'xin'li'zhang'wo 心理掌握
'xin'sheng'zhi'guang 新生之光
'xiu'si'feng'zhan 修丝风斩
'xu'shu'xue'qu 虚数学区
'xue'ban'jun'ba 削板军霸
'xue'li 雪莉
'xue'yuan'du'shi 学园都市
'ya'de'li'ya'hai'nv'wang 亚得里亚海女王
'ya'lei'si'ta 亚雷斯塔
'ya'li'shan'da 亚历山大
'ya'nie'sai 亚涅赛
'ya'nie'sai'bu'dui 亚涅赛部队
'yan'suan'qiang'pao 演算枪炮
'yan'xing'jian 焰形剑
'ye'mu'qi 野母崎
'yi'dong'jiao'hui 移动教会
'yi'fang'jin'zhi'sai'gao 一方禁止赛高
'yi'fang'tong'xing 一方通行
'yi'jian'fen'xi 意见分析
'yi'neng'li 异能力
'yi'sa'de 伊萨德
'yin'di'ke'si 茵蒂克丝
'ying'guo'qing'jiao 英国清教
'you'fang'zhi'huo 右方之火
'you'yi'zhe'de'gui'lai 有翼者的归来
'yu'ban'lv'gua 御坂旅挂
'yu'ban'mei'ling 御坂美玲
'yu'ban'mei'mei 御坂妹妹
'yu'ban'mei'qin 御坂美琴
'yu'ban'wang'luo 御坂网络
'yuan'gen'di'du 垣根帝督
'yuan'zi'beng'huai 原子崩坏
'yue'tu'shu'shi 月兔术式
'yue'tu'zhi'gu 月兔之骨
'yue'yong'xiao'meng 月咏小萌
'za'luan'kai'fang 杂乱开放
'zai'wu 灾误
'zhen'shen'qiu'sha 姫神秋沙
'zhi'su'zhuang'jia 窒素装甲
'zhi'xian'ban'li 枝先绊理
'zhong'fu'sheng'fan 重福省帆
'zhong'ye'sen'he'zi 重野森和子
'zi'gong 梓弓
'zui'hou'zhi'zuo 最后之作
'zuo'biao'yi'dong 坐标移动
'zuo'fang'zhi'di 左方之地
'zuo'jiu'chen'yan 佐久辰彥
'zuo'tian'lei'zi 佐天泪子
