'bai'zhang 摆掌
'ce'mian'tou'zhi'lei'qiu 侧面投掷垒球
'ce'shou'fan 侧手翻
'ce'ti'tui 侧踢腿
'ce'xiang'zhu'pao'tiao'gao 侧向助跑调高
'chuan'bi'qian'hou'fan 穿臂前后翻
'chuan'suo'tiao'chang'sheng 穿梭跳长绳
'chuan'zhang 穿掌
'dan'gua'xi'xuan'chui'bai'dong 单挂膝悬垂摆动
'dan'jiao'jiao'huan'tiao'duan'sheng 单脚交换跳短绳
'dan'shou'jian'shang'tou'lan 单手肩上投篮
'dan'ti'tui 弹踢腿
'dian'bu'dan'ti 垫步弹踢
'dun'ju'shi'tiao'yuan 蹲踞式跳远
'er'lu'zong'dui'zuo'zhuan'wan'zou 二路纵队左转弯走
'fen'dui'zou'he'dui'zou 分队走合队走
'gong'bu'liao'zhang 弓步撩掌
'gui'tiao'qi 跪跳起
'hai'jia'you 嗨加油
'hou'gun'fan 后滚翻
'hou'gun'fan'cheng'gui'li 后滚翻成跪立
'ji'xing'tiao'yuan 急行跳远
'jian'zhou'dao'li 肩肘倒立
'jiao'cha'zou 交叉走
'jiao'deng'qiang'dao'li 脚蹬强倒立
'kua'yue'shi'tiao'gao 跨越式跳高
'kuai'su'pao 快速跑
'lan'qiu'shuang'shou'xiong'qian'chuan'jie'qiu 篮球双手胸前传接球
'lan'qiu'shuang'shou'xiong'qian'tou'lan 篮球双手胸前投篮
'lan'qiu'ti'qian'bian'xiang'yun'qiu 篮球体前变向运球
'lan'qiu'xing'jin'jian'yun'qiu 篮球行进间运球
'lan'qiu'yuan'di'yun'qiu 篮球原地运球
'li'bang'shi'jie'li 立棒式接力
'li'ding'tiao'yuan 立定跳远
'li'zheng'shao'xi 立正稍息
'liang'bi'jian'ge'de'shu'san'yu'mi'ji 两笔间隔的疏散与密集
'liao'quan'shou'bao 撩拳收抱
'liao'zhang 撩掌
'ma'bu'heng'da 马步横打
'mi'jie'li'pao 米接力跑
'mi'ying'mian'jie'li'pao 米迎面接力跑
'nai'jiu'pao 耐久跑
'pa'guo'tie'si'wang 爬过铁丝网
'pai'qiu'bing'bu 排球并步
'pai'qiu'zheng'mian'shuang'shou'dian'qiu 排球正面双手垫球
'pai'qiu'zheng'mian'xia'shou'fa'qiu 排球正面下手发球
'pao'bu'qi'bu'hu'huan 跑步齐步互换
'pao'bu'zou'li'ding 跑步走立定
'ping'pang'qiu'fan'shou'fa'qiu 乒乓球反手发球
'ping'pang'qiu'fan'shou'xiao'qiu 乒乓球反手削球
'ping'pang'qiu'zheng'shou'gong'qiu 乒乓球正手攻球
'ping'pang'qiu'zheng'shou'tui'dang'qiu 乒乓球正手推挡球
'pu'bu'ya'tui 仆步压腿
'qi'bu'bian'pao'bu 齐步变跑步
'qi'li 起立
'qian'gun'cheng'dun'li 前滚成蹲立
'qian'gun'fan 前滚翻
'qian'gun'fan'shuang'tui'jiao'cha'zhuan'ti 前滚翻双腿交叉转体
'qian'gun'fan'zhi'tui'zuo 前滚翻支腿做
'qing'wa'tiao'zheng'xian'sai 青蛙跳争先赛
'shan'yang'fen'tui'teng'yue 山羊分腿腾越
'shen'zhan'yun'dong 伸展运动
'shuang'sheng'yao 双绳摇
'shuang'shou'tou'zhi'shi'xin'qiu 双手投掷实心球
'ta'ban'cao 踏板操
'tiao'bu'tui'zhang 跳步推掌
'tiao'luo'tuo 跳骆驼
'tiao'shang'cheng'dun'cheng 跳上撑蹲撑
'tiao'shang'cheng'gui'cheng'xiang'qian'tiao'xia 跳上成跪撑向前跳下
'tiao'shang'zhi'cheng'qian'fan'xia 跳上支撑前翻下
'ting'shen'tiao'xia 挺身跳下
'wu'bu'jie'long 五步接龙
'wu'shu'zheng'ti'tui 武术正踢腿
'xiang'hou'yao'sheng'bian'hua'tiao 向后摇绳编花跳
'xiang'qian'bian'hua'tiao'sheng 向前编花跳绳
'xu'bu'jia'da 虚步架打
'yi'ge'yi'dui'cuo'jian'zou 一隔一队错肩走
'yi'lie'heng'dui'bian'er'lu'zong'dui 一列横队变二路纵队
'yun'lv'huo'dong 韵律活动
'zhi'li 直立
'zi'tiao'chang'sheng 字跳长绳
'zu'deng'di'fan'shang 足蹬地翻上
'zu'qiu'jiao'bei'wai'ce'chuan'qiu 足球脚背外侧传球
'zu'qiu'jiao'bei'zheng'mian'ting'kong'zhong'qiu 足球脚背正面停空中球
'zu'qiu'jiao'bei'zheng'mian'yun'qiu 足球脚背正面运球
'zu'qiu'jiao'di'jie'di'gun'qiu 足球脚底接地滚球
'zu'qiu'jiao'nei'ce'jie'di'gun'qiu 足球脚内侧接地滚球
'zu'qiu'jiao'nei'ce'ti'qiu 足球脚内侧踢球
'zu'qiu'jiao'nei'ce'yun'qiu 足球脚内侧运球
