'ba'li'dao 巴厘岛
'ba'ti'ya 芭提雅
'ban'zi'zhu'you 半自助游
'chun'wan'tuan 纯玩团
'dan'fang'cha 单房差
'dao'you 导游
'di'jie'she 地接社
'di'pei 地陪
'fei'zhu 飞猪
'gen'tuan 跟团
'gou'wu'tuan 购物团
'gua'xing'jiu'dian 挂星酒店
'han'guo'ji'zhou'dao 韩国济州岛
'he'tong 合同
'ling'dui 领队
'lv'ma'ma 驴妈妈
'lv'you'gong'lue 旅游攻略
'ma'feng'wo 蚂蜂窝
'pin'tuan 拼团
'pin'zhi'tuan 品质团
'pu'ji'dao 普吉岛
'qin'zi'you 亲子游
'qu'na'er'wang 去哪儿网
'quan'pei 全陪
'ri'ben'lu'er'dao 日本鹿儿岛
'shen'du'you 深度游
'tai'guo 泰国
'tong'cheng 同程
'tu'niu 途牛
'xie'cheng 携程
'xing'cheng'dan 行程单
'you'lun'you 游轮游
'you'lun'you 邮轮游
'zhuan'tuan 转团
'zhun'xing'jiu'dian 准星酒店
'zi'jia'you 自驾游
'zi'you'xing 自由行
'zu'tuan'she 组团社
