'a'zi 阿梓
'ai'cai 爱菜
'bei'yuan 北原
'bei'yuan'kan 北原栞
'bei'yuan'yi'zhi 北原伊织
'bi'lan'zhi'hai 碧蓝之海
'bin'gang'zi 滨冈梓
'chuan'nai 川奈
'da'ren 大人
'deng'zhi'fu 登志夫
'gan'shi'qian'shui'fu 干式潜水服
'geng'ping 耕平
'gu'shou'chuan 古手川
'gu'shou'chuan'deng'zhi'fu 古手川登志夫
'gu'shou'chuan'nai'nai'hua 古手川奈奈华
'gu'shou'chuan'qian'sha 古手川千纱
'han'hai 瀚海
'ji'yuan'ai'cai 吉原爱菜
'jin'cun 今村
'jin'cun'geng'ping 今村耕平
'mo'ye 摩耶
'nai'nai'hua 奈奈华
'qian'sha 千纱
'qian'shui'she 潜水社
'shan'ben 山本
'sheng'ming'zhi'shui 生命之水
'shi'shi'qian'shui'fu 湿式潜水服
'shi'tian 时田
'shi'tian'qian'bei 时田前辈
'shi'tian'xue'zhang 时田学长
'shou'qian'bei 寿前辈
'shou'xue'zhang 寿学长
'shui'shu'xia'ye 水树夏夜
'teng'yuan 藤原
'wu'long'cha 乌龙茶
'xiao'kan 小栞
'ye'dao 野岛
'yi'dou 伊豆
'yi'dou'chun'ji 伊豆春祭
'yi'dou'da'xue 伊豆大学
'yi'dou'qiu'ji 伊豆秋祭
'yi'zhi 伊织
'yu'shou'xi 御手洗
'zhuang'shi'shou 妆尸兽
'zi'xue'jie 梓学姐
