'cu'jin'min'zu'rong'he 促进民族融合
'feng'lu'zhi 俸禄制
'gai'bian'han'zu'xi'di'er'zuo'xi'guan 改变汉族席地而坐习惯
'gai'guan'zhi 改官制
'gai'xing'shi 改姓氏
'han'ren'hu'shi 汉人胡食
'hu'ren'han'fu 胡人汉服
'jin'hu'fu 禁胡服
'jun'tian'zhi 均田制
'ping'cheng 平城
'qian'du'luo'yang 迁都洛阳
'san'zhang'zhi 三长制
'tong'hun'yin 通婚姻
'xiao'wen'di'gai'ge 孝文帝改革
'xue'han'yu 学汉语
