'ai'fei 艾菲
'ai'ke'gua'zi'de'mao 爱嗑瓜子的猫
'ai'ya'ni'shi'cong'na'er'mao'chu'lai'de'jiu'hao 哎呀你是从哪儿冒出来的九号
'bang'wo'xiao'xiao'hei'yan'quan 帮我消消黑眼圈
'bao'pi'qi'de'xiao'ming 暴脾气的小明
'bu'gei'tang'jiu'dao'luan'de'bao'zou'luo'li 不给糖就捣乱的暴走萝莉
'bu'he'mo'sheng'ren'shuo'hua'de'hu'li'ba'ba 不和陌生人说话的狐狸爸爸
'cai'ping'tuan 猜评团
'ce'tian 侧田
'chao'ji'ji'qi'ren 超级机器人
'chen'jia'hua 陈嘉桦
'chen'xiao'dong 陈晓东
'da'zhang'wei 大张伟
'huang'qi'shan 黄绮珊
'jian'er'duo'de'a'fan'da'mei'mei 尖耳朵的阿凡达妹妹
'jin'hai'xin 金海心
'jin'ji'de'nv'di 进击的女帝
'jin'zhi'wen 金志文
'li'hao 李好
'li'jia'ge 李嘉格
'lin'you'jia 林宥嘉
'lu'jian'bu'ping'yi'sheng'hou'de'mei'shao'nv'zhan'shi 路见不平一声吼的美少女战士
'ma'ke 马可
'mao'dai'li'he'ben 猫戴丽赫本
'qing'jiao'wo'dou'niu'shi 请叫我斗牛士
'qu'ying 瞿颖
'sha'bai'tian'de'hong'tao'huang'hou 傻白甜的红桃皇后
'shen'nan 沈南
'sheng'dan'lao'ren'bu'zai'jia'de'xun'lu 圣诞老人不在家的驯鹿
'ta'si'ken 塔斯肯
'tao'jing'ying 陶晶莹
'tie'pi'ren 铁皮人
'tong'hua'li'bu'shi'pian'ren'de 童话里不是骗人的
'wang'tai'li 王太利
'wang'tong'xue 王同学
'wo'de'mi'gua'fen'ni'yi'ban 我的蜜瓜分你一半
'wo'ke'bu'shi'shen'me'yao'e'zi 我可不是什么幺蛾子
'xiang'long'shi'ba'zhang 降龙十八掌
'yang'cheng'lin 杨丞琳
'yi'shan'yi'shan'liang'jing'jing'de'zuan'shi'nv'shi 一闪一闪亮晶晶的钻石女士
'zhang'bi'chen 张碧晨
'zhao'chuan 赵传
'zhou'hui 周蕙
'zhou'shen 周深
