'a'long 阿隆
'an'ji'zhi'jia 安济知佳
'bai'shi'ren 白石稔
'bo'er 波尔
'chu'dao'cai'xiang 出岛彩香
'gu'gu 古谷
'hai'bian'cai'cai'zi 海边菜菜子
'heng'dao'ming'zi 横岛鸣子
'hong'ning'ning 轰宁宁
'jia'teng'ying'mei'li 加藤英美里
'jiang'tan'she 讲谈社
'jin'tian 津田
'jin'tian'long'li 津田隆利
'jin'tian'qin'mei 津田琴美
'liu'ben 柳本
'ping'ye'wen 平野文
'qi'tiao'cai'tuan 七条财团
'qi'tiao'tian'kong 七条天空
'qian'zhao'jin'tai'lang 浅沼晋太郎
'qiu'cun'ling 萩村铃
'ri'li'yang'zi 日笠阳子
'ri'ye'wei'bu 日野未步
'san'ye 三叶
'san'ye'mu'mei 三叶睦美
'shi'zuo'sha'you'li 矢作纱友里
'si'ben'lai'ke 寺本来可
'si'ben'wei'lai 寺本未来
'song'lai'wei'you 松来未佑
'tian'cao 天草
'tian'cao'xiao 天草筱
'tian'cun'mu'xin 田村睦心
'tian'lan'zi 畑兰子
'tian'ye'mei'qi 天野美崎
'wang'xiang'pi 妄想癖
'wang'xiang'xue'sheng'hui 妄想学生会
'wu'shi'lan'feng 五十岚枫
'xia'tian'ma'mei 下田麻美
'xiao'jian'chuan'qian'ming 小见川千明
'xiao'lin'you 小林优
'xiao'shan'lao'shi 小山老师
'xiao'shi 小时
'xiao'yu 小鱼
'xin'jing'li'mei 新井里美
'yi'duan'xue'sheng'hui 异端学生会
'ying'cai'xue'yuan 樱才学园
'ying'ling'gao'xiao 英稜高校
'yu'jian 鱼见
'zhai'teng'qian'he 斋藤千和
'zhong'li'zhi'li 中里知里
'zhui'ming'bi'liu 椎名碧流
'zuo'teng'cong'mei 佐藤聪美
