'ai'li 艾丽
'ai'li'si 爱丽丝
'ai'li'si'ma'ge'te'luo'yi'de 爱丽丝玛格特罗伊德
'ai'lian 爱莲
'ai'ta'ni'ti'la'er'wa 爱塔妮缇拉尔瓦
'an'na'bei'la'er 安娜贝拉尔
'ao'lian'ji 奥莲姬
'ba'ban'shen'nai'zi 八坂神奈子
'ba'yi 八亿
'ba'yi'jian'shen'cao 八意健身操
'ba'yi'yong'lin 八意永琳
'ba'yun'lan 八云蓝
'ba'yun'zi 八云紫
'bai'tian'a'qiu 稗田阿求
'bai'yu'lou 白玉楼
'ban'tian'he'huan 坂田合欢
'bei'bai'he'qian'bai'he 北白河千百合
'ben'ju'xiao'ling 本居小铃
'bi'an 彼岸
'bi'na'ming'ju'tian'zi 比那名居天子
'bo'li'da'jie'jie 博丽大结界
'bo'li'ling'meng 博丽灵梦
'bu'ke'si'yi'zhi'guo 不可思议之国
'chao'cang'li'xiang'zi 朝仓理香子
'chi'man'qi 赤蛮奇
'chun'hu 纯狐
'chun'zhi'xiao'jing 春之小径
'ci'mu'hua'shan 茨木华扇
'cun'sha'shui'mi 村纱水蜜
'da'ha'ma'zhi'chi 大蛤蟆之池
'da'kong'mo'shu 大空魔术
'da'xiao'jie 大小姐
'da'yao'jing 大妖精
'dan'mu 弹幕
'dan'mu'tian'xie'gui 弹幕天邪鬼
'di'ling'dian 地灵殿
'di'yu 地狱
'ding'li'tian'wu 丁礼田舞
'dong'fang'ci'ge'xian 东方茨歌仙
'dong'fang'cui'meng'xiang 东方萃梦想
'dong'fang'di'ling'dian 东方地灵殿
'dong'fang'fei'xiang'tian 东方绯想天
'dong'fang'fei'xiang'tian'ze 东方非想天则
'dong'fang'feng'mo'lu 东方封魔录
'dong'fang'feng'shen'lu 东方风神录
'dong'fang'gan'zhu'chuan 东方绀珠传
'dong'fang'gang'yu'yi'wen 东方刚欲异闻
'dong'fang'guai'qi'tan 东方怪绮谈
'dong'fang'gui'xing'shou 东方鬼形兽
'dong'fang'hong'long'dong 东方虹龙洞
'dong'fang'hong'mo'xiang 东方红魔乡
'dong'fang'hua'ying'zhong 东方花映冢
'dong'fang'hua'ying'zhong 东方花映塚
'dong'fang'huan'xiang'xiang 东方幻想乡
'dong'fang'huang'liang'meng 东方黄粱梦
'dong'fang'hui'zhen'cheng 东方辉针城
'dong'fang'ling'nai'an 东方铃奈庵
'dong'fang'ling'yi'chuan 东方灵异传
'dong'fang'meng'shi'kong 东方梦时空
'dong'fang'meng'yue'chao 东方儚月抄
'dong'fang'ping'yi'hua 东方凭依华
'dong'fang'qiu'wen'kou'shou 东方求闻口授
'dong'fang'qiu'wen'shi'ji 东方求闻史纪
'dong'fang'san'yue'jing 东方三月精
'dong'fang'shen'ling'miao 东方神灵庙
'dong'fang'shen'mi'lu 东方深秘录
'dong'fang'tian'kong'zhang 东方天空璋
'dong'fang'wen'hua'tie 东方文花帖
'dong'fang'xiang'lin'tang 东方香霖堂
'dong'fang'xin'qi'lou 东方心绮楼
'dong'fang'xing'lian'chuan 东方星莲船
'dong'fang'yao'yao'meng 东方妖妖梦
'dong'fang'yong'ye'chao 东方永夜抄
'dong'fang'zhi'ling'qi'chuan 东方智灵奇传
'dong'fang'zi'xiang'hua 东方紫香花
'dong'fang'zui'die'hua 东方醉蝶华
'dui'kang'xin'wen 对抗新闻
'duo'duo'liang'xiao'san 多多良小伞
'duo'lai'mi'su'yi'te 哆来咪苏伊特
'er'mei 二妹
'er'xiao'jie 二小姐
'er'yan'tuan'cang 二岩猯藏
'er'zi'tian'li'nai 尔子田里乃
'fa'jie 法界
'fan'gang'wan'long 饭纲丸龙
'fei'xiang'tian 绯想天
'fei'yang'guan 废洋馆
'feng'cong'er'shen'zi 丰聪耳神子
'feng'jian'you'xiang 风见幽香
'feng'shen'zhi'hu 风神之湖
'feng'shou'ye 封兽鵺
'fu'ka 符卡
'fu'lan'duo'lu 芙兰朵露
'fu'lan'duo'lu'si'ka'lei'te 芙兰朵露斯卡雷特
'gang'qi'meng'mei 冈崎梦美
'gao'li'ye'a'hong 高丽野阿吽
'gong'gu'fang'xiang 宫古芳香
'gu'ming'di'jue 古明地觉
'gu'ming'di'lian 古明地恋
'gui'ren'zheng'xie 鬼人正邪
'hao'de'si'san'hua 豪德寺三花
'he'cheng'he'qu 河城荷取
'he'en 赫恩
'he'rong'he'lu 核融合炉
'hei'gu'shan'nv 黑谷山女
'hong'mei'ling 红美铃
'hong'mo'guan 红魔馆
'hu'tao 胡桃
'hu'yue'lin 冴月麟
'huan'meng'jie 幻梦界
'huan'xiang'wan'hua'jing 幻想万华镜
'huan'yue 幻月
'huang'hun'jiu'chang 黄昏酒场
'hui'ye'ji 辉夜姬
'hun'po'yao'ji 魂魄妖忌
'hun'po'yao'meng 魂魄妖梦
'huo'qing'e 霍青娥
'huo'wa'te'luo'ke 霍瓦特洛克
'huo'yan'mao'lin 火焰猫燐
