'a'pi'er 阿皮尔
'ba'si'gai'te 巴斯盖特
'ben'ya'ming 本雅明
'bi'yao'dui'deng'yu 必要对等语
'biao'qing'xing'wen'ben 表情型文本
'bo'bo'wei'qi 波波维奇
'bo'si'te'gai'te 波斯特盖特
'bu'chang 补偿
'bu'shou'xian'fan'yi 不受限翻译
'can'yu'xing'jie'shou'zhe 参与型接受者
'cao'zuo'mo'shi 操作模式
'ceng'ci'zhuan'huan 层次转换
'chao'e'fan'yi 超额翻译
'chao'e'xin'xi 超额信息
'cheng'pin'qu'xiang 成品取向
'chong'fen'xing 充分性
'chong'gou'shi'fan'yi 重构式翻译
'chong'he'fan'yi 重合翻译
'chuan'yi'fan'yi 传意翻译
'chuang'zao'xing'pan'ni 创造性叛逆
'chuang'zao'xing'zhuan'huan 创造性转换
'chun'yu'yan 纯语言
'ci'lei'zhuan'huan 词类转换
'ci'yu'yi'zhi 词语一致
'da'er'bei'le'na 达尔贝勒纳
'de'lai'dun 德莱顿
'de'li'da 德里达
'di'le 迪勒
'di'san'yu'ma 第三语码
'dong'tai'dui'deng 动态对等
'dong'tai'zhong'xin 动态忠信
'dui'ying'ceng'ji 对应层级
'duo'yuan'wen'hua'li'lun 多元文化理论
'er'ji'fan'yi 二级翻译
'er'yu'chuan'yi 耳语传译
'fa'ting'chuan'yi 法庭传译
'fan'yi'pu'bian'te'zheng 翻译普遍特征
'fan'yi'ti 翻译体
'fei'mu'biao'jie'shou'zhe 非目标接受者
'fen'xi 分析
'fen'yan 分延
'fu'ji'fan'yi 符际翻译
'fu'lao'li 弗劳利
'fu'le'na 福勒纳
'fu'luo'lin 弗罗林
'fu'mi'er 弗米尔
'fu'mian'zhuan'huan 负面转换
'fu'wu'xing'fan'yi 服务型翻译
'gai'bian 改编
'ge'hang'fan'yi 隔行翻译
'gong'ju'fan'yi 工具翻译
'gu'a'de'ke 古阿德克
'guan'yu'shi'yu'de'fan'yi'li'lun 关于时域的翻译理论
'gui'hua'fan'yi 归化翻译
'gui'yue'xing'fan'yi'chang'gui 规约性翻译常规
'guo'cheng'qu'xiang 过程取向
'hao'si 豪斯
'he'er'zi 赫尔兹
'he'wei 赫维
'he'xin'ju 核心句
'heng'xiang'fan'yi 横向翻译
'hou'zhan'shi'fan'yi 后瞻式翻译
'hui'yi 回译
'hui'yi'chuan'yi 会议传译
'huo'er'mu'si 霍尔姆斯
'ji'jie'shou'xian'fan'yi 级阶受限翻译
'jia'er 贾尔
'jiao'ji'fan'yi 交际翻译
'jie'gou'zhu'yi 解构主义
'jie'gou'zhuan'huan 结构转换
'jie'xu'chuan'yi 接续传译
'ju'bu'fan'yi'li'lun 局部翻译理论
'ju'ti'hua 具体化
'ju'zhen'gui'fan 矩阵规范
