'a'bu 阿部
'bai'chuan'xing 白川杏
'chu'yun'zao'miao 出云早苗
'dong'yue'zhi'lang 冬月志郎
'fen'shen'ling 分身灵
'gong'ben'ya'shi 宫本雅史
'gui'cheng'xi'zhu 鬼城喜助
'he'yuan'mei'xiang'zi 河原美香子
'hei'mu'dong'mei 黑木冬美
'hei'mu'tou 黑木透
'ji'feng'liu'yi 吉峰琉衣
'jiu'tiao'shen'zhi'jie 九条慎之介
'jue'wang'shen'pan 绝望审判
'li'shan'zhong'tian 栗山重田
'lian'cang'sha'you'li 镰仓纱由里
'mao'xie'wu'zhi 猫胁舞知
'mao'yan 猫彦
'mei'ying'yi 美影翼
'nei'zhi'gong'cong'hai 内之宫聪海
'qiu'te 篍特
'sen'yuan'tu 森园兔
'shen'gong'si'qing'zi 神宫寺清子
'shen'mi'xue'yan'jiu'bu 神秘学研究部
'xi'cun'jing'xiang 西村静香
'xi'shan'ai'li'si 细山爱丽丝
'xia'mu'xiang 夏目翔
'xiang'tian'xing'sheng 相田幸生
'xin'xue 信雪
