'ba'la'si'bang 巴拉斯帮
'ge'luo'fu'bang 葛洛夫帮
'hei'shou'dang 黑手党
'jiu'jin'shan 旧金山
'ka'er'yue'han'xun 卡尔约翰逊
'ken'lu'sen'bo'ge 肯卢森博格
'la'si'wei'jia'si 拉斯维加斯
'luo'shan'ji 洛杉矶
'sai'sa'er 塞萨尔
'san'he'hui 三合会
'si'mo'ke 斯莫克
'si'wei'te 斯威特
'tang'pu'ni 汤普尼
'te'lu'si 特鲁斯
'wu'zi 吴子
'wu'zi'mu 吴梓穆
'yue'nan'bang 越南帮
'ze'luo 泽罗
