'a'yin 阿银
'an'mo'xie'shen'hu 暗魔邪神虎
'ao'si'ka 奥斯卡
'ba'zhu'mao 八蛛矛
'bai'chen'xiang 白沉香
'bai'hu'hu'shen'zhang 白虎护身障
'bai'hu'jin'gang'bian 白虎金刚变
'bai'hu'lie'guang'bo 白虎烈光波
'bai'hu'liu'xing'yu 白虎流星雨
'bai'hu'mo'shen'bian 白虎魔神变
'bai'hu'po'mie'sha 白虎破灭杀
'bai'hu'tian'lei'mie 白虎天雷灭
'bai'hu'xiao'tian'ji 白虎啸天击
'bai'hu'zhen'shen 白虎真身
'ban'shen 半神
'bao'yu'li'hua'zhen 暴雨梨花针
'bi'bi'dong 比比东
'chan'rao 缠绕
'chu'ji'tie'jiang 初级铁匠
'da'di'yi'huang'zhan 大地蚁皇斩
'da'hun'shi 大魂师
'da'ming 大明
'dai'mu'bai 戴沐白
'di'xue'mo'zhu 地穴魔蛛
'dian'feng'dou'luo 巅峰斗罗
'ding'li'zhi'po 定力之破
'du'gu'bo 独孤博
'er'ming 二明
'feng'hao'dou'luo 封号斗罗
'fo'nu'tang'lian 佛怒唐莲
'gao'ji'tie'jiang 高级铁匠
'gui'teng 鬼藤
'gui'ying'mi'zong 鬼影迷踪
'hai'shen'ba'yi 海神八翼
'hai'shen'ling'yu 海神领域
'hai'shen'san'cha'ji 海神三叉戟
'hao'tian'chui 昊天锤
'hao'tian'zhen'shen 昊天真身
'hui'mie'zhi'shen 毁灭之神
'hun'di 魂帝
'hun'dou'luo 魂斗罗
'hun'gu 魂骨
'hun'huan 魂环
'hun'li 魂力
'hun'sheng 魂圣
'hun'shi 魂士
'hun'shi 魂师
'hun'wang 魂王
'hun'zong 魂宗
'hun'zun 魂尊
'huo'yuan'su'shen 火元素神
'ji'sheng 寄生
'ji'xian'dou'luo 极限斗罗
'jiao'huang 教皇
'jin'si'mo'wang 金丝魔网
'kong'he'qin'long 控鹤擒龙
'kong'que'ling 孔雀翎
'lan'dian'ba'wang'long 蓝电霸王龙
'lan'hao'wang 蓝昊王
'lan'yin'ba'huang'qiang 蓝银霸皇枪
'lan'yin'ba'wang'qiang 蓝银霸王枪
'lan'yin'cao 蓝银草
'lan'yin'hu'jing'jing'zhi'mie 蓝银虎鲸镜之灭
'lan'yin'huang 蓝银皇
'lan'yin'ling'yu 蓝银领域
'lan'yin'qiu'long 蓝银囚笼
'lan'yin'tian'qing'long'zhi'hun 蓝银天青龙之魂
'lan'yin'zhen'shen 蓝银真身
'liu'yi'tian'shi 六翼天使
'long'shen 龙神
'luo'cha'mo'lian 罗刹魔镰
'luo'cha'shen 罗刹神
'ma'hong'jun 马红俊
'man'tuo'luo'she 曼陀罗蛇
'mei'huo 魅惑
'mo'jing'ling'yu 魔鲸领域
'mo'ming'lu 魔暝鹿
'ni'tian'rou'gu 逆天柔骨
'ning'rong'rong 宁荣荣
'po'huai'shen 破坏神
'qian'dao'liu 千道流
'qian'jun'bi'lei 千钧壁垒
'qian'jun'yi'huang 千钧蚁皇
'qian'ren'xue 千仞雪
'ren'mian'mo'zhu 人面魔蛛
'ren'mian'mo'zhu'huang 人面魔蛛皇
'rou'gu'suo 柔骨锁
'rou'gu'tu 柔骨兔
'rou'gu'tu'fen'shen 柔骨兔分身
'sha'lu'zhi'du 杀戮之都
'shan'liang'zhi'shen 善良之神
'shen'hai'mo'jing'wang 深海魔鲸王
'shen'jiang 神匠
'shen'jie 神界
'shen'jie'zhong'shu 神界中枢
'shen'shou 神兽
'sheng'ming'nv'shen 生命女神
'shi'hun'zhu'huang 噬魂蛛皇
'shi'kong'luan'liu 时空乱流
'shui'yuan'su'shen 水元素神
'shun'yi 瞬移
'si'wang'zhu'huang 死亡蛛皇
'tai'tan'cang'qiong'po 泰坦苍穹破
'tai'tan'ju'yuan 泰坦巨猿
'tang'chen 唐晨
'tang'hao 唐昊
'tang'san 唐三
'tang'xiao 唐啸
'tang'yue'hua 唐月华
'tian'dou'di'guo 天斗帝国
'tian'qing'niu'mang 天青牛蟒
'tian'shi'shen 天使神
'tian'shi'sheng'jian 天使圣剑
'tie'jiang'da'shi 铁匠大师
'tie'jiang'shi 铁匠师
'tie'jiang'zong'shi 铁匠宗师
'wu'di'jin'shen 无敌金身
'wu'hun'dian 武魂殿
'xiao'wu 小舞
'xie'e'zhi'shen 邪恶之神
'xie'mo'hu'jing'wang 邪魔虎鲸王
'xie'mou'bai'hu 邪眸白虎
'xie'shen'po 邪神破
'xing'luo'di'guo 星罗帝国
'xiong'shou'hun'gu 凶兽魂骨
'xiong'shou'hun'huan 凶兽魂环
'xiu'luo'jie'jie 修罗结界
'xiu'luo'ling'yu 修罗领域
'xiu'luo'mo'jian 修罗魔剑
'xu'wu 虚无
'xuan'feng'kuang'wu 旋风狂舞
'xuan'lan'zhi'bao 绚烂之爆
'xuan'tian'bao'lu 玄天宝录
'xuan'tian'gong 玄天功
'xuan'yu'shou 玄玉手
'yao'gong 腰弓
'yu'xiao'gang 玉小刚
'yue'guang'hong'tian'sha 月光轰天杀
'zhong'ji'tie'jiang 中级铁匠
'zhong'jia'chong'wang 重甲虫王
'zhu'ge'shen'nu 诸葛神弩
'zhu'wang'shu'fu 蛛网束缚
'zhu'zhu'qing 朱竹清
'zi'ji'mo'tong 紫极魔瞳
