'ai'yu'he'ping 爱与和平
'bai'li'shou'yue 百里守约
'bai'li'xuan'ce 百里玄策
'bu'qu'tie'bi 不屈铁壁
'chang'cheng'shou'hu'jun 长城守护军
'chuan'shuo'zhi'ren 传说之刃
'hua'mu'lan 花木兰
'jian'wu'zhe 剑舞者
'jing'mi'zhi'yan 静谧之眼
'jue'ying'shen'qiang 绝影神枪
'long'yu'ling'zhu 龙域领主
'po'mie'ren'feng 破灭刃锋
'shui'jing'lie'long'zhe 水晶猎龙者
'su'lie 苏烈
'tu'nv'lang 兔女郎
'wei'ni'si'kuang'huan 威尼斯狂欢
'xiao'kuang'zhi'lian 嚣狂之镰
