'wei'kang'ling'jiao'nang 胃康灵胶囊
'xia'ku'cao'kou'fu'ye 夏枯草口服液
'xiang'dan'zhu'she'ye 香丹注射液
'xiao'chai'hu'ke'li 小柴胡颗粒
'xiao'er'an'fen'huang'na'min'ke'li 小儿氨酚黄那敏颗粒
'xiao'er'an'ka'huang'min'ke'li 小儿氨咖黄敏颗粒
'xiao'er'hua'tan'zhi'ke'ke'li 小儿化痰止咳颗粒
'xiao'ke'ning'pian 消咳宁片
'xiao'suan'yi'shan'li'zhi'pian 硝酸异山梨酯片
'xiao'yan'li'dan'pian 消炎利胆片
'xiao'yan'zhi'ke'pian 消炎止咳片
'xiong'xian'tai'zhu'she'ye 胸腺肽注射液
'yan'ke'ning'pian 炎可宁片
'yan'suan'ban'bu'te'luo'jiao'nang 盐酸班布特罗胶囊
'yan'suan'er'jia'shuang'gua'pian 盐酸二甲双胍片
'yan'suan'fu'gui'li'qin'jiao'nang 盐酸氟桂利嗪胶囊
'yan'suan'huan'bing'sha'xing'jiao'nang 盐酸环丙沙星胶囊
'yan'suan'ke'lin'mei'su'jiao'nang 盐酸克林霉素胶囊
'yan'suan'lei'ni'ti'ding'jiao'nang 盐酸雷尼替丁胶囊
'yan'suan'lin'ke'mei'su'zhu'she'ye 盐酸林可霉素注射液
'yan'suan'pu'lu'ka'yin'zhu'she'ye 盐酸普鲁卡因注射液
'yan'suan'xiao'bo'jian'pian 盐酸小檗碱片
'yan'yan'pian 咽炎片
'yao'tong'pian 腰痛片
'yi'mu'cao'ke'li 益母草颗粒
'yi'tuo'hong'mei'su'ke'li 依托红霉素颗粒
'yi'xian'luo'xuan'mei'su'pian 乙酰螺旋霉素片
'yin'da'pa'an'pian 吲达帕胺片
'yin'xing'ye'pian 银杏叶片
'zao'suan'shuang'zhi'na'pian 藻酸双酯钠片
'zheng'qing'feng'tong'ning'pian 正清风痛宁片
'zhi'yuan'zhi 炙远志
'zhu'she'yong'an'bian'xi'lin'na'shu'ba'tan'na 注射用氨苄西林钠舒巴坦钠
'zhu'she'yong'tou'bao'qu'song'na 注射用头孢曲松钠
