'an'shi 暗示
'an'xian 暗线
'an'yu 暗喻
'ba'fen 八分
'ba'ti 八体
'bai'miao 白描
'bao'yi'ci 褒义词
'bao'yun'shi'jie'gou 包孕式结构
'bei'dong'ju 被动句
'bei'jing 背景
'bei'mian'pu'fen 背面铺粉
'bei'yu'xi 悲与喜
'ben'lun 本论
'ben'yi 本义
'ben'zhi'yu'xian'xiang 本质与现象
'bi 比
'bi'fu'ge 避复格
'bi'hua 笔画
'bi'jiao 比较
'bi'jiao'fa 比较法
'bi'jiao'shuo'ming 比较说明
'bi'kuang'ci'zu 比况词组
'bi'ni 比拟
'bi'ni'ge 比拟格
'bi'ran'fou'ding'pan'duan 必然否定判断
'bi'ran'ken'ding'pan'duan 必然肯定判断
'bi'shun 笔顺
'bi'xing 比兴
'bi'yao'tiao'jian'jia'yan'pan'duan 必要条件假言判断
'bi'yu 比喻
'bi'yu 笔语
'bi'yu'ge 比喻格
'bi'yu'yi 比喻义
'bi'zhong'shu 壁中书
'bian'li 变理
'bian'shi'ju 变式句
'bian'ti 辨体
'bian'xing 变形
'bian'xing'fa 变形法
'bian'yi 辨异
'bian'yi 变意
'bian'yi'ci 贬义词
'bian'zheng'si'wei 辩证思维
'biao'ceng'jie'gou'yu'shen'ceng'jie'gou 表层结构与深层结构
'biao'dian'fu'hao 标点符号
'biao'dian'fu'hao'de'wei'zhi 标点符号的位置
'biao'ti 标题
'biao'xiang 表象
'biao'xiang'de'bian'yi 表象的变异
'biao'xiang'de'lian'xiang 表象的联想
'biao'xiang'de'shen'hua 表象的深化
'biao'xiang'yun'dong 表象运动
'biao'xing'wen'zi 表形文字
'biao'yi'wen'zi 表意文字
'biao'yin'wen'zi 表音文字
'bin'yu 宾语
'bin'zhu 宾主
'bing'lie'fu'ju 并列复句
'bing'lie'shi 并列式
'bo'lun 驳论
'bo'yu 博喻
'bu'bi 补笔
'bu'chong'ci'zu 补充词组
'bu'ci 卜辞
'bu'fa 补法
'bu'fen'yu'zheng'ti 部分与整体
'bu'ge 布格
'bu'ji'wu'dong'ci 不及物动词
'bu'ju 布局
'bu'mao'dun'lv 不矛盾律
'bu'rong'jian'wei'lv 不容间位律
'bu'shou 部首
'bu'wan'quan'de'fan'bi 不完全的反笔
'bu'xiang'rong'xuan'yan'pan'duan 不相容选言判断
'bu'xu 补叙
'bu'yu 补语
'cai'liao 材料
'cai'liao'de'jian'bie 材料的鉴别
'cai'liao'de'kai'tuo 材料的开拓
'cai'xian'chuan'zhu'fa 彩线穿珠法
'cang'ci'ge 藏词格
'cang'yu'lu 藏与露
'cao'she'hui'xian'fa 草蛇灰线法
'cao'shu 草书
'ce'bi 侧笔
'ce'mian'miao'xie 侧面描写
'ce'xiang'xin'xi'su'cai 侧向信息素材
'ceng'ci 层次
'ceng'di'ge 层递格
'cha'bi 插笔
'cha'bie'xing'yu'gong'tong'xing 差别性与共同性
'cha'ru'yu 插入语
'cha'shuo 插说
'cha'xu 插叙
'cha'yi'fa 差异法
'chan'lian'ge 蝉联格
'chang'duan 长短
'chang'mian'miao'xie 场面描写
'chang'shi'ju 常式句
'chao'ju'ti 超句体
'chao'qian'kua'zhang 超前夸张
'chao'shi'kong'shun'xu'jie'gou 超时空顺序结构
'chen'bi 衬笔
'chen'shu'ju 陈述句
'chen'tie 衬贴
'chen'tuo 衬托
'chen'zi'ge 衬字格
'cheng'du'bu'deng'de'bi'yu 程度不等的比喻
'cheng'yu 成语
'chong'fen'tiao'jian'jia'yan'pan'duan 充分条件假言判断
'chong'fu 重复
'chong'tu 冲突
'chong'yan'ge 重言格
'chong'zu'li'you'lv 充足理由律
'chou'xiang 抽象
'chou'xiang'fa 抽象法
'chou'xiang'gai'nian 抽象概念
'chou'xiang'si'wei 抽象思维
'chou'xiang'yu'gai'kuo 抽象与概括
'chu'fa 触发
'chu'mei 触媒
'chu'nian 初念
'chu'wai'pan'duan 除外判断
'chuan'cha 穿插
'chuan'lian'shi'jie'gou 串连式结构
'chuan'shen 传神
'chuang'yi 创意
'chuang'zao'xing'xiang'xiang 创造性想象
'chuang'zuo'chong'dong 创作冲动
'chuang'zuo'ling'gan 创作灵感
'chuang'zuo'shou'yun 创作受孕
'ci 词
'ci'de'gan'qing'se'cai 词的感情色彩
'ci'fa 词法
'ci'ge 辞格
'ci'hui 词汇
'ci'lei 词类
'ci'lei'huo'yong'ge 词类活用格
'ci'xu'bian'hua 词序变化
'ci'yao'ren'wu 次要人物
'ci'yi 词义
'ci'yu'de'chui'lian 词语的锤炼
'ci'yu'de'xuan'ze 词语的选择
'ci'zu 词组
'cong'shu'lun'dian 从属论点
'cun'ran 皴染
'cun'xian'ju 存现句
'cuo'zong'ge 错综格
'da'zhuan 大篆
'dai'bi 带笔
'dai'ci 代词
'dai'xu 带叙
'dai'zheng'shi 带证式
'dan'bu'ju 单部句
'dan'cheng'pan'duan 单称判断
'dan'chun'ci 单纯词
'dan'du'gai'nian 单独概念
'dan'ju 单句
'dan'xian 单线
'dan'xian'duo'ceng'shi 单线多层式
'dan'xian'jie'gou 单线结构
'dan'xian'sheng'jiang'shi 单线升降式
'dan'xian'zhi'tui'shi 单线直推式
'dan'xian'zhuan'zhe'shi 单线转折式
'dan'xiang'si'wei'fang'shi 单向思维方式
'dan'yi'ci 单义词
'dan'yuan'gong'tong'ti 单元共同体
'dao'cha'bi 倒插笔
'dao'lun 导论
'dao'xu 倒叙
'dao'yu 倒喻
'dao'zhuang'ge 倒装格
'dao'zhuang'ju 倒装句
'di'er'ren'cheng 第二人称
'di'er'zhu'ti 第二主题
'di'er'zi'ran 第二自然
'di'jin'fu'ju 递进复句
'di'jin'shi 递进式
'di'san'ren'cheng 第三人称
'di'yi'ren'cheng 第一人称
'dian'chen 垫衬
'dian'hua 点化
'dian'mian 点面
'dian'ran 点染
'dian'tie'cheng'jin 点铁成金
'dian'xing'cai'liao 典型材料
'diao'lei 调类
'diao'zhi 调值
'die'dang 跌宕
'die'yun 叠韵
'die'zi'ge 叠字格
'ding'bi 顶笔
'ding'dian 顶点
'ding'diao 定调
'ding'yi 定义
'ding'yu 定语
'ding'yu'hou'zhi'ju 定语后置句
'ding'zhen'ge 顶针格
'ding'zhen'ge 顶真格
'dong'bin'ci'zu 动宾词组
'dong'ci 动词
'dong'jing 动静
'dong'tai'miao'xie 动态描写
'dou'hao 逗号
'du'li'shi 独立式
'du'li'yu 独立语
'du'ti'zi 独体字
'duan'luo 段落
'duan'luo'de'dan'yi'xing 段落的单一性
'duan'luo'de'wan'zheng'xing 段落的完整性
'duan'qu'ge 断取格
'duan'xu 断续
'duan'yu 短语
'dui'bai 对白
'dui'bi 对比
'dui'bi'lian'xiang 对比联想
'dui'bi'miao'xie 对比描写
'dui'bi'shi 对比式
'dui'dai 对代
'dui'hua 对话
'dui'hua'miao'xie 对话描写
'dui'li'gai'nian 对立概念
'dui'mian'miao'xie 对面描写
'dui'ou'ge 对偶格
'dui'zhang'ge 对仗格
'dun 顿
'dun'bi 顿笔
'dun'cuo 顿挫
'dun'dang 顿宕
'dun'die'ge 顿跌格
'dun'hao 顿号
'duo'ceng'ding'yu 多层定语
'duo'ceng'zhuang'yu 多层状语
'duo'chong'fou'ding'ju 多重否定句
'duo'chong'fu'ju 多重复句
'duo'jiao'du'miao'xie 多角度描写
'duo'xian'jiao'cha'shi 多线交叉式
'duo'xian'jie'gou 多线结构
'duo'yi'ci 多义词
'duo'yi'ci'zu 多义词组
'duo'zhu'ti 多主题
'er'fen'fa 二分法
'er'hua 儿化
'er'nan'tui'li 二难推理
'fa'duan 发端
'fa'ju 发句
'fa'sheng'ding'yi 发生定义
'fa'zhan 发展
'fa'zhan'zhong'de'ren'wu 发展中的人物
'fan'bi 反笔
'fan'bo 反驳
'fan'chen 反衬
'fan'cheng 反承
'fan'dui'gai'nian 反对概念
'fan'fu 反复
'fan'fu'ge 反复格
'fan'hua'zheng'shuo 反话正说
'fan'jian 繁简
'fan'jie 反接
'fan'jie'ge 反诘格
'fan'jie'yi'wen'ju 反诘疑问句
'fan'lei'ti'zun'fa 反类题尊法
'fan'lun 翻论
'fan'mian'pu'dian 反面铺垫
'fan'mian'ren'wu 反面人物
'fan'qing'jie 反情节
'fan'shuo'ge 繁说格
'fan'ti'zi 繁体字
'fan'wen'ge 反问格
'fan'wen'ju 反问句
'fan'yi'ci 反义词
'fan'yin 反引
'fan'yin 泛音
'fan'yu 反喻
'fan'yu'ge 反语格
'fan'zhen'fa 反振法
'fan'zheng 反正
'fan'zheng'fa 反证法
'fan'zhong'jian'bi 犯中见避
'fang'ni'ge 仿拟格
'fang'wei'ci 方位词
'fang'wei'ci'zu 方位词组
'fang'yan'ci 方言词
'fang'yan'tu'yu 方言土语
'fei'bai'ge 飞白格
'fei'ji'he'gai'nian 非集合概念
'fei'qing'jie'yin'su 非情节因素
'fei'zhu'wei'ju 非主谓句
'fen'cun'gan 分寸感
'fen'hao 分号
'fen'jie 分解
'fen'ju 分句
'fen'lei 分类
'fen'lei'shuo'ming 分类说明
'fen'lun'dian 分论点
'fen'xi 分析
'fen'xi'fa 分析法
'fen'xi'yu'zong'he 分析与综合
'fen'xu 分叙
'fen'zong 分总
'fen'zong'shi 分总式
'feng'ci 讽刺
'feng'jing'hua 风景画
'feng'su'hua 风俗画
'feng'yu'ge 讽喻格
'fou'ding'gai'nian 否定概念
'fou'ding'ju 否定句
'fou'ding'pan'duan 否定判断
'fu'bi 伏笔
'fu'biao'ti 副标题
'fu'ci 副词
'fu'die'yong'tan 复迭咏叹
'fu'gai'nian 负概念
'fu'he'ci 复合词
'fu'he'pan'duan 复合判断
'fu'he'shi 复合式
'fu'ju 复句
'fu'ju'de'fen'lei 复句的分类
'fu'pan'duan 负判断
'fu'she'shi'jie'gou 辐射式结构
'fu'shi'jie'gou 复式结构
'fu'ta'shi 复沓式
'fu'ti 副题
'fu'xian 副线
'fu'xian 复线
'fu'xian'jie'gou 复线结构
'fu'xing'fa 附性法
'fu'you'qing'jie 浮游情节
'fu'za'ci'zu 复杂词组
'fu'za'de'dan'ju 复杂的单句
'fu'za'pan'duan 复杂判断
'fu'za'tui'li 复杂推理
'fu'zhu'ti 副主题
'gai'kuo 概括
'gai'kuo'fa 概括法
'gai'kuo'miao'xie 概括描写
'gai'nian 概念
'gai'nian'de'bao'han'guan'xi 概念的包含关系
'gai'nian'de'bao'han'yu'guan'xi 概念的包含于关系
'gai'nian'de'bu'xiang'rong'guan'xi 概念的不相容关系
'gai'nian'de'chong'he'guan'xi 概念的重合关系
'gai'nian'de'cong'shu'guan'xi 概念的从属关系
'gai'nian'de'fan'dui'guan'xi 概念的反对关系
'gai'nian'de'fou'ding'guan'xi 概念的否定关系
'gai'nian'de'gai'kuo 概念的概括
'gai'nian'de'guan'xi 概念的关系
'gai'nian'de'jiao'cha'guan'xi 概念的交叉关系
'gai'nian'de'kuo'da'fa 概念的扩大法
'gai'nian'de'mao'dun'guan'xi 概念的矛盾关系
'gai'nian'de'quan'tong'guan'xi 概念的全同关系
'gai'nian'de'quan'yi'guan'xi 概念的全异关系
'gai'nian'de'shang'shu'guan'xi 概念的上属关系
'gai'nian'de'shu'zhong'guan'xi 概念的属种关系
'gai'nian'de'suo'xiao'fa 概念的缩小法
'gai'nian'de'tong'yi'guan'xi 概念的同一关系
'gai'nian'de'xia'shu'guan'xi 概念的下属关系
'gai'nian'de'xian'ding 概念的限定
'gai'nian'de'xian'zhi 概念的限制
'gai'nian'de'xiang'rong'guan'xi 概念的相容关系
'gai'nian'de'zhu'cong'guan'xi 概念的主从关系
'gai'nian'gai'kuo'de'tui'yan 概念概括的推演
'gai'nian'xian'zhi'de'tui'yan 概念限制的推演
'gai'nian'yu'yu'ci'de'guan'xi 概念与语词的关系
'gai'xu 概叙
'gan'qing'de'qiang'lie'du 感情的强烈度
'gan'qing'de'qing'xi'du 感情的清晰度
'gan'qing'de'te'shu'xing 感情的特殊性
'gan'qing'de'zi'ran'liu'lu 感情的自然流露
'gan'tan'ge 感叹格
'gan'tan'hao 感叹号
'gan'tan'ju 感叹句
'gan'tan'yu 感叹语
'gao'chao 高潮
'gao'chao'dian 高潮点
'gao'feng 高峰
'ge'bie'biao'xiang 个别表象
'ge'bie'yu'yi'ban 个别与一般
'ge'ju 格局
'ge'xing'yu'gong'xing 个性与共性
'ge'yan 格言
'ge'yu'bu'ge 隔与不隔
'gong'bi 工笔
'gong'bian'fa 共变法
'gong'gu'lun'dian 巩固论点
'gong'yong'ding'yi 功用定义
'gou'le 勾勒
'gou'si 构思
'gou'si'qi'ji 构思契机
'gou'si'xian'suo 构思线索
'gu'ding'ci'zu 固定词组
'gu'wen 古文
'gu'you'shu'xing 固有属性
'gu'yu'ci 古语词
'guan'suo 关锁
'guan'xi'ding'yi 关系定义
'guan'xi'pan'duan 关系判断
'guan'xi'tui'li 关系推理
'guan'yong'yu 惯用语
'gui'jia'wen'zi 龟甲文字
'gui'miu'fa 归谬法
'gui'na'fa 归纳法
'gui'na'lun'zheng 归纳论证
'gui'na'tui'li 归纳推理
'guo'du 过渡
'guo'du'ci'yu 过渡词语
'guo'du'duan 过渡段
'guo'du'ju 过渡句
'guo'jie 过接
'guo'mai 过脉
'guo'wen 过文
'guo'yu'bu'ji 过与不及
'han'li 汉隶
'han'qing'shi'yi'lun 含情式议论
'han'zi 汉字
'hang'kuan 行款
'hang'ye'ci'yu 行业词语
'he'shuo'ge 合说格
'he'ti'zi 合体字
'he'xu 合叙
'he'zhe 合辙
'heng'qiao'suo'xi'fa 横桥锁溪法
'heng'shi'jie'gou 横式结构
'heng'yun'duan'shan'fa 横云断山法
'hong'guan'su'cai 宏观素材
'hong'guan'xin'xi'su'cai 宏观信息素材
'hong'tuo 烘托
'hou'ying 后应
'hu'gao'ge 呼告格
'hu'wen'ge 互文格
'hu'yu 互喻
'hu'yu 呼语
'hua'bai'wei'hei 化白为黑
'hua'fen 划分
'hua'kai'liang'duo'ge'biao'yi'zhi 花开两朵各表一枝
'huan'cheng 缓承
'huan'hua 幻化
'huan'jie 缓接
'huan'jing 环境
'huan'jing'miao'xie 环境描写
'huan'jue 幻觉
'huan'jue'miao'xie 幻觉描写
'huan'ming 换名
'huan'suan'ge 换算格
'huan'wei'fa 换位法
'huan'yi'ge 换义格
'huan'zhi'fa 换质法
'huan'zhi'wei'fa 换质位法
'hui 回
'hui'huan'ge 回环格
'hui'tu'shuo'ming 绘图说明
'hui'wen'ge 回文格
'hui'yi'biao'xiang 回忆表象
'hui'yu 回喻
'huo'fa 活法
'huo'ran'fou'ding'pan'duan 或然否定判断
'huo'ran'ken'ding'pan'duan 或然肯定判断
'ji'bai'shou'hei 计白守黑
'ji'ben'ci'hui 基本词汇
'ji'ben'lun'dian 基本论点
'ji'ben'zhu'ti 基本主题
'ji'fa 技法
'ji'he'gai'nian 集合概念
'ji'ji'xiang'xiang 积极想象
'ji'ji'xiu'ci 积极修辞
'ji'jie 急接
'ji'na'shi'jie'gou 集纳式结构
'ji'qiao 技巧
'ji'wu'dong'ci 及物动词
'ji'wu'ming'li 即物明理
'ji'xiao'jian'da 即小见大
'ji'yi'biao'xiang 记忆表象
'ji'yin 基音
'ji'zhong 集中
'jia'gu'wen 甲骨文
'jia'she'fu'ju 假设复句
'jia'shuo 假说
'jia'xu'jia'yi 夹叙夹议
'jia'yan'pan'duan 假言判断
'jia'yan'tui'li 假言推理
'jian'cai 剪裁
'jian'cheng 简称
'jian'dan'pan'duan 简单判断
'jian'dan'tui'li 简单推理
'jian'ge'hao 间隔号
'jian'hua'zi 简化字
'jian'jie'kua'zhang 间接夸张
'jian'jie'lun'zheng 间接论证
'jian'jie'miao'xie 间接描写
'jian'jie'shu'qing 间接抒情
'jian'jie'tui'li 间接推理
'jian'suo'ge 简缩格
'jian'xie 间歇
'jian'yu'ci'zu 兼语词组
'jian'yu'ju 兼语句
'jiang'ren'ni'wu 将人拟物
'jiang'wu'ni'ren 将物拟人
'jiang'yong'ge 降用格
'jiao'dai 交代
'jiao'yu 较喻
'jie 节
'jie'bin'ci'zu 介宾词组
'jie'ci 介词
'jie'ci'ci'zu 介词词组
'jie'dai'ge 借代格
'jie'duan'tuo'yu 借端托寓
'jie'gou 结构
'jie'gou'da'gang 结构大纲
'jie'gou'dian 结构点
'jie'gou'duan 结构段
'jie'gou'mian 结构面
'jie'gou'xian 结构线
'jie'gou'xian'suo 结构线索
'jie'gou'zhuan'huan 结构转换
'jie'jin'lian'xiang 接近联想
'jie'jing'shu'qing 借景抒情
'jie'ju 结句
'jie'ju 结局
'jie'lun 结论
'jie'mo'chui'jie'fa 结末垂戒法
'jie'mo'kuo'ying'fa 结末括应法
'jie'mo'tui'guang'fa 结末推广法
'jie'mo'tui'yuan'fa 结末推原法
'jie'qu 截取
'jie'shuo 界说
'jie'wei 结尾
'jie'wen'ge 诘问格
'jie'xu 借叙
'jie'yi'you'yu'fa 结意有余法
'jie'yin 介音
'jie'yu 借喻
'jie'zhi 节制
'jin'cheng 紧承
'jin'jie 近接
'jin'mai 筋脉
'jin'suo'fu'ju 紧缩复句
'jin'tui 进退
'jin'wen 金文
'jin'zi 今字
'jing'jing'fa 精警法
'jing'jing'ge 精警格
'jing'jing'sheng'hui'fa 精警生辉法
'jing'ju 警句
'jing'pi'shi'yi'lun 警辟式议论
'jing'qian'ge 敬谦格
'jing'tai'miao'xie 静态描写
'jing'yu 警语
'jiong'ping'ren'wu 扃平人物
'jiu'fen 纠纷
'jiu'ge 纠葛
'ju'fa 句法
'ju'hao 句号
'ju'jiao 聚焦
'ju'li 举例
'ju'li'shuo'ming 举例说明
'ju'qun 句群
'ju'shi 句式
'ju'ti'gai'nian 具体概念
'ju'ti'huan'jing 具体环境
'ju'xiang'shi'yi'lun 具象式议论
'ju'xing 句型
'ju'zi 句子
'ju'zi'cheng'fen 句子成分
'ju'zu 句组
'jue'bi 绝笔
'jue'dui'gai'nian 绝对概念
'kai'chang 开场
'kai'duan 开端
'kai'he 开阖
'kai'jue 开掘
'kai'pian 开篇
'kai'shu 楷书
'kai'tou 开头
'kao'he 考核
'kao'ju 考据
'kao'xin 考信
'kao'zheng 考证
'ke'dou'wen 蝌蚪文
'ke'fu 刻符
'ke'xue'si'wei 科学思维
'ke'xue'yu'ti 科学语体
'ken'ding'gai'nian 肯定概念
'ken'ding'ju 肯定句
'ken'ding'pan'duan 肯定判断
'kong'bai 空白
'kong'jian'xian'suo 空间线索
'kou'tou'yu'yan 口头语言
'kou'yu 口语
'kua'zhang 夸张
'kua'zhang'ge 夸张格
'kuai'yu'man 快与慢
'kuo'da'de'kua'zhang 扩大的夸张
'kuo'hao 括号
'kuo'yu 扩喻
'lei'bi'lian'xiang 类比联想
'lei'bi'tui'li 类比推理
'leng'shu'qing 冷抒情
'li'he 离合
'li'lun 立论
'li'lun'si'wei 理论思维
'li'shi'ci'yu 历史词语
'li'shu 隶书
'li'yi 立意
'lian'bian'ge 联边格
'lian'ci 连词
'lian'dong'ci'zu 连动词组
'lian'dong'ju 连动句
'lian'he'ci'zu 联合词组
'lian'huan'shi'jie'gou 连环式结构
'lian'mian'ci 联绵词
'lian'suo'shi 连锁式
'lian'xiang 联想
'lian'xiang'si'wei 联想思维
'lian'xing'jie'gou 链形结构
'lian'yan'pan'duan 联言判断
'lian'yan'tui'li 联言推理
'lian'yi 炼意
'lian'zhu'ge 连珠格
'liang'ci 量词
'liang'guan'dian 亮观点
'lie'ju 列举
'ling'gan 灵感
'ling'gan'si'wei 灵感思维
'liu'chuan'qing'jie 流传情节
'liu'jin 留进
'liu'shu 六书
