'ai'er'sha 艾尔莎
'ang'da 昂达
'bai'da 百搭
'bai'jin'tiao 白金条
'bai'mei'yuan 百美元
'bai'mei'yuan'bi'ji'ben 百美元笔记本
'ban'zai 板载
'bao'die 暴跌
'ben'teng 奔腾
'beng'pan 崩盘
'biao'xing 标星
'bo'di 博帝
'cha'cao 插槽
'chai'ji 拆机
'chang'cheng 长城
'chao'pan'shou 超磐手
'chao'pin 超频
'chao'sheng 超胜
'chao'xian'cheng 超线程
'chao'xian'cheng'ji'shu 超线程技术
'chu'li'qi 处理器
'chuang'jian 创见
'chun'ping'xian'shi'qi 纯平显示器
'ci'pan'jie'kou 磁盘接口
'cuan'ji 攒机
'da'ban 大板
'da'ping 大屏
'dai'er 戴尔
'dai'gong 代工
'dai'gong'chang'shang 代工厂商
'dan'he 单核
'dao'ban 刀版
'de'zhou'yi'qi 德州仪器
'di'lan'heng'jin 迪兰恒进
'dian'nao'ying'jian 电脑硬件
'ding'hao 鼎好
'ding'xing 顶星
'dong'ling 东翎
'dong'zhi 东芝
'du'li'xian'ka 独立显卡
'du'xian 独显
'fang'zheng 方正
'feng'bi'shi'dian'gan 封闭式电感
'fu'hao 富豪
'fu'shi'tong 富士通
'gang'hua'ping 钢化屏
'gao'qing'ying'jian'jie'ma 高清硬件解码
'geng'sheng 耕升
'gong'ban 公版
'gong'bao 工包
'gong'dian'mo'shi 供电模式
'gu'tai'dian'rong 固态电容
'guan'jie 冠捷
'guan'meng 冠盟
'guang'bao 光宝
'guang'da 广达
'hai'dao'chuan 海盗船
'han'ma 悍马
'han'shi'qi 翰士奇
'hao'xin 浩鑫
'he'xin 核心
'he'zhuang 盒装
'hei'bao 黑豹
'hei'bao'er'dai 黑豹二代
'hei'chao 黑潮
'hei'he 黑盒
'hei'jing 黑晶
'hei'long'tiao 黑龙条
'heng'ping 横评
'hong'hai 鸿海
'hong'lian 宏连
'hong'qi 宏碁
'hua'dong'cheng'qi 华东承启
'hua'qing 华擎
'hua'shuo 华硕
'hui'pu 惠普
'huo'xing'ban 火星版
'ji'cheng'xian'ka 集成显卡
'ji'jia 技嘉
'ji'xiang 机箱
'jia'ting'yong'hu 家庭用户
'jia'yong'ji 家用机
'jian'rong'ji 兼容机
'jian'shang 奸商
'jian'shu 键鼠
'jian'shu'tao'zhuang 键鼠套装
'jie'bo 捷波
'jie'kou'lei'xing 接口类型
'jie'wei 杰微
'jin'bang 金邦
'jin'shi'dun 金士顿
'jin'shi'gang 金士刚
'jin'tai'ke 金泰克
'jin'te'er 金特尔
'jin'tiao 金条
'jin'xin 劲芯
'jin'yong 劲永
'jing'wei 精威
'jing'yin'ban 静音版
'jing'ying 精英
'ju'ji'shou 狙击手
'jue'se'wang 角色网
'kai'yuan 开源
'kai'yuan'she'qu 开源社区
'ke'nao 科脑
'ke'shi'jiao'du 可视角度
'ku'rui 酷睿
'lan'bao 蓝宝
'lian'qiang 联强
'lian'xiang 联想
'lou'guang 漏光
'mai'wei 迈威
'mei'ge 美格
'mei'guang 美光
'mei'jie 梅捷
'ming'ji 明基
'ming'xuan 铭瑄
'mo'gu'ban 魔固版
'mo'jian 魔剑
'nan'ya'yi'sheng 南亚易胜
'nei'cun 内存
'nei'cun'cha'cao 内存插槽
'nei'cun'gui'ge 内存规格
'pan'ying 磐英
'pan'zheng 磐正
'pin'pai'dian'nao 品牌电脑
'pin'pai'ji 品牌机
'ping'ban'dian'nao 平板电脑
'ping'guo 苹果
'pu'tong'jia'ting'yong'hu 普通家庭用户
'qi'cai'hong 七彩虹
'qi'mei 奇美
'qi'xi 七喜
'qi'ye'ji 企业级
'qian'xi'tiao 千禧条
'qian'zhao'wang'ka 千兆网卡
'qin'mao 勤茂
'qing'hua'tong'fang 清华同方
'quan'gao'qing 全高清
'quan'xi'lie 全系列
'ren'bao 仁宝
'ru'men'ping'tai 入门平台
'sai'yang 赛扬
'san'he 三核
'san're'kong 散热孔
'san'xiang'gong'dian 三相供电
'san'xiang'gong'dian'she'ji 三相供电设计
'san'xing 三星
'san'zhuang 散装
'shan'long 闪龙
'shang'feng 上风
'shang'wu'ji 商务机
'shang'wu'yong'hu 商务用户
'shang'yong'ji 商用机
'shen'du'ce'shi 深度测试
'shen'zhou 神州
'sheng'chuang 胜创
'sheng'ji 升技
'shi'pin'jie'ma 视频解码
'shi'yong'ping'tai 适用平台
'shu'chu'fang'an 输出方案
'shu'ma'xiang'kuang 数码相框
'shuang'he 双核
'shuang'he'qu'dong 双核驱动
'shuang'min 双敏
'shuang'tong'dao 双通道
'shuang'wu'sun 双无损
'shuang'xian'shi 双显示
'si'ba'da'ke 斯巴达克
'si'he 四核
'song'xia 松下
'su'long 速龙
'sui'ji'fu'jian 随机附件
'suo'ni 索尼
'suo'shui'ban 缩水版
'suo'shui'xian'ka 缩水显卡
'suo'tai 索泰
'tai'ji'dian 台积电
'tai'ping'yang'dian'nao'wang 太平洋电脑网
'te'li'long 特丽珑
'tiao'shui 跳水
'tong'de 同德
'tong'de'dai'gong 同德代工
'tong'lu'chang'shang 通路厂商
'tu'xing'xin'pian 图形芯片
'wan'zi'qian'hong 万紫千红
'wang'ba'pei'zhi 网吧配置
'wei'chuang 纬创
'wei'gang 威刚
'wei'sheng 威盛
'wei'xing 微星
'xia'xin 夏新
'xian'ka 显卡
'xian'ka'cha'cao 显卡插槽
'xian'shi'qi 显示器
'xiang'sheng 翔升
'xiang'ying'shi'jian 响应时间
'xiao'niu'ban 小牛版
'xin'bu 信步
'xin'lan 新蓝
'xin'pian'zu 芯片组
'xing'jia'bi 性价比
'xu'ni'nei'cun 虚拟内存
'xun'chi'si 迅驰四
'xun'jing 讯景
'xun'si'bi'ji'ben 讯四笔记本
'yan'se'bao'man'du 颜色饱满度
'ye'jing'xian'shi'qi 液晶显示器
'yi'long 羿龙
'yi'neng 亿能
'yi'xian'da'chang 一线大厂
'ying'fei'ling 英飞凌
'ying'jian'jia'su 硬件加速
'ying'pan 硬盘
'ying'tai 映泰
'ying'te'er 英特尔
'ying'tong 盈通
'you'da 友达
'you'da'guang'dian 友达光电
'you'pai 优派
'you'xi'zhu'ji 游戏主机
'yu'zhan 宇瞻
'yu'zhan'ke'ji 宇瞻科技
'yuan'sheng 原生
'yuan'sheng'si'he 原生四核
'zhan'di'xiao'long 战地枭龙
'zhan'shen'ban 战神版
'zheng'ji 整机
'zheng'ji'wai'she 整机外设
