'bai'du'san 白毒伞
'chi'mei'bing'mai 赤霉病麦
'dan'duan'bao'mei'xi'zu'hua'he'wu 单端胞霉烯族化合物
'du'san 毒伞
'du'san'tai'lei 毒伞肽类
'du'tai'lei 毒肽类
'du'ying'jian 毒蝇碱
'du'ying'san'xun 毒蝇伞蕈
'gan'shu'chang'hui'ke'jun 甘薯长喙壳菌
'gan'shu'tong'chun'ning 甘薯酮醇宁
'gen'dang'jian 茛菪碱
'guang'gai'san'su 光盖伞素
'guang'guo'min'xing'pi'yan'xing 光过敏性皮炎型
'han'qing'gan'lei 含氰苷类
'hei'san'xun'shu 黑伞蕈属
'hua'zhe'san'shu 花摺伞属
'huan'jue'yuan 幻觉原
'jie'ling'bao'mei 节菱孢霉
'ju'huang'luo'san'xun 橘黄裸伞蕈
'la'zi'shu'suan 蜡子树酸
'lei'shu'zhi'wu'zhi'du'su 类树脂物质毒素
'lian'dao'jun'jun'zhong 镰刀菌菌种
'lu'hua'du'su 鹿花毒素
'lu'hua'xun 鹿花蕈
'mai'jiao'an 麦角胺
'mai'jiao'ke'jian 麦角克碱
'mai'jiao'xin'jian 麦角新碱
'mai'jiao'yi'an 麦角异胺
'mai'jiao'yi'ke'jian 麦角异克碱
'mai'jiao'yi'xin'jian 麦角异新碱
'qie'jian 茄碱
'ri'guang'xing'pi'yan 日光性皮炎
'shi'fang'ge'du'su 石房蛤毒素
'si'gai'san'xun 丝盖伞蕈
'tuo'lin'suan'guang'gai'san'su 脱磷酸光盖伞素
'yu'mi'chi'mei'xi'tong'lei 玉米赤霉烯酮类
'zhu'zui'mo 猪嘴蘑
