'a'lang'yi'bi 阿郎一笔
'a'lao 阿老
'bai'bo'hua 白伯骅
'bo'xiao'huai 卜孝怀
'cai'he'ting 蔡鹤汀
'cao'ke'jia 曹克家
'chang'yu 常玉
'chen'ban'ding 陈半丁
'chen'ceng'shou 陈曾寿
'chen'da'yu 陈大羽
'chen'da'zhang 陈大章
'chen'ji'chang 陈吉昌
'chen'lin'xiang 陈麟祥
'chen'lin'zhai 陈林斋
'chen'shao'mei 陈少梅
'chen'shi'ceng 陈师曾
'chen'shu'ren 陈树人
'chen'yi'fei 陈逸飞
'chen'yuan'du 陈缘督
'chen'zhi'fo 陈之佛
'chen'zi'zhuang 陈子庄
'cheng'kun 程坤
'cheng'shi'fa 程十发
'cheng'xiang'zhao 程相昭
'cheng'zhang 程璋
'cui'zi'fan 崔子范
'deng'bai 邓白
'deng'fen 邓芬
'deng'fu'bang 邓福帮
'ding'fu'zhi 丁辅之
'ding'yan'yong 丁衍庸
'ding'yun'peng 丁云鹏
'dong'shou'ping 董寿平
'fan'shao'yun 樊少云
'fan'zeng 范曾
'fang'ji'zhong 方济众
'fang'jun'bi 方君璧
'fang'ren'ding 方人定
'feng'chao'ran 冯超然
'feng'ji'cai 冯骥才
'feng'zhong'lian 冯忠莲
'feng'zi'kai 丰子恺
'fu'bao'shi 傅抱石
'gao'guan'hua 高冠华
'gao'jian'fu 高剑父
'gao'jian'seng 高剑僧
'gao'qi'feng 高奇峰
'gu'dai 古代
'gu'kun'bo 顾坤伯
'gu'luo 顾洛
'guan'liang 关良
'guan'ping'hu 管平湖
'guan'shan'yue 关山月
'guo'chuan'zhang 郭传璋
'guo'mo'ruo 郭沫若
'guo'wei'qu 郭味蕖
'he'hai'xia 何海霞
'he'jia'ying 何家英
'he'qi'yuan 何漆园
'he'tian'jian 贺天健
'he'xiang'ning 何香凝
'hong'tong 洪通
'hu'ye'fo 胡也佛
'hua'jia'zuo'pin 画家作品
'hua'yan 华喦
'hua'yuan 花元
'huang'bin'hong 黄宾虹
'huang'ding 黄鼎
'huang'huan'wu 黄幻吾
'huang'jun'bi 黄君璧
'huang'qiu'yuan 黄秋园
'huang'shan'shou 黄山寿
'huang'yong'yu 黄永玉
'huang'zhou 黄胄
'huo'chun'yang 霍春阳
'jiang'han'ting 江寒汀
'jiang'xun 姜壎
'jiang'zhao'he 蒋兆和
'jiao'bing'zhen 焦秉贞
'jin'cheng 金城
'lai'shao'qi 赖少其
'leng'mei 冷枚
'li'ke'ran 李可染
'li'ku'chan 李苦禅
'li'lao'shi 李老十
'li'ming 黎明
'li'rui'qing 李瑞清
'li'shi'nan 李世南
'li'tie'fu 李铁夫
'li'xiong'cai 黎雄才
'lin'feng'mian 林风眠
'lin'san'zhi 林散之
'liu'chun'hua 刘春华
'liu'da'wei 刘大为
'liu'hai'su 刘海粟
'liu'ji'you 刘继卣
'liu'kui'ling 刘奎龄
'liu'ling'cang 刘凌沧
'liu'zi'gu 柳子谷
'lou'shi'bai 娄师白
'lu'guang'zhao 卢光照
'lu'hui 陆恢
'lu'xiao'man 陆小曼
'lu'yan'shao 陆俨少
'lu'yi'fei 陆抑非
'lv'feng'zi 吕凤子
'lv'ji 吕纪
'lv'shou'kun 吕寿琨
'ma'dai 马骀
'ma'jin 马晋
'mu'ling'fei 慕凌飞
'pan'tian'shou 潘天寿
'pan'yu'liang 潘玉良
'pan'zhen'yong 潘振镛
'pang'xun'qin 庞薰琹
'pang'yuan'ji 庞元济
'pu'jin 溥伒
'pu'ru 溥儒
'pu'xian 溥僴
'pu'zuo 溥佐
'qi'bai'shi 齐白石
'qi'da'kui 祁大夔
'qi'gong 启功
'qi'kun 祁崑
'qi'liang'chi 齐良迟
'qian'hua'fo 钱化佛
'qian'hui'an 钱惠安
'qian'shou'tie 钱瘦铁
'qian'song'yan 钱松嵒
'qiu'ying 仇英
'ren'bo'nian 任伯年
'ren'lv'ying 任率英
'ren'wei'quan 任伟全
'ren'wu 人物
'ren'zhong 任重
'shen'quan 沈铨
'shen'shi'ga 申石伽
'shen'yi'zhai 沈一斋
'shi'lu 石鲁
'shu'tong 舒同
'song'wen'zhi 宋文治
'su'dong'po 苏东坡
'su'hai'sheng 苏海生
'tang'yun 唐云
'tao'leng'yue 陶冷月
'tian'shi'guang 田世光
'wang'bao'hua 王保华
'wang'bin 王斌
'wang'er'shui 王二水
'wang'ge'yi 王个簃
'wang'ji'qian 王季迁
'wang'jian 王鉴
'wang'jian'hua 王建华
'wang'mei'fang 王美芳
'wang'ming'ming 王明明
'wang'shen'sheng 汪慎生
'wang'shi'zi 王师子
'wang'shu'hui 王叔晖
'wang'xin'jing 王心竟
'wang'xue'tao 王雪涛
'wang'ying'chun 王迎春
'wang'zhen 王震
'wei'zi'xi 魏紫熙
'wei'zi'xi'shan'shui 魏紫煕山水
'wu'chang'shuo 吴昌硕
'wu'guan'dai 吴观岱
'wu'guang'yu 吴光宇
'wu'hu'fan 吴湖帆
'wu'qin'mu 吴琴木
'wu'zi'shen 吴子深
'wu'zuo'ren 吴作人
'xiao'shu'fang 萧淑芳
'xiao'xun 萧愻
'xie'bing'jun 谢秉钧
'xie'zhi'guang 谢之光
'xie'zhi'liu 谢稚柳
'xu'bei'hong 徐悲鸿
'xu'cao 徐操
'xu'le'le 徐乐乐
'xu'yan 徐砚
'xu'zhen 徐桢
'ya'ming 亚明
'yan'bo'long 颜伯龙
'yan'wen'liang 颜文樑
'yang'shan'shen 杨善深
'yao'you'duo 姚有多
'ye'gong'chuo 叶恭绰
'ye'qian'yu 叶浅予
'yin'shou'shi 尹瘦石
'yin'zi'xiang 殷梓湘
'ying'ye'ping 应野平
'yu'fei'an 于非闇
'yu'ji'gao 喻继高
'yu'shao'song 余绍宋
'yu'zhi'zhen 俞致贞
'yuan'li'zhun 袁励准
'yuan'yao 袁耀
'zhang'biao 张飙
'zhang'bo'ju 张伯驹
'zhang'cun'liang 张存良
'zhang'da'qian 张大千
'zhang'da'zhuang 张大壮
'zhang'fu 张复
'zhang'kun'yi 张坤仪
'zhang'lun 张论
'zhang'shan'ma 张善孖
'zhang'shi'jian 张世简
'zhang'shi'yuan 张石园
'zhang'shu'qi 张书旂
'zhao'chun'xiang 赵春翔
'zhao'ji 赵佶
'zhao'meng'fu 赵孟頫
'zhao'shao'ang 赵少昂
'zhao'shi'jun 赵世君
'zhao'wang'yun 赵望云
'zhao'yun'he 赵云壑
'zheng'mu'kang 郑慕康
'zheng'wu'chang 郑午昌
'zhong'chu'tian 钟楚田
'zhong'yan'she 钟彦畬
'zhou'bi'chu 周碧初
'zhou'chang'gu 周昌谷
'zhou'si'cong 周思聪
'zhou'zhi'mian 周之冕
'zhu'mei'cun 朱梅邨
'zhu'qi'zhan 朱屺瞻
'zhu'sheng 诸昇
