'ai'hao 爱好
'an'quan'xian'ti'fen'ge'jie'guo 按权限体分割结果
'an'xiao'shou'dao'ru'jie'suan'dan'fa'sheng'biao 按销售导入结算单发生表
'an'zhuang'ri'qi 安装日期
'ban'ben 版本
'ban'ci 班次
'ban'qian'shi'jian 搬迁时间
'ban'zu 班组
'bao'ben'xiao'shou'e 保本销售额
'bao'biao'chong'fa'biao'zhi'ding'yi 报表重发标志定义
'bao'di'jin'e 保底金额
'bao'e 保额
'bao'e'zong'e 保额总额
'bao'gao 报告
'bao'guo'bian'hao 包裹编号
'bao'han'biao'zhi 包含标志
'bao'huo'lei'xing 报货类型
'bao'ming 包名
'bao'pi'men'dian 报批门店
'bao'pi'ren 报批人
'bao'pi'shi'jian 报批时间
'bao'sun'yuan'yin 报损原因
'bao'wen'lei'xing 报文类型
'bao'xian'fei 保险费
'bao'xian'fei'zong'e 保险费总额
'bao'xian'ren 保险人
'bao'xiu'qi'xian 保修期限
'bao'zheng'jin 保证金
'bao'zhi'qi 保质期
'bao'zhuang 包装
'bao'zhuang'dan'wei 包装单位
'bao'zhuang'gui'ge 包装规格
'bao'zhuang'gui'ge'miao'shu 包装规格描述
'bao'zhuang'gui'ge'shuo'ming 包装规格说明
'bao'zhuang'jian'shu 包装件数
'bao'zhuang'miao'shu 包装描述
'bao'zhuang'shu 包装数
'bao'zhuang'shu'liang 包装数量
'bao'zhuang'shu'liang'zi'fu'chuan 包装数量字符串
'bao'zhuang'shuo'ming 包装说明
'bao'zhuang'xiang'shu 包装箱数
'bei'chong'kai'de'fa'piao'hao 被重开的发票号
'bei'shu 倍数
'bei'tiao'zheng'dan'ju'biao'ming 被调整单据表名
'bei'tiao'zheng'dan'ju'hang'hao 被调整单据行号
'bei'tiao'zheng'dan'ju'hao 被调整单据号
'bei'tiao'zheng'dan'ju'lai'yuan'dan'hao 被调整单据来源单号
'bei'tiao'zheng'dan'ju'lei'xing 被调整单据类型
'bei'wang'nei'rong 备忘内容
'bei'wang'wen'jian 备忘文件
