'bian'tai 变态
'bu'yao'pai'tou'hui'tong'de 不要拍头会痛的
'da'ling 达令
'da'ni'o 打你哦
'da'wu'gui 大乌龟
'da'zhu'ti'zi 大猪蹄子
'de'shuo 的说
'en'en 嗯嗯
'en'ne 嗯呢
'gui'gui 龟龟
'hao'ba'yuan'liang'ni'ba 好吧原谅你吧
'hao'da 好哒
'jie'jie'jiang 姐姐酱
'ka'wa'yi 卡哇伊
'kong'bang'wa 孔帮哇
'me'me'da 么么哒
'mi'na 米娜
'mi'na'sang'kong'ni'qi'wa 米娜桑孔你七娃
'miao'miao'miao 喵喵喵
'miao'wu 喵呜
'ni'qi'fu'ren 你欺负人
'o'ha'yo 哦哈哟
'o'ha'yo'mi'na'sang 哦哈哟米娜桑
'ou'ni'jiang 欧尼酱
'qin'ai'de 亲爱的
'shui'jiao'le'da'jia'wan'an 睡觉了大家晚安
'tao'yan 讨厌
'tian're'lu 天惹噜
'tu'tu 兔兔
'wan'an'o'me'me'da 晚安哦么么哒
'wo'yao'chi'tu'tu 我要吃兔兔
'xie'xie 谢谢
'xie'xie'ni'le 谢谢你了
'yi'ni'zhe'ren 咦你这人
'ying'ying'ying 嘤嘤嘤
'zhe'wei'tong'xue 这位同学
