'a'bi'xi'ni'ya'mao 阿比西尼亚猫
'ai'ji'mao 埃及猫
'an'ge'la'mao 安哥拉猫
'ao'xi'mao 奥西猫
'ba'li'dao'mao 巴厘岛猫
'ba'mi'zi'mao 巴密兹猫
'bao'mao 豹猫
'bei'mei'zhou'duan'mao'mao 北美洲短毛猫
'bi'de'tu'mao 彼得秃猫
'bo'man'mao 伯曼猫
'bo'si'mao 波斯猫
'bu'lv'lan'shan'mao 布履阑珊猫
'bu'ou'mao 布偶猫
'bu'wa'wa'mao 布娃娃猫
'chang'mao'fan'er'mao 长毛反耳猫
'chang'mao'mao 长毛猫
'chang'mao'xian'luo'mao 长毛暹罗猫
'dan'huang'qiao'ke'li'mao 蛋黄巧克力猫
'de'wen'juan'mao'mao 得文卷毛猫
'di'fan'ni'mao 蒂凡尼猫
'dong'fang'chang'mao'mao 东方长毛猫
'dong'fang'duan'mao'mao 东方短毛猫
'dong'qi'ni'mao 东奇尼猫
'duan'mao'mao 短毛猫
'duan'wei'mao 短尾猫
'dun'si'ke'yi'mao 顿斯科伊猫
'e'guo'lan'mao 俄国蓝猫
'e'luo'si'lan'mao 俄罗斯蓝猫
'fan'xi'juan'er'mao 凡稀卷耳猫
'fei'chun'zhong'mao 非纯种猫
'gao'di'zhe'er'mao 高地折耳猫
'ha'wa'na'mao 哈瓦那猫
'ha'wa'na'zong'se'mao 哈瓦那棕色猫
'hu'ban'mao 虎斑猫
'huang'mo'mao 荒漠猫
'jia'fei'mao 加菲猫
'jia'na'da'wu'mao'mao 加拿大无毛猫
'jia'zhou'shan'liang'mao 加州闪亮猫
'jin'ji'la 金吉拉
'juan'er'mao 卷耳猫
'juan'mao'mao 卷毛猫
'ka'er'te'mao 卡尔特猫
'ka'te'er'mao 卡特尔猫
'kang'wo'er'di'wang'mao 康沃尔帝王猫
'ke'la'te'mao 克拉特猫
'ke'la'te'mao 柯拉特猫
'ke'lai'te'mao 科来特猫
'ke'ni'si'juan'mao'mao 柯尼斯卷毛猫
'ku'li'rui'duan'wei'mao 库里瑞短尾猫
'la'bang'mao 拉邦猫
'la'ge'duo'er'mao 拉格多尔猫
'li'ke'si'mao 力克斯猫
'ma'en'dao'mao 马恩岛猫
'man'dao'mao 曼岛猫
'man'ke'si'mao 曼克斯猫
'man'qie'kan'mao 曼切堪猫
'mei'guo'duan'mao'mao 美国短毛猫
'mei'guo'duan'wei'mao 美国短尾猫
'mei'guo'gang'mao'mao 美国刚毛猫
'mei'guo'juan'er'duan'mao'mao 美国卷耳短毛猫
'mei'guo'juan'er'mao 美国卷耳猫
'mei'guo'ying'mao'mao 美国硬毛猫
'meng'jia'la'mao 孟加拉猫
'meng'mai'mao 孟买猫
'mian'dian'mao 缅甸猫
'mian'yin'ku'en'mao 缅因库恩猫
'mian'yin'mao 缅因猫
'mo'te'mao 模特猫
'nei'hua'da'mao 内华达猫
'ni'pen'lei'ku'si'mao 泥盆雷库斯猫
'nuo'wei'mao 挪威猫
'nuo'wei'sen'lin'mao 挪威森林猫
'ou'si'ya'shi'lie'si'mao 欧斯亚史烈斯猫
'ou'xi'mao 欧西猫
'ou'zhou'duan'mao'mao 欧洲短毛猫
'ri'ben'duan'wei'mao 日本短尾猫
'ri'ben'jie'wei'mao 日本截尾猫
'sai'er'kai'ke'juan'mao'mao 塞尔凯克卷毛猫
'sai'she'er'mao 塞舌尔猫
'sha'te'er'mao 沙特尔猫
'shan'dong'shi'zi'mao 山东狮子猫
'shi'zi'mao 狮子猫
'si'chuan'jian'zhou'mao 四川简州猫
'si'fen'ke'si'mao 斯芬克斯猫
'su'ge'lan'zhe'er'mao 苏格兰折耳猫
'suo'ma'li'mao 索马里猫
'tai'guo'mao 泰国猫
'tu'er'qi'an'ge'la'mao 土耳其安哥拉猫
'tu'er'qi'fan'ke'di'si'mao 土耳其梵科迪斯猫
'tu'er'qi'fan'mao 土耳其梵猫
'wai'lai'zhong'mao 外来种猫
'wei'er'si'mao 韦尔斯猫
'xi'bo'li'ya'sen'lin'mao 西伯利亚森林猫
'xi'ka'ke'lei'ku'si'mao 西卡克雷库斯猫
'xi'ma'la'ya'mao 喜马拉雅猫
'xi'mu'li'ke'mao 希姆利克猫
'xia'er'te'mao 夏尔特猫
'xian'luo'mao 暹罗猫
'xiao'wan'er'mao 小弯耳猫
'xin'jia'po'mao 新加坡猫
'xue'xie'mao 雪鞋猫
'ye'zi'mao 椰子猫
'yi'guo'duan'mao'mao 异国短毛猫
'ying'guo'duan'mao'mao 英国短毛猫
'yue'nan'mao 越南猫
'yun'mao 云猫
'za'zhong'chang'mao'mao 杂种长毛猫
'zhao'wa'mao 爪哇猫
'zhe'er'mao 折耳猫
'zhe'er'mao 摺耳猫
'zhong'dian'se'bo'si'mao 重点色波斯猫
'zhong'guo'li'hua'mao 中国狸花猫
'zong'lv'mao 棕榈猫
