'an'gou 暗沟
'an'quan'dai 安全带
'an'quan'dao 安全岛
'an'quan'deng'ji 安全等级
'an'quan'jian'cha'qing'dan 安全检查清单
'an'quan'xi'shu 安全系数
'an'wa'fa 暗挖法
'ao'xing'shu'qu'xian 凹形竖曲线
'ba'lun'ping'zheng'du'ce'ding'yi 八轮平整度测定仪
'ba'zhuang'ji 拔桩机
'ba'zi'xing'qiao'tai 八字形桥台
'bai'mi'zhuang 百米桩
'bai'qi'shi'gu'si'wang'lv 百起事故死亡率
'bai'shi'mo'ca'yi 摆式摩擦仪
'bai'shi'yi 摆式仪
'bai'wan'ren'kou'shi'gu'si'wang'lv 百万人口事故死亡率
'ban'ding'xiang'za'dao 半定向匝道
'ban'gang'xing'ji'ceng 半刚性基层
'ban'gang'xing'lu'mian 半刚性路面
'ban'heng'xiang'tong'feng 半横向通风
'ban'huo'fa 拌和法
'ban'kai'ji'pei'li'qing'sui'shi'hun'he'liao 半开级配沥青碎石混合料
'ban'qiao 板桥
'ban'rou'xing'lu'mian 半柔性路面
'ban'tian'ban'wa'shi'lu'ji 半填半挖式路基
'ban'ya'li'shi'han'dong 半压力式涵洞
'ban'yong'jiu'xing'qiao 半永久性桥
'bao'bing'dong'tu 饱冰冻土
'bao'ceng'li'qing'hun'he'liao 薄层沥青混合料
'bao'he'du 饱和度
'bao'he'mian'gan'xi'shui'lv'shi'mo 饱和面干吸水率试模
'bao'he'tu 饱和土
'bao'hu'ceng 保护层
'bao'luo'xian 包络线
'bao'po'lou'dou 爆破漏斗
'bao'po'zuo'yong'quan 爆破作用圈
'bao'wen'ge're 保温隔热
'bao'wen'ge're'ceng 保温隔热层
'bao'wen'hu'dao 保温护道
'bao'yu'qiang'du 暴雨强度
'bao'zha'jia'mi'fa 爆炸加密法
'bao'zheng'lv'xi'shu 保证率系数
'bei'hou'kong'dong 背后空洞
'bei'ke'man'liang 贝克曼梁
'bei'lei'jia 贝雷架
'beng'song'hun'ning'tu 泵送混凝土
'beng'ta 崩塌
'beng'zhan'pai'shui 泵站排水
'bi'che'dong 避车洞
'bi'he'dao'xian 闭合导线
'bi'jiao'xian 比较线
'bi'xian'che'dao 避险车道
'bi'xiao'pu'fa'jian'hua'tiao'fen'fa 毕肖普法简化条分法
'bian'ban'ce'zhang'shi'yan 扁板侧胀试验
'bian'gou 边沟
'bian'po 边坡
'bian'po'dian 变坡点
'bian'po'ping'tai 边坡平台
'bian'po'po'du 边坡坡度
'bian'po'po'lv 边坡坡率
'bian'po'shen'gou 边坡渗沟
'bian'po'xing'zhuang 边坡形状
'bian'qiang 边墙
'bian'su'che'dao 变速车道
'bian'tan 边滩
'bian'xing 变形
'bian'xing'jian'ce 变形监测
'bian'xing'su'du 变形速度
'biao'gao 标高
'biao'mian'chu'zhi 表面处治
'biao'mian'ying'du'ji 表面硬度计
'biao'zhi'zhuang 标志桩
'biao'zhun'cha 标准差
'biao'zhun'gong'ye'nian'du'yi 标准工业粘度仪
'biao'zhun'guan'ru'shi'yan 标准贯入试验
'biao'zhun'shai 标准筛
'biao'zhun'xi'shi'han'shui'lv 标准吸湿含水率
'bin'hai'lu'ji 滨海路基
'bing'hai 病害
'bing'hai'chu'zhi 病害处治
'bo'jiao'fa'fang'xian 拨角法放线
'bo'li'xian'wei 玻璃纤维
'bo'luo 剥落
'bo'song'bi 泊松比
'bu'fen'mu'xu'ye'xing'li'ti'jiao'cha 部分苜蓿叶形立体交叉
'bu'fen'mu'xu'ye'xing'li'ti'jiao'cha 部分苜蓿页形立体交叉
'bu'liang'di'zhi 不良地质
'bu'qiang'ceng 补强层
'bu'qiang'gong'jia 补强拱架
'bu'xing'su'du 步行速度
'cai'kong'qu 采空区
'cai'liao 材料
'cai'liao'lie'hua 材料劣化
'cai'liao'xing'zhi 材料性质
'cai'se'li'qing 彩色沥青
'cai'se'li'qing'hun'he'liao 彩色沥青混合料
'cai'se'li'qing'lu'mian 彩色沥青路面
'cai'se'shui'ni 彩色水泥
'cai'se'shui'ni'hun'ning'tu 彩色水泥混凝土
'cai'se'shui'ni'lu'mian 彩色水泥路面
'cai'se'shui'ni'sha'jiang 彩色水泥砂浆
'can'liu'kang'ya'qiang'du 残留抗压强度
'cao'lv 糙率
'ce'dian 测点
'ce'liang 测量
'ce'qu 测区
'ce'shi 侧石
'ce'xian 测线
'ce'xiang'jing'kuan 侧向净宽
'ce'xiang'yu'kuan 侧向余宽
'ce'zhan 测站
'ceng'pu'fa 层铺法
'cha'yi'chen'jiang 差异沉降
'chan'yun'ji 铲运机
'chang'ban'fa 厂拌法
'chang'fa'xing'jiao'tong'yong'ji 常发性交通拥挤
'chang'gan'guan'ru'yi 长杆贯入仪
'chang'kuang'dao'lu 厂矿道路
'chang'qi'jian'ce 长期监测
'chang'qi'yang'hu'zuo'ye 长期养护作业
'chang'shou'ming'li'qing'lu'mian 长寿命沥青路面
'chao'bao'ceng'li'qing'hun'he'liao 超薄层沥青混合料
'chao'che'che'dao 超车车道
'chao'che'shi'ju 超车视距
'chao'gao 超高
'chao'gao'huan'he'duan 超高缓和段
'chao'qian'da'dao'guan'yu'zhi'hu 超前大导管预支护
'chao'qian'di'zhi'yu'bao 超前地质预报
'chao'qian'mao'gan 超前锚杆
