'bai'li'qing'xiao 百里清萧
'fang'ni 方逆
'jun'luo'yu 君落羽
'lan'xiu 蓝修
'lei'yu'feng 雷御风
'luo'yi'jin 洛伊金
'mo'di 墨帝
'mo'han'jian 墨寒剑
'mo'ling 墨灵
'mo'zhu 墨竹
'qian'ji'mie 千寂灭
'qin'ao'feng 秦傲风
'qin'ao'tian 秦傲天
'qin'fei'yu 秦非雨
'qin'mu'han 秦暮寒
'qin'shuang 秦霜
'qin'shuo 秦朔
'qing'xuan 青玄
'qing'xue 青雪
'rong'luo 融洛
'su'ya'fu'ren 苏雅夫人
'yin'fu'zhi 殷赋之
'yue'xi'yan 月夕颜
'yun'feng'qin 云风沁
'yun'qing'cang 云擎苍
'yun'qing'hong 云轻鸿
'zhan'feng 斩风
