'an'pai 暗排
'bai'ye'kuang 百叶框
'bai'ye'pian 百叶片
'bian'feng 边封
'bian'tong 扁通
'chuang'sha'yi'ti 窗纱一体
'da'mian 大面
'da'xia'fang 大下方
'dan'cao 单槽
'duan'qiao 断桥
'fan'cha'ban 反插板
'fang'guan 方管
'fang'tong 方通
'fang'ya'xian 方压线
'gai'ban 盖板
'ge're 隔热
'gong'zi 工字
'gong'zi'pin'ban 工字拼板
'gou'qi 勾企
'gu'shang'hua 固上滑
'gu'xia'hua 固下滑
'guang'qi 光企
'jia'zhong'ting 假中挺
'jiao'lv 角铝
'jiao'ma 角码
'kuang'jiao'ma 框角码
'kuang'ya'xian 框压线
'nei'kai'shan 内开扇
'ni'long'tiao 尼龙条
'pin'ban 拼板
'pin'tiao 拼条
'ping'shang'hua 平上滑
'ping'xia'hua 平下滑
'san'jiao'ya'xian 三角压线
'shan'jiao'ma 扇角码
'shan'ya'xian 扇压线
'shang'fang 上方
'shang'gu 上固
'shang'hua 上滑
'shang'xia'fang 上下方
'shou'kou 收口
'shuang'bian'feng 双边封
'suo'cao 锁槽
'wai'kai'shan 外开扇
'wai'kuang 外框
'wai'xia'fang 外下方
'wu'feng'han'jie 无缝焊接
'xia'fang 下方
'xia'hua 下滑
'xiao'gai'ban 小盖板
'xiao'mian 小面
'xie'ya'xian 斜压线
'ya'xian 压线
'yin'pai 隐排
'yuan'guan 圆管
'yuan'hu'ya'xian 圆弧压线
'zhong'kong'gou'qi 中空勾企
'zhong'kong'guang'qi 中空光企
'zhong'ting 中挺
'zhong'zhu 中柱
'zhuan'huan'kuang 转换框
'zhuan'jiao 转角
'zhuan'jiao'dai'feng 转角带封
