'a'mi'ni'wu'si 阿米尼乌斯
'an'bi 安比
'an'bi'ao'li'ke'si 安比奥里克斯
'an'bi'gong 安比弓
'an'cang'sha'ji 暗藏杀机
'ba'ji 八级
'bei'chong 背冲
'bei'she 背射
'biao'qiang 标枪
'bo'si 波斯
'bu'di'ka 布狄卡
'bu'ji'dian 补给点
'bu'ji'pin 补给品
'bu'qu 不屈
'ce'fan 策反
'ce'she 侧射
'chang'bian 长鞭
'chang'ji 长戟
'chao'chang'mao 超长矛
'cheng'nian'bing 成年兵
'chong'feng 冲锋
'chong'ji'zhen'xing 冲击阵型
'chong'jia 冲家
'chuan'yun'jian 穿云箭
'da'dao 大刀
'da'di 大帝
'da'di'qi 大帝骑
'da'hu'zi 大胡子
'da'hu'zi'bu'bing 大胡子步兵
'da'hu'zi'qi'bing 大胡子骑兵
'da'xi'bi'a 大西庇阿
'da'zhao 大招
'dan'nu 单弩
'di'di'biao 弟弟标
'di'di'jian'dun 弟弟剑盾
'di'di'mao 弟弟矛
'di'di'qi 弟弟骑
'di'di'xiang 弟弟象
'duan'mao 短矛
'dun'ge 盾格
'dun'ji 盾击
'dun'qiang 盾墙
'er'ji 二级
'er'ji'neng 二技能
'fan'ji 反击
'fang'huo 放火
'fang'zhu 放逐
'fei'jiang 飞将
'fu'ji 伏击
'gang'tie'yi'zhi 钢铁意志
'ge'ge'jian'dun 哥哥剑盾
'ge'ge'mao 哥哥矛
'ge'ge'xiang 哥哥象
'gong'cheng 攻城
'gong'dao'cheng'men 攻到城门
'gong'qi 弓骑
'gou'bing 狗兵
'gou'ma 狗妈
'gou'mei 狗妹
'gui'jia'zhen 龟甲阵
'ha'si'de'lu'ba 哈斯德鲁巴
'han'ni'ba 汉尼拔
'han'qi 汉骑
'hu'zi'bu 胡子步
'hu'zi'qi 胡子骑
'hui'lu 贿赂
'jia'tai'ji'duan'mao 迦太基短矛
'jia'tai'ji'jian'dun 迦太基剑盾
'jian'dun 剑盾
'jian'shou'zhen'xian 坚守阵线
'jiao'tu 焦土
'jin'fang 近防
'jin'gong 近攻
'jiu'ji 九级
'ju'dun 举盾
'jue'xin 决心
'ka'dian 卡点
'kai'sa 凯撒
'kai'sa'bu 凯撒步
'kai'sa'nu'pao 凯撒弩炮
'kai'sa'pao 凯撒炮
'kai'sa'xie'nu 凯撒蝎弩
'ke'li'ke'si 克里克斯
'kong'ju 恐惧
'ku'na'nie 库娜涅
'kuang'nu 狂怒
'lian'dao 镰刀
'lian'nu 连弩
'lie'ao'ni'da 列奥尼达
'liu'ji 六级
'luo'bu 罗步
'luo'jian 罗奸
'luo'jian'gou 罗奸狗
'luo'jian'lian'dao 罗奸镰刀
'luo'jian'man'bu 罗奸蛮步
'luo'jian'qi 罗奸骑
'luo'qi 罗骑
'luo'tuo'qi 骆驼骑
'luo'zhong 罗中
'luo'zhong 罗重
'man'bu 蛮步
'man'gong 蛮弓
'mi'ji'zhen 密集阵
'mi'tai 米太
'mi'tai'mao 米太矛
'mi'tai'ya'de 米太亚德
'ni'die 尼爹
'ni'ku'si 尼库斯
'nu'che 弩车
'nu'ji 怒击
'nu'pao 弩炮
'pao'che 炮车
'pao'hui 炮灰
'po'jia 破甲
'qi'ji 七级
'qi'yi 起义
'qian'nang'bao'man 钱囊饱满
'qiang'dun'gong 枪盾弓
'qiang'xing'jun 强行军
'san'ji 三级
'sao'rao'she'ji 骚扰射击
'shen'bing'tian'jiang 神兵天降
'shi'ji 十级
'shi'yan 誓言
'shuang'bei'jun'xiang 双倍军饷
'shuang'dao 双刀
'si'ba'da 斯巴达
'si'ba'da'chao'chang'mao 斯巴达超长矛
'si'ba'da'duan'mao 斯巴达短矛
'si'ba'da'ke'si 斯巴达克斯
'si'ji 四级
'su'la 苏拉
'su'la'bu 苏拉步
'su'la'zhong'bu 苏拉中步
'su'la'zhong'bu 苏拉重步
'tie'zhen 铁砧
'tou'dian 偷点
'tou'shi 投石
'tou'shi'ji 投石机
'tou'shi'shou 投石手
'wan'fu'mo'kai 万夫莫开
'wan'jian'qi'fa 万箭齐发
'wei'he 威吓
'wei'qin'tuo'li 维钦托利
'wei'zhuang 伪装
'wo'jian 我见
'wo'lai 我来
'wo'zheng'fu 我征服
'wu'ji 五级
'wu'jian 舞剑
'wu'qi'shang 武器伤
'wu'shang 误伤
'xi'la'duan'mao 希腊短矛
'xi'la'gong 希腊弓
'xi'la'mao 希腊矛
'xi'la'qi 希腊骑
'xi'pi 西皮
'xi'pi'bu 西皮步
'xi'pi'luo'qi 西皮罗骑
'xi'rao 袭扰
'xian'feng 先锋
'xiao'ji'neng 小技能
'xiao'yong'dou'shi 骁勇斗士
'xie'nu 蝎弩
'xie'xing'zhen 楔形阵
'ya'di 亚帝
'ya'di'qi 亚帝骑
'ya'li'shan'da 亚历山大
'yi'ji 一级
'yi'ji'neng 一技能
'yu'cha 鱼叉
'yuan'ge 远格
'zhan'dian 占点
'zhan'hou 战吼
'zhan'jia 占家
'zhong'bu 中步
'zhong'bu 重步
'zhong'cheng'shi'yan 忠诚誓言
'zhong'chui 重锤
'zhui'lie 追猎
