'bi'bao 闭包
'fu'dong 浮动
'fu'ji'yuan'su 父级元素
'hui'tiao'han'shu 回调函数
'huo'qu'biao'qian 获取标签
'jing'ling'tu 精灵图
'kai'fa'gong'cheng'shi 开发工程师
'lei'ming 类名
'nei'bian'ju 内边距
'qing'chu'ding'shi'qi 清除定时器
'qing'chu'fu'dong 清除浮动
'qing'chu'ji'shi'qi 清除计时器
'sheng'ming'zhou'qi 生命周期
'shuang'bian'ju 双边距
'shuang'xiang'shu'ju'bang'ding 双向数据绑定
'tong'bu'qing'qiu 同步请求
'wai'bian'ju 外边距
'wei'lei 伪类
'yi'bu'qing'qiu 异步请求
'yin'shi'lei'xing'zhuan'huan 隐式类型转换
'you'xian'ji 优先级
'yuan'xing'lian 原型链
'zheng'ze'biao'da'shi 正则表达式
'zi'ji'yuan'su 子级元素
