'ba'ban 八班
'bian'chu'ni'he'wo'dui'hua 变出你和我对话
'bie'guan'ta'bei'huai'yi'bei'da'ya 别管它被怀疑被打压
'chen'xi'fu'fu 辰希夫妇
'chen'xiao'xi 陈小希
'chong'man'wo'ai'de'shi'de'jia 充满我爱的事的家
'chu'xin'ran'yi'lu'fang'hua 初心染一路芳华
'chun'meng'dou'bi 蠢萌逗比
'chun'meng'man'hua'jia 蠢萌漫画家
'da'ge 大哥
'da'jie'da 大姐大
'duo'shao'ri'ye'zhan'zhuan'fang'bu'xia 多少日夜辗转放不下
'fan'ye'you'xi'wo'pei'he'ni'dao 翻页游戏我配合你导
'fen'xin'kan'wo'tou'xiao 分心看我偷笑
'fu'hei'ao'jiao 腹黑傲娇
'gao'leng'xue'ba 高冷学霸
'gao'su'wo'hui'shi'xian'ba 告诉我会实现吧
'gao'su'wo'hui'shi'xian'ba'hui 告诉我会实现吧会
'gao'su'wo'zhe'shi'meng'ba 告诉我这是梦吧
'gao'zhi'ting 高至霆
'hu'yi'tian 胡一天
'hua'jia'xi 画家希
'jia'ru'wo'shi'yu'zhou'hun'dun 假如我是宇宙混沌
'jiang'chen 江辰
'jing'xia'lai'ting'xin'di'de'hui'da 静下来听心底的回答
'lai'ba'bie'hai'pa 来吧别害怕
'li'shu 李束
'li'wei 李薇
'lin'jing'xiao 林静晓
'lu'yang 陆杨
'lv'yan 吕艳
'man'fu'xin'la'man'hou'yin'ya 满腹辛辣满喉喑哑
'mei'ge'shun'jian'dou'hen'shan'yao 每个瞬间都很闪耀
'mei'ge'yin'fu'dou'hen'mei'miao 每个音符都很美妙
'meng'a 梦啊
'meng'li 梦里
'meng'li'suo'you'mo'nan'kai'chu'le'hua 梦里所有磨难开出了花
'meng'li'suo'you'zheng'zha'po'chu'le'ya 梦里所有挣扎破出了芽
'miao'hui'wei'lai'de'na'ge 描绘未来的那个
'na'li'hui'rang'ni'qian'gua 哪里会让你牵挂
'na'li'hui'rang'wo'ting'xia 哪里会让我停下
'nan'yi'fang'diao 难以放掉
'nan'yi'jie'diao 难以戒掉
'ni'de'jie'mao'ni'de'leng'ao 你的睫毛你的冷傲
'ni'de'shou'tao'ni'de'xin'tiao 你的手套你的心跳
'ni'de'shou'zhi'ni'de'wei'dao 你的手指你的味道
'ni'de'zui'jiao'ni'de'wei'xiao 你的嘴角你的微笑
'ni'hui'zhi'dao 你会知道
'ni'ming'bai'a 你明白啊
'ni'shi'tian'de'yao 你是甜的药
