'ai'ge'xian'ba 哀歌弦罢
'ai'nai'sheng'ting 欸乃声停
'ai'ping'shan'cu'luo'wen 矮屏山蹙罗纹
'ai'que'xing'ren'lu 碍却行人路
'ai'tao'hua'ya'shi'ling'long 矮桃花压石玲珑
'ai'xi'yu'ming 爱惜馀明
'an'dun'xi'hua'xin'shi'chu 安顿惜花心事处
'an'pai'chao'chang'yi'luo'ping 安排怊怅倚罗屏
'an'pai'shu'mi 安排疏密
'an'pai'tian'ci 按拍填词
'an'pai'zao'you'jin'wu 安排早有金屋
'an'ting'pei'ting 鞍停辔停
'an'xiang 暗香
'ao'wu'zi 傲吾子
'ba'fang'xin'zheng'qi 把芳心整起
'ba'hua'hun'xi'wan 把花魂细绾
'ba'liu'chao'jun'yu 把六朝俊语
'ba'lun'qi 罢论起
'ba'qing'mei'xi'shu 把青梅细数
'bai'li'jiang'sheng'liu'meng'qu 百里江声流梦去
'bai'nian'dan'fu 百年担负
'bai'qi'yue'chu'san 拜起月初三
'bai'qi'zhao'tao'bo 百骑照涛波
'bai'ri'xiao'mo'wu'xu 白日销磨无绪
'bai'shou'lin'lang'shi'xing 百首淋浪诗兴
'bai'tou'ke'zhao'ming'jing 白头可照明镜
'bai'zhou'gao'mian 白昼高眠
'bai'zi'ling 百字令
'bai'zi'ling'shen'qing'si'hai 百字令深情似海
'ban'di'fang'cao 半堤芳草
'ban'jin'xie'yue'bu'zhi'han 半襟斜月不知寒
'ban'lan'xin'yu'xing 伴兰心玉性
'ban'shang'huai'ren'sao'shou'zhu 半晌怀人搔首伫
'ban'shi'cong'wu'yi'ju 半世从无一句
'ban'ting'chun'yue'nuan'yu'yan 半庭春月暖于烟
'ban'wo'xun'xiang'ban'wo'xiu 伴我熏香伴我修
'ban'xiang'jian'liang'liang 办香鞯两两
'bang'kan'deng'lai'cheng'jiao'zhu 傍龛灯来称教主
'bao'dao'han'mei 报道寒梅
'bao'dao'shuang'cheng 报道双成
'bao'dao'yan'zhi'tou 报道燕支透
'bao'pi'pa'qing'cheng'dou'san 抱琵琶倾城都散
'bao'xiang'zi'duan'geng'wu'hen 宝香字断更无痕
'bei'deng'tou'xue'zhi'hui'wen 背灯偷学制回文
'bei'deng'yi'feng'zhen 背灯敧凤枕
'bei'di'han'duo 北地寒多
'bei'hai'qin'zun 北海琴尊
'bei'huan'shi 悲欢事
'bei'nong'liu'de'xiang'hun'zhu 被侬留得香魂住
'bei'ren'la'ying'chuang'chuang'mie 背人蜡影幢幢灭
'bei'shui'chuan'xia'xiao'yin'gou 被谁传下小银钩
'bei'ta'mo'jin 被他磨尽
'bei'yuan'qu 被怨曲
'ben'shi'hua'gong'me'feng 本是花宫么凤
'bi'jing'chen'zhong'rong'bu'de 毕竟尘中容不得
'bi'li'qi 壁立起
'bi'liu'li'yang'qing'hua'zhui 碧琉璃样轻花缀
'bi'tao'hua'di'zui'chun'you 碧桃花底醉春游
'bi'xiao'neng'cui 比箫能脆
'bi'yu'han'men'chan'li'hua 碧玉寒门产丽华
'bi'yue'san'yuan 璧月三圆
'bi'yun'chui'dao'er'jin 碧云垂到而今
'bian'han'jia'chang'le 便汉家长乐
'bian'ju'ran'yuan'zuo 便居然愿作
'bian'kou'shang'xuan'he 辩口尚悬河
'bian'le'man'kong 变了漫空
'bian'meng'ye'ru'yan 便梦也如烟
'bian'pan'bu'huai'ren 便拚不怀人
'bian'qian'wan'shang'liang 便千万商量
'bian'xuan'gui'ye'bi 便璇闺夜闭
'bian'zhu'yan 变朱颜
'bie'hou'xiao'you'qing'yin 别后小有清吟
'bie'lai'ji'ri 别来几日
'bie'lai'rong'yi'jing'qiu 别来容易经秋
'bie'meng'xing'tian'ya 别梦醒天涯
'bie'yang'long'song 别样珑松
'bie'you'gao'lou'ren'yi'ge 别有高楼人一个
'bie'you'jin'sheng'qing'ke'rao 别有今生清课饶
'bie'you'shen'fang'chi'zeng 别有神方持赠
'bin'bian'si 鬓边丝
'bin'ke'gu'ren'xi 宾客故人喜
'bin'peng'ci'fu 宾朋词赋
'bin'xing'xing'jian'jin'zhong'nian'lu 鬓星星渐近中年路
'bing'die'liang'chan'kuang'bu'de 病蝶凉蝉狂不得
'bing'die'zuo 并叠作
'bing'wen'duan 冰纹断
'bo'hen'kong'ying'wa 波痕空映袜
'bo'ming'yi'chong'chong 薄暝一重重
'bo'qi'qing'zen'jin 拨起情怎禁
'bo'you'li 播幽篱
'bu'bi'shi'san'shi'si 不比十三十四
'bu'ceng'qing'she'jiang 不曾轻涉江
