'bao'cang 爆舱
'bao'guan 报关
'bao'guan'fei 报关费
'bao'jia 报价
'bo'chuan 驳船
'cang'ku 仓库
'cao'zuo 操作
'cao'zuo'fei 操作费
'cha'yan 查验
'chu'kou 出口
'chuan'bian'zhi'zhuang 船边直装
'chuan'bo'xin'xi 船舶信息
'chuan'gong'si 船公司
'chuan'qi 船期
'chuan'zheng'ming'fei 船证明费
'da'lu'qiao 大陆桥
'dan'zheng'fei 单证费
'dao'qian 倒签
'dian'fang'fei 电放费
'dian'fang'ti'dan 电放提单
'ding'cang 订舱
'ding'cang'fei 订舱费
'fang'xing 放行
'feng'zhi'fei 封志费
'fu'jia'fei 附加费
'gai'dan'fei 改单费
'gai'pei 改配
'gang'qu 港区
'gao'xiang 高箱
'gong'lu'yun'shu 公路运输
'hai'kong'lian'yun 海空联运
'hai'tie'lian'yun 海铁联运
'hai'wai'dai'li 海外代理
'hai'yun 海运
'hai'yun'fei 海运费
'hang'cheng 航程
'hua'gong'pin 化工品
'huo'dai'gong'si 货代公司
'ji'zhuang'xiang'cheng'zhong'fei 集装箱称重费
'jie'guan'ri 截关日
'jin'gang 进港
'jin'gang'ri 进港日
'jin'kou 进口
'kai'ding'xiang 开顶箱
'kai'hang'ri 开航日
'kao'bo'ri 靠泊日
'kong'ban 空班
'kong'tie'lian'yun 空铁联运
'kong'yun 空运
'kou'huo 扣货
'kuang'jia'xiang 框架箱
'leng'dong'xiang 冷冻箱
'lou'zhuang 漏装
'ma'tou 码头
'ma'tou'cao'zuo'fei 码头操作费
'mao'yi'gong'si 贸易公司
'men'dao'men 门到门
'mu'di'gang 目的港
'nei'lu'yun'shu 内陆运输
'nei'zhuang'xiang 内装箱
'ping'ban'xiang 平板箱
'ping'xiang 平箱
'pu'huo 普货
'pu'xiang 普箱
'qi'yun'gang 起运港
'she'bei'jiao'jie'dan'fei 设备交接单费
'shun'qian 顺签
'si'ren'wu'pin 私人物品
'tan'ke'xiang 坦克箱
'te'zhong'xiang 特种箱
'ti'dan'que'ren 提单确认
'ti'dan'yang'ben 提单样本
'ti'li'gang'qu 提离港区
'ti'xiang'ri 提箱日
'tie'lu'yun'shu 铁路运输
'ting'hang 停航
'tui'guan 退关
'tuo'che 拖车
'tuo'che'gong'si 拖车公司
'wan'kai 晚开
'wei'xian'pin 危险品
'wen'jian'fei 文件费
'xiang'dan 箱单
'xiang'huo'xin'xi 箱货信息
'xiao'lu'qiao 小陆桥
'xie'huo'gang 卸货港
'xun'jia 询价
'you'guan'xiang 油罐箱
'yu'pei'cang'dan 预配舱单
'zheng'ben'ti'dan 正本提单
'zhi'ke 直客
'zhong'zhuan'gang 中转港
'zhuang'chuan'chu'chang 装船出场
