'ba'hui 把麾
'bai'li'zhi'guan 百里之官
'bai'lu'dong'shu'yuan 白鹿洞书院
'bai'pu 摆铺
'ban'ci 半刺
'ban'ci'shi 半刺史
'bang'jun 邦君
'bao'li'zhi'ji 保厘之寄
'bei'jing'liu'shou 北京留守
'bei'jing'liu'shou'si 北京留守司
'bei'men'liu'yao 北门留钥
'bei'nei 北内
'bei'song'si'jing 北宋四京
'bie'jia 别驾
'bin'mu 宾幕
'bing'cao 兵曹
'bing'cao'can'jun 兵曹参军
'bu'di'pu 步递铺
'bu'zhi 簿治
'can'jun 参军
'can'jun'shi 参军事
'cang'cao 仓曹
'cang'cao'can'jun 仓曹参军
'cao'guan 曹官
'cao'si 曹司
'cao'yuan'guan 曹掾官
'cha'pan 察判
'cha'tui 察推
'chang'min'guan 长民官
'cheng'dong'dou'xun'jian'si 城东都巡检司
'cheng'dong'xi'dou'xun'jian'shi 城东西都巡检使
'cheng'dong'xi'xiang'dou'xun'jian'shi 城东西厢都巡检使
'cheng'dong'xi'xun'jian'shi 城东西巡检使
'cheng'nei'liang'xiang'guan 城内两厢官
'cheng'nei'you'xiang'xun'jian 城内右厢巡检
'cheng'nei'zuo'xiang'xun'jian 城内左厢巡检
'cheng'ting 丞厅
'cheng'xi'dou'xun'jian'si 城西都巡检司
'cheng'zhi 丞治
'chi'cheng 赤丞
'chi'hou 斥堠
'chi'hou'pu 斥堠铺
'chi'ling 赤令
'chi'wei 赤尉
'chong'mou'zhou'jun'zhou'shi 充某州军州事
'chuan'zhi 传置
'ci'fu 次府
'ci'shi 刺史
'ci'shi'zhou 刺史州
'cong'shi 从事
'cui'er 倅贰
'cui'ting 倅厅
'cuo'da'guan 措大官
'da'du'du 大都督
'da'du'du'fu 大都督府
'da'du'du'fu'zhang'shi 大都督府长史
'da'fu 大府
'da'lu 大录
'da'ming'fu 大名府
'da'nei 大内
'da'yin 大尹
'di'pu 递铺
'dian'wu 典午
'dong'hai'miao'ling 东海庙令
'dong'jing'fu'liu'shou 东京副留守
'dong'jing'liu'shou 东京留守
'dong'jing'liu'shou'pan'guan 东京留守判官
'dong'jing'liu'shou'si 东京留守司
'dong'wei 东尉
'dong'zhu 洞主
'dou'cao 都曹
'dou'xia 都辖
'dou'xia'fang 都辖房
'dou'xia'fang'shi'chen 都辖房使臣
'dou'xia'shi'chen 都辖使臣
'dou'xiang 都厢
'dou'xiang'guan 都厢官
'dou'xun'jian 都巡检
'dou'zong'xia 都总辖
'dou'zong'xia'fang 都总辖房
'dou'zuo'yuan 都作院
'du'du'zhou 都督州
'du'you 督邮
'er'bo'ye 贰博野
'er'che 贰车
'er'ling 贰令
'er'qian'shi 二千石
'er'shou'shi 贰守事
'er'tian 二天
'er'xi'du 贰西都
'fa'cao 法曹
'fa'cao'can'jun 法曹参军
'fa'yuan 法掾
'fan'chen 藩臣
'fan'yuan 藩垣
'fang'bo 方伯
'fang'yu'pan'guan 防御判官
'fang'yu'tui'guan 防御推官
'fang'yu'zhou 防御州
'fen'ye 分野
'fu'cang'cao'can'jun 府仓曹参军
'fu'fu'xue'jiao'shou 府府学教授
'fu'gong 府公
'fu'jiao 府教
'fu'mu 府幕
'fu'pan 府判
'fu'shou 府守
'fu'si 府司
'fu'si'jian'jiao'ku 府司检校库
'fu'tong'pan 府通判
'fu'tui 府推
'fu'tui'guan 府推官
'fu'xue 府学
'fu'yin 府尹
'gang'yuan 纲掾
'gong'cao 功曹
'gong'cao'can'jun 功曹参军
'gong'de'shi 功德使
'gou'dang'you'xiang'gong'shi 勾当右厢公事
'gou'dang'zuo'xiang'gong'shi 勾当左厢公事
'guan'cha'pan'guan 观察判官
'guan'cha'shi'pan'guan 观察使判官
'guan'cha'tui'guan 观察推官
'guan'cha'zhi'shi 观察支使
'guan'cha'zhou 观察州
'guan'gan'you'xiang'gong'shi 管干右厢公事
'guan'gou'miao'shi 管勾庙事
'guan'ji 管记
'guan'ku 筦库
'he'nan'fu 河南府
'hong'lian'mu 红莲幕
'hu'cao 户曹
'hu'cao'can'jun 户曹参军
'hu'wei 户尉
'hu'yuan 户掾
'huang'cheng 皇城
'hui'jie 麾节
'ji'bu'shi'chen 缉捕使臣
'ji'jiao'di 急脚递
'ji'jiao'di'pu 急脚递铺
'ji'jiao'pu 急脚铺
'jia'ge'zhu'guan'guan 架阁主管官
'jia'hou 假侯
'jia'shou 假守
'jian'cang 监仓
'jian'cha 监茶
'jian'dang'guan 监当官
'jian'guan 监官
'jian'hui 建麾
'jian'jiu 监酒
'jian'ju 监局
'jian'jun 监郡
'jian'jun'zi'ku 监军资库
'jian'kang'fu'xing'gong'liu'shou 建康府行宫留守
'jian'keng'ye 监坑冶
'jian'ku'wu 监库务
'jian'liang'liao'yuan 监粮料院
'jian'lin'an'fu'jun'zi'ku 监临安府军资库
'jian'men 监门
'jian'pan'guan 监判官
'jian'shi 监使
'jian'shui 监税
'jian'xue 监学
'jian'yan 监盐
'jian'zhen 监镇
'jian'zheng 监征
'jian'zhou'guan 监州官
'jian'zuo'yuan 监作院
'jiao'guan 教官
'jiao'shou 教授
'jiao'yu 教谕
'jie'du'pan'guan 节度判官
'jie'du'tui'guan 节度推官
'jie'du'zhang'shu'ji 节度掌书记
'jie'du'zhou 节度州
'jie'du'zhou'pan'guan 节度州判官
'jie'pan 节判
'jie'tui 节推
'jie'zhen'jun'shou 节镇郡守
'jing'cheng'jun'xun'pu 京城军巡铺
'jing'cheng'liu'shou 京城留守
'jing'cheng'nei'wai'dou'xun'jian 京城内外都巡检
'jing'cheng'si'mian'xun'jian 京城四面巡检
'jing'cheng'you'jun'xun'yuan 京城右军巡院
'jing'cheng'zuo'jun'xun'yuan 京城左军巡院
'jing'fu'shou'liao 京府首僚
'jing'pan 京泮
'jing'tui 京推
'jing'xiang 京庠
'jing'xiang'dian'jiao 京庠典教
'jing'yin 京尹
'jing'zhao 京兆
'jiu'cao 纠曹
'jiu'cao'yuan 纠曹掾
'jiu'si 纠司
'jiu'zhi 厩置
'jun'chen 郡臣
'jun'cheng 郡丞
'jun'cui 郡倅
'jun'fu 郡副
'jun'fu 郡符
'jun'ji 郡寄
'jun'jia 郡家
'jun'jiang 郡将
'jun'jiao'shou 军教授
'jun'jie'du'pan'guan 军节度判官
