'chuan'tong'mo'shi 传统模式
'da'guai'mo'shi 打怪模式
'dan'gao'mo'shi 蛋糕模式
'dao'ju'mo'shi 道具模式
'dou'dou'dui'dui'peng 豆豆对对碰
'dou'dou'mo'shi 豆豆模式
'feng'kuang'mo'shi 疯狂模式
'jie'zou'mo'shi 节奏模式
'lang'man'mo'shi 浪漫模式
'lian'xi'mo'shi 练习模式
'ming'xing'tiao'zhan'mo'shi 明星挑战模式
'mo'shi 模式
'tai'gu'mo'shi 太鼓模式
'wu'hui'mo'shi 舞会模式
'wu'wang'mo'shi 舞王模式
'xiao'xiao'da'luan'dou 小小大乱斗
'xuan'wu'mo'shi 炫舞模式
'yue'dui'dui'kang'mo'shi 乐队对抗模式
'yue'dui'mo'shi 乐队模式
'yue'dui'yan'zou'mo'shi 乐队演奏模式
'yue'hui'mo'shi 约会模式
'yue'pu'mo'shi 乐谱模式
'zhua'zhu'mo'shi 抓猪模式
'zi'you'wu'bu'mo'shi 自由舞步模式
