'bao'qi 宝器
'bei'ju'lu'zhou 北俱芦洲
'bi'fang 毕方
'chi'you 蚩尤
'chuan'cheng 传承
'cui'ti 淬体
'da'ba'gua'shu 大八卦术
'da'ben'yuan'shu 大本源术
'da'beng'mie'shu 大崩灭术
'da'bian'hua'shu 大变化术
'da'bian'lun'shu 大辩论术
'da'bing'dong'shu 大冰冻术
'da'cang'qiong'shu 大苍穹术
'da'chan'rao'shu 大缠绕术
'da'chao'du'shu 大超度术
'da'chao'xi'shu 大潮汐术
'da'dao'de'shu 大道德术
'da'dao'san'qian 大道三千
'da'fan'tian 大梵天
'da'feng'shen'shu 大封神术
'da'feng'yin'shu 大封印术
'da'gan'zhao'shu 大感召术
'da'guang'mang'shu 大光芒术
'da'hei'an'shu 大黑暗术
'da'hu'shen'shu 大护身术
'da'hun'dun'shu 大混沌术
'da'ji'si'shu 大祭祀术
'da'jie'tuo'shu 大解脱术
'da'jie'yun'shu 大劫运术
'da'ju'du'shu 大剧毒术
'da'ku'rong'shu 大枯荣术
'da'kui'lei'shu 大傀儡术
'da'lian'bao'shu 大炼宝术
'da'liao'shang'shu 大疗伤术
'da'ling'hun'shu 大灵魂术
'da'long'xiang'shu 大龙相术
'da'lun'hui'shu 大轮回术
'da'lv'ling'shu 大律令术
'da'mie'qing'shu 大灭情术
'da'ming'yun'shu 大命运术
'da'nuo'yi'shu 大挪移术
'da'pao'xiao'shu 大咆哮术
'da'pu'du'shu 大普渡术
'da'qie'ge'shu 大切割术
'da'sha'lu'shu 大杀戮术
'da'she'ji'shu 大社稷术
'da'shi'jie'shu 大世界术
'da'shuang'xiu'shu 大双修术
'da'tong'zhi'shu 大统治术
'da'tui'yan'shu 大推演术
'da'tun'shi'shu 大吞噬术
'da'wang'ba'shu 大王霸术
'da'wu 大巫
'da'wu'xing'shu 大五行术
'da'xin'mo'shu 大心魔术
'da'xing'chen'shu 大星辰术
'da'xue'po'shu 大血魄术
'da'xue'qiao'shu 大穴窍术
'da'yin'guo'shu 大因果术
'da'yin'yang'shu 大阴阳术
'da'yu'yan'shu 大预言术
'da'yuan'wang'shu 大愿望术
'da'zai'nan'shu 大灾难书
'da'zhao'huan'shu 大召唤术
'da'zhu'fu'shu 大祝福术
'da'zhui'zong'shu 大追踪术
'da'zu'zhou'shu 大诅咒术
'dan'wu'shuang'xiu 丹武双修
'dan'yao 丹药
'di'huo'dao'ti 地火道体
'di'jiang 帝江
'di'jun 帝俊
'di'yu'jie 地狱界
'dian'ji 典籍
'dong'huang'tai'yi 东皇太一
'dong'sheng'shen'zhou 东胜神洲
'du'jie 渡劫
'fa'bao 法宝
'fan'xu 返虚
'fang'feng 防风
'fei'sheng 飞升
'feng'bo 风伯
'gen'gu 根骨
'gong'fa 功法
'gong'gong 共工
'gou'mang 句芒
'gui'jie 鬼界
'gui'ling'zu 鬼灵族
'gui'zu 鬼族
'hong'jun 鸿钧
'hong'meng'sheng'ti 鸿蒙圣体
'hou'tu 后土
'hou'yi 后羿
'hua'shen 化神
'huang'di 黄帝
'huang'qi 皇器
'hun'jie 魂界
'hun'li 魂力
'hun'yuan'he'luo'da'zhen 混元河洛大阵
'hun'zu 魂族
'huo'ling'gen 火灵根
'ji'meng 计蒙
'jian'shu 剑术
'jie'lei 劫雷
'jie'yin'dao'ren 接引道人
'jin'dan 金丹
'jin'ling'gen 金灵根
'jin'mu'shui'huo'tu 金木水火土
'jin'wu 金乌
'jing'ling'zu 精灵族
'jiu'feng 九凤
'jiu'jiu'tian'jie 九九天劫
'jiu'li 九黎
'jiu'mi 九秘
'kong'jian'lie'feng 空间裂缝
'kong'jian'luan'liu 空间乱流
'kong'jian'zhen'fa 空间阵法
'kua'fu 夸父
'lao'zi 老子
'lian'dan 炼丹
'lian'dan'shi 炼丹师
'lian'qi 炼器
'lian'qi'shi 炼器师
'ling'jie 灵界
'ling'qi 灵器
'ling'yan'ge 凌烟阁
'ling'zhi 灵植
'ling'zu 灵族
'liu'jiu'tian'jie 六九天劫
'long'xue'ti'zhi 龙血体质
'ming'he'jiao'zu 冥河教祖
'mo'jie 魔界
'mo'shou'zu 魔兽族
'mo'wu'shuang'xiu 魔武双修
'mo'zu 魔族
'mu'ling'gen 木灵根
'nan'zhan'bu'zhou 南瞻部洲
'nian'li 念力
'nv'wa'niang'niang 女娲娘娘
'pan'gu 盘古
'qian'kun'ti'zhi 乾坤体质
'qiang'liang 强良
'qing'niu 青牛
'qing'xiu 情修
'ren'jian'jie 人间界
'ren'zu 人族
'ru'shou 蓐收
'san'jiu'tian'jie 三九天劫
'san'shi'san'chong'tian 三十三重天
'se'yu'tian 色欲天
'shang'gu'shi'da'mo'shou 上古十大魔兽
