'an'niu 按钮
'an'niu'ji'dian'qi 按钮继电器
'an'niu'pan 按钮盘
'bai'deng 白灯
'bai'deng'hui'xian 白灯回线
'bai'shan'ji'dian'qi 白闪继电器
'bi'se'an'niu 闭塞按钮
'bi'se'an'niu'ji'dian'qi 闭塞按钮继电器
'bi'se'ji'dian'qi 闭塞继电器
'bian'tong'an'niu 变通按钮
'biao'shi'deng'tiao'ya'an'niu 表示灯调压按钮
'bing'zhi'diao'che'xin'hao'ji 并置调车信号机
'cha'zhi'diao'che'xin'hao'ji 差置调车信号机
'chong'die'qu'duan 重叠区段
'chong'fu'jian'cha 重复检查
'chuan'di'ji'dian'qi 传递继电器
'dan'zhi'diao'che'xin'hao'ji 单置调车信号机
'dao'cha'an'niu 道岔按钮
'dao'cha'an'niu'ji'dian'qi 道岔按钮继电器
'dao'cha'biao'shi'bian'ya'qi 道岔表示变压器
'dao'cha'ding'wei'biao'shi'fu'shi'ji'dian'qi 道岔定位表示复示继电器
'dao'cha'ding'wei'biao'shi'ji'dian'qi 道岔定位表示继电器
'dao'cha'ding'wei'cao'zong'ji'dian'qi 道岔定位操纵继电器
'dao'cha'ding'wei'kong'zhi'ji'dian'qi 道岔定位控制继电器
'dao'cha'fan'wei'biao'shi'fu'shi'ji'dian'qi 道岔反位表示复示继电器
'dao'cha'fan'wei'biao'shi'ji'dian'qi 道岔反位表示继电器
'dao'cha'fan'wei'cao'zong'ji'dian'qi 道岔反位操纵继电器
'dao'cha'fan'wei'kong'zhi'ji'dian'qi 道岔反位控制继电器
'dao'cha'qi'dong'ji'dian'qi 道岔启动继电器
'dao'cha'qu'duan'gui'dao'fu'shi'ji'dian'qi 道岔区段轨道复示继电器
'dao'cha'qu'duan'gui'dao'ji'dian'qi 道岔区段轨道继电器
'dao'cha'suo'bi'ji'dian'qi 道岔锁闭继电器
'dao'cha'suo'bi'shi'jian'ji'dian'qi 道岔锁闭时间继电器
'dao'kou'jie'jin'gui'dao'ji'dian'qi 道口接近轨道继电器
'deng'si'ji'dian'qi 灯丝继电器
'dian'di'an'niu 电笛按钮
'dian'di'ji'dian'qi 电笛继电器
'dian'dong'zhuan'zhe'ji'bao'hu'jie'dian 电动转辙机保护接点
'dian'ling 电铃
'dian'ling'ji'dian'qi 电铃继电器
'diao'che'an'niu 调车按钮
'diao'che'an'niu'ji'dian'qi 调车按钮继电器
'diao'che'fa'che'fang'xiang'ji'dian'qi 调车发车方向继电器
'diao'che'jie'che'fang'xiang'ji'dian'qi 调车接车方向继电器
'diao'che'qu'fen'ji'dian'qi 调车区分继电器
'diao'che'tong'zhi'ji'dian'qi 调车通知继电器
'diao'che'xin'hao'ji'dian'qi 调车信号继电器
'diao'che'zhao'cha'ji'dian'qi 调车照查继电器
'fa'che'biao'shi'deng 发车表示灯
'fa'che'ji'dian'qi 发车继电器
'fa'che'suo'bi'ji'dian'qi 发车锁闭继电器
'fa'che'tong'zhi'ji'dian'qi 发车通知继电器
'fa'ma'ji'dian'qi 发码继电器
'fang'xiang'zu'he 方向组合
'fei'jin'lu'diao'che'an'niu 非进路调车按钮
'fei'jin'lu'diao'che'an'niu'ji'dian'qi 非进路调车按钮继电器
'fei'jin'lu'diao'che'biao'shi'deng 非进路调车表示灯
'fei'jin'lu'diao'che'suo'bi'ji'dian'qi 非进路调车锁闭继电器
'fei'jin'lu'diao'che'xin'hao'ji'dian'qi 非进路调车信号继电器
'fei'jin'lu'diao'che'yan'shi'ji'dian'qi 非进路调车延时继电器
'fen'quan'ji'dian'qi 分权继电器
'fen'xian'pan 分线盘
'fu'dian'ji'dian'qi 负电继电器
'fu'xian'lu'ji'dian'qi 负线路继电器
'fu'yuan'an'niu 复原按钮
'fu'yuan'an'niu'ji'dian'qi 复原按钮继电器
'fu'yuan'ji'dian'qi 复原继电器
'fu'zhu'gui'dao'ji'dian'qi 辅助轨道继电器
'fu'zhu'kai'shi'ji'dian'qi 辅助开始继电器
'fu'zhu'xin'hao'ji'dian'qi 辅助信号继电器
'gu'dao'fu'shi'ji'dian'qi 股道复示继电器
'gu'dao'ji'dian'qi 股道继电器
'gu'dao'jian'cha'ji'dian'qi 股道检查继电器
'gui'dao'di'er'fu'shi'ji'dian'qi 轨道第二复示继电器
'gui'dao'fan'fu'shi'ji'dian'qi 轨道反复示继电器
'gui'dao'fu'zhu'ji'dian'qi 轨道辅助继电器
'gui'dao'ting'dian'ji'dian'qi 轨道停电继电器
'hong'deng 红灯
'hong'deng'deng'si'ji'dian'qi 红灯灯丝继电器
'hong'deng'hui'xian 红灯回线
'hou'tui'ji'dian'qi 后退继电器
'huang'deng 黄灯
'huang'ji'dian'qi 黄继电器
'huang'shan'ji'dian'qi 黄闪继电器
'hui'zhi'dao'da'ji'dian'qi 回执到达继电器
'ji'quan'ji'dian'qi 集权继电器
'ji'wu'duan'tong'yi'an'niu 机务段同意按钮
'ji'wu'duan'tong'yi'an'niu'ji'ji'dian'qi 机务段同意按钮继继电器
'jian'du'jiao'liu'dian'yuan'ji'dian'qi 监督交流电源继电器
'jian'du'qu'jian'ji'dian'qi 监督区间继电器
'jie'che'ji'dian'qi 接车继电器
'jie'che'tong'zhi'ji'dian'qi 接车通知继电器
'jie'fa'che'ji'dian'qi 接发车继电器
'jie'jin'gui'dao'ji'dian'qi 接近轨道继电器
'jie'jin'yu'gao'ji'dian'qi 接近预告继电器
'jie'suo'ji'dian'qi 解锁继电器
'jie'tong'dao'cha'biao'shi'an'niu 接通道岔表示按钮
'jie'tong'dao'cha'biao'shi'ji'dian'qi 接通道岔表示继电器
'jie'tong'guang'dai'biao'shi'an'niu 接通光带表示按钮
'jie'tong'guang'dai'biao'shi'ji'dian'qi 接通光带表示继电器
'jin'lu'ji'dian'qi 进路继电器
'jin'lu'xuan'ze'ji'dian'qi 进路选择继电器
'jin'tou'shi'diao'che'xin'hao'ji 尽头是调车信号机
'ju'bu'kong'zhi'an'niu 局部控制按钮
'ju'bu'kong'zhi'an'niu'ji'dian'qi 局部控制按钮继电器
'ju'bu'kong'zhi'biao'shi'deng 局部控制表示灯
'ju'bu'kong'zhi'ji'dian'qi 局部控制继电器
'ju'bu'kong'zhi'suo'bi'ji'dian'qi 局部控制锁闭继电器
'kai'shi'ji'dian'qi 开始继电器
'kai'tong'ji'dian'qi 开通继电器
'kong'zhi'tai 控制台
'kong'zhi'xin'hao'ji'dian'qi 控制信号继电器
'lan'deng 蓝灯
'lan'deng'hui'xian 蓝灯回线
'li'qu'ji'dian'qi 离去继电器
'lie'che'an'niu 列车按钮
'lie'che'an'niu'ji'dian'qi 列车按钮继电器
'lie'che'fa'che'fang'xiang'ji'dian'qi 列车发车方向继电器
'lie'che'jie'che'fang'xiang'ji'dian'qi 列车接车方向继电器
'lie'che'kai'shi'ji'dian'qi 列车开始继电器
'lie'che'xin'hao'fu'shi'ji'dian'qi 列车信号复示继电器
'lie'che'xin'hao'fu'zhu'fu'shi'ji'dian'qi 列车信号辅助复示继电器
'lie'che'xin'hao'ji'dian'qi 列车信号继电器
'lie'che'zhong'duan'an'niu 列车终端按钮
'lie'che'zhong'duan'an'niu'ji'dian'qi 列车终端按钮继电器
'lie'che'zhong'duan'ji'dian'qi 列车终端继电器
'ling'san'zu'he 零散组合
'liu'kong'ji'dian'qi 溜空继电器
'luan'xian'shi 乱显示
'lun'xiu 轮修
'lv'bai'ji'dian'qi 绿白继电器
'lv'deng 绿灯
'lv'deng'hui'xian 绿灯回线
'lv'huang'ji'dian'qi 绿黄继电器
'lv'ji'dian'qi 绿继电器
'lv'shan'ji'dian'qi 绿闪继电器
'mai'chong'ji'dian'qi 脉冲继电器
'mai'chong'shi'gui'dao'dian'lu 脉冲式轨道电路
'mi'tie'tiao'zheng'gan 密贴调整杆
'mie'huo'hua'dian'lu 灭火花电路
'mo'ca'dian'liu 摩擦电流
'mo'ca'lian'jie'qi 摩擦联结器
'pai'lie'jin'lu 排列进路
'pian'ji'ji'dian'qi 偏极继电器
'po'dao'an'niu'ji'dian'qi 坡道按钮继电器
'po'dao'jie'suo'ji'dian'qi 坡道解锁继电器
'po'dao'zhao'cha'ji'dian'qi 坡道照查继电器
'po'dao'zhong'duan'ji'dian'qi 坡道终端继电器
'po'feng 破封
'qian'jie'dian 前接点
'qian'quan 前圈
'qiang'dian'gan'rao 强电干扰
'qie'duan'dian'ling'ji'dian'qi 切断电铃继电器
'qie'duan'ji'cha'dian'ling'an'niu 切断挤岔电铃按钮
'qie'duan'ji'cha'dian'ling'an'niu'ji'dian'qi 切断挤岔电铃按钮继电器
'qie'duan'yin'xiang'an'niu 切断音响按钮
'qin'ru'xian'jie'jue'yuan 侵入限界绝缘
'qu'duan'jian'cha'ji'dian'qi 区段检查继电器
'qu'duan'suo'bi 区段锁闭
'qu'duan'zhan'yong'biao'shi 区段占用表示
'qu'jian'feng'suo 区间封锁
'qu'jian'kong'xian 区间空闲
'qu'jian'lian'xi'dian'lu 区间联系电路
'qu'jin'liu'xian'xin'hao 去禁溜线信号
'qu'xiao'bi'se 取消闭塞
'qu'xiao'ji'dian'qi 取消继电器
'qu'xiao'jin'lu 取消进路
're'li'ji'dian'qi 热力继电器
'ren'gong'fen'lu 人工分路
'ren'gong'jie'suo 人工解锁
'ren'gong'jie'suo'biao'shi 人工解锁表示
'ren'gong'jie'suo'ji'dian'qi 人工解锁继电器
'ren'wei'gu'zhang 人为故障
'rong'duan'qi'duan'si 熔断器断丝
'rong'duan'qi'duan'si'bao'jing 熔断器断丝报警
'rong'xu'xin'hao 容许信号
'sai'ding'shi'gang'gui'jie'xu'xian 塞钉式钢轨接续线
'san'dian'jian'cha 三点检查
'san'xian'shi'zi'dong'bi'se 三显示自动闭塞
'shang'xing 上行
'she'bei'ting'yong 设备停用
'shi'fang'shi'jian 释放时间
'shi'fang'zhi 释放值
'shi'gong'fang'ai 施工妨碍
'shi'gu'an'niu 事故按钮
'shi'gu'an'niu'ji'dian'qi 事故按钮继电器
'shi'qu'lian'suo 失去联锁
'shou'bing 手柄
'shou'dian'duan 受电端
'shou'dong'tiao'ya 手动调压
'shuang'chong'kong'zhi 双重控制
'shuang'duan 双断
'shuang'gui'tiao'shi'gui'dao'dian'lu 双轨条式轨道电路
'shuang'xiang'zi'dong'bi'se 双向自动闭塞
'shun'jian'fen'lu 瞬间分路
'shun'jian'fen'lu'bu'liang 瞬间分路不良
'shun'xiang'chong'die'jin'lu 顺向重叠进路
'si'dian'jian'cha 四点检查
'si'qu'duan 死区段
'si'xian'shi'zi'dong'bi'se 四显示自动闭塞
'song'dian'duan 送电端
'song'shou'fen'kai'dian'lu 送受分开电路
'suo'bi'gan 锁闭杆
'suo'bi'ji'dian'qi 锁闭继电器
'suo'bi'xi'tong 锁闭系统
'tiao'jian'dian'yuan 条件电源
'tiao'xian 跳线
'tie'dao'xin'hao 铁道信号
