'a'bo 阿博
'ai'xin'zhi 爱心痣
'bai'mu'dan 白牡丹
'bai'xiang'guo 百香果
'bo'bo 啵啵
'bo'di 博帝
'bo'di 博弟
'bo'ge 博哥
'bo'jun'yi'xiao 博君一肖
'bo'jun'yi'xiao'shi'zhen'de 博君一肖是真的
'di'di 弟弟
'gou'zai'zai 狗崽崽
'mei'you'shi'jian'ku 没有时间哭
'wang'jie 王杰
'wang'ku'gai 王酷盖
'wang'lao'shi 王老师
'wang'na'ge'bo 王那个啵
'wang'nei'ge'bo 王内个啵
'wang'niu'niu 王牛牛
'wang'tian'tian 王天天
'wang'tian'tian 王甜甜
'wang'xiao'zhou 王小舟
'wang'yan'yang 王岩羊
'wang'yi'bao 王一宝
'wang'yi'bo'xiao'zhan 王一博肖战
'wo'ai'ni 我爱你
'wo'ai'ni'ling'hun'you'huo 我爱你灵魂有火
'xiao'bao 小宝
'xiao'na'ge'zhan 肖那个战
'xiao'wang'zi 小王子
'ye'bo 耶啵
'yi'bo'ge 一博哥
'zhan'ge'di'di'ai'ni 战哥弟弟爱你
'zhu'zhu 猪猪
