'a'hou'zai'he'chu 阿侯在何处
'ai'ru'zhang 艾如张
'ai'ye'lv'hua'shui'jian'ke 艾叶绿花谁剪刻
'an'ding'mei'ren'jie'huang'shou 安定美人截黄绶
'an'huang'zhu'liu'gong'lou'chi 暗黄著柳宫漏迟
'an'le'gong 安乐宫
'an'ma'zheng'hua'yao 鞍马正华耀
'an'sa'chang'hong'leng'xue'hen 暗洒苌弘冷血痕
'an'shang'hu'die'fei 岸上蝴蝶飞
'an'ze'qian'sha'huang 岸帻褰纱幌
'ao'ao'gui'mu'qiu'jiao'ku 嗷嗷鬼母秋郊哭
'ba'cong'dang'zuo'ba'chuang 八骢当作八窗
'ba'cong'long'huang'lian'cha'yi 八骢笼晃脸差移
'ba'jiao'qing'shu'zhi 芭蕉倾蜀纸
'ba'luan'shi'cheng 八銮十乘
'ba'pei'dong'long'zhu'tian'hui 八辔冬珑逐天回
'ba'shui'lou'chuan'du 灞水楼船渡
'ba'tong'da 巴童答
'ba'yue 八月
'ba'yue'yi'ri'jun'qian'wu 八月一日君前舞
'bai'bi'yi'shuang 白壁一双
'bai'cao'qin'yan'si 白草侵烟死
'bai'hu'xiang'yue'hao'shan'feng 白狐向月号山风
'bai'jing'gui'xi'shan 白景归西山
'bai'ling'fei'yan'mai'xiang'gu 柏陵飞燕埋香骨
'bai'ling'jin'gan'yu'zhong'jin 白翎金竿雨中尽
'bai'lu'qing'su'ye'ban'zhu 白鹿清酥夜半煮
'bai'lu'qiu'lei'di'yi'zuo'lu'qi'xuan'qiu'lei 白露秋泪滴一作露泣悬秋泪
'bai'ma'hua'gan'qian'jie'jie 白马花竿前孑孑
'bai'nian'lao'xiao'cheng'mu'mei 百年老鸮成木魅
'bai'qi'shao'nian'jin'ri'gui 白骑少年今日归
'bai'qia'yu'lang'ji'tao'ye 白袷玉郎寄桃叶
'bai'qian'xie'chang'si'tong'ke 百钱携偿丝桐客
'bai'ri'bu'xiang'zhi 百日不相知
'bai'ri'chang'ji'xiao'jia'shu 白日长饥小甲蔬
'bai'ri'xia'kun'lun 白日下昆仑
'bai'shen'de'shou'xian'tian'zi 拜神得寿献天子
'bai'shi'qiang'che'shang'he'shui 百石强车上河水
'bai'teng'jiao'chuan'zhi'shu'ji 白藤交穿织书笈
'bai'tian'sui'sui'duo'qiong'fang 白天碎碎堕琼芳
'bai'tie'cuo'qing'he 白铁锉青禾
'bai'xing'shi'chang'shen 百姓施长绅
'bai'zhou'qian'feng'lao'cui'hua 白昼千峰老翠华
'bai'zhou'wan'li'xian'qi'mi 白昼万里闲凄迷
'ban'juan'hong'qi'lin'yi'shui 半卷红旗临易水
'ban'shang'shu'xing'shu 板上数行书
'bang'yan'chong'ji'si 傍檐虫缉丝
'bao'bao'dan'ai'nong'ye'zi 薄薄淡霭弄野姿
'bao'bei'wo'dong'ting 曝背卧东亭
'bao'jian'si'yu'chang 宝剑似鱼肠
'bao'jiao'bu'wei'tian 鲍焦不违天
'bao'jiao'yi'shi'pi'cao'mian 鲍焦一世披草眠
'bao'jue'qi'lin'qi 宝玦麒麟起
'bao'jue'shui'jia'zi 宝玦谁家子
'bao'jun'huang'jin'tai'shang'yi 报君黄金台上意
'bao'ma'ta'xiao'hun 宝马踏晓昏
'bao'shi'qing'chu'yin'bai'shui 饱食青刍饮白水
'bao'shuang'bu'xiao'gui'zhi'xia 薄霜不销桂枝下
'bao'wa'ju'yi'dan 宝袜菊衣单
'bei'dou'guang'lan'gan 北斗光阑干
'bei'fa'ben'liu'jing'he'ru 被发奔流竟何如
'bei'fang'ni'qi'wu'qing'tian 北方逆气污青天
'bei'gong'fu'ren 贝宫夫人
'bei'lan'yu'shu'xie 杯阑玉树斜
'bei'li'you'xian'xiong 北里有贤兄
'bei'lu'jiao'kan'zhe 北虏胶堪折
'bei'man'qian'li'xin 悲满千里心
'bei'ren'bu'yu'xiang'he'chu 背人不语向何处
'bei'shan'rao'gu'ren 北山饶古人
'bei'you'ba'gua'cheng'shen'xian 背有八卦称神仙
'bei'zai'bu'yu'ren 悲哉不遇人
'bei'zhong'han 北中寒
'ben'shi'chang'pu'hua 本是菖蒲花
'ben'shi'zhang'gong'zi 本是张公子
'bi'bu'zao'hua'tian'wu'gong 笔补造化天无功
'bi'cong'cong 碧丛丛
'bi'hua'shang'tiao'tiao 碧华上迢迢
'bi'jin'tie'hua'cheng 碧锦帖花柽
'bi'jiu'can'lao'ma 弊厩惭老马
'bi'leng'gua'wu'dao 壁冷挂吴刀
'bi'men'gan'qiu'feng 闭门感秋风
'bi'shang'lei'ming 壁上雷鸣
'bi'yu'po'bu'fu 碧玉破不复
'bian'rang'jin'zhao'yi'cai'yong 边让今朝忆蔡邕
'bie'di'san'nian'hou 别弟三年后
'bie'guan'jing'can'meng 别馆惊残梦
'bie'jian'wu'yu'hua 别剑无玉花
'bie'liu'dang'ma'tou 别柳当马头
'bie'pu'jin'zhao'an 别浦今朝暗
'bie'que'chi'yuan'shu'cun'ni 别却池园数寸泥
'bin'shi'xing'hua'yan 鬓湿杏花烟
'bing'gu'shang'you'su 病骨伤幽素
'bing'gu'you'neng'zai 病骨犹能在
'bing'ke'mian'qing'xiao 病客眠清晓
'bing'rong'fu'qi'zhong'ling'si 病容扶起种菱丝
'bo'le'xiang'qian'kan 伯乐向前看
'bo'lu'ya'hua'hui'lan'qi 薄露压花蕙兰气
'bo'luo'lao'xian'shi'chu'dong 博罗老仙时出洞
'bo'yan'yu 波烟玉
'bo'yue'miao'yin'cui 薄月眇阴悴
'bu'cong'huan'gong'lie 不从桓公猎
