'an'se'pang'pi 暗色鰟鮍
'bai'he'yu 白河鱊
'bai'tun'yu 白臀鱊
'bai'yuan'yu 白缘鱊
'cai'fu'yu 彩副鱊
'cai'shi'pang'pi 彩石鰟鮍
'cai'yu 彩鱊
'chang'qi'yu 长鳍鱊
'chao'xian'yu 朝鲜鱊
'cheng'yu 橙鱊
'ci'qi'yu 刺鳍鱊
'cu'wen'an'se'pang'pi 粗纹暗色鰟鮍
'da'kou'yu 大口鱊
'da'qi'yu 大鳍鱊
'dong'jing'yu 东京鱊
'duan'xu'yu 短须鱊
'duo'lin'yu 多鳞鱊
'e'mei'yu 峨眉鱊
'fang'shi 方氏
'fang'shi'pang'pi 方氏鰟鮍
'fen'qi'yu 粉鰭鱊
'gao'li'yu 高丽鱊
'gao'ti 高体
'gao'ti'pang'pi 高体鰟鮍
'ge'tiao'tian'zhong'yu 革条田中鱊
'gua'lin'yu 寡鳞鱊
'guang'xi'yu 广西鱊
'han'yu 韩鱊
'hei'fu'yu 黑腹鱊
'hei'long'jiang'pang'pi 黑龙江鰟鮍
'hei'xian'yu 黑线鱊
'hong'qi'yu 红鳍鱊
'hong'wei'yu 红尾鱊
'hong'xian'yu 红线鱊
'hong'yu 红鱊
'jin'tun'yu 金臀鱊
'ju'kou'yu 巨口鱊
'ju'xian'yu 巨线鱊
'liu'shi'pang'pi 刘氏鰟鮍
'lv'yu 绿鱊
'mao'yu 矛鱊
'ni'si'shi'pang'pi 拟斯氏鰟鮍
'qi'shi'pang'pi 齐氏鰟鮍
'shi'tai 石台
'shi'tai'pang'pi 石台鰟鮍
'si'shi'pang'pi 思氏鰟鮍
'wu'bai'yuan'yu 无白缘鱊
'wu'xu'yu 无须鱊
'xi'lin'yu 细鳞鱊
'xie'fang'yu 斜方鱊
'xing'kai'yu 兴凯鱊
'xu'yu 须鱊
'yin'pu'yu 银菩鱊
'you'yu 油鱊
'yuan'yu 缘鱊
'yue'nan'yu 越南鱊
'zong'dai'yu 纵带鱊
