'an'gen'zi 暗根子
'an'gui'xing'qi 按规行棋
'an'shi'bo'zhong 按时拨钟
'an'shi'jia'zhong 按时加钟
'an'zhuo 暗捉
'ba'huang'ma 拔簧马
'ba'jiao'ma 八角马
'bai'ju'xiang'qi'pu 百局象棋谱
'bai'ma'wo'cao 白马卧槽
'bai'shi 败势
'ban'tu'lie'pao 半途列炮
'ban'tu'shun'pao 半途顺炮
'bao'quan'jing'bing 保全精兵
'bei'dou'qi'yuan'xuan'cui 北斗棋苑选粹
'bei'jing'zhong'jia 北京中加
'bi'shi'ji'xu 避实击虚
'bian'ma 边马
'bian'ma'dui'hai'zhong'pao 边马对还中炮
'bing'ba'jin'yi 兵八进一
'bing'ba'ping'jiu 兵八平九
'bing'ba'ping'qi 兵八平七
'bing'er'jin'yi 兵二进一
'bing'er'ping'san 兵二平三
'bing'er'ping'yi 兵二平一
'bing'jiu'jin'yi 兵九进一
'bing'jiu'ping'ba 兵九平八
'bing'liu'jin'yi 兵六进一
'bing'liu'ping'qi 兵六平七
'bing'liu'ping'wu 兵六平五
'bing'qi'jin'yi 兵七进一
'bing'qi'ping'ba 兵七平八
'bing'qi'ping'liu 兵七平六
'bing'san'jin'yi 兵三进一
'bing'san'ping'er 兵三平二
'bing'san'ping'si 兵三平四
'bing'si'jin'yi 兵四进一
'bing'si'ping'san 兵四平三
'bing'si'ping'wu 兵四平五
'bing'wu'jin'yi 兵五进一
'bing'wu'ping'liu 兵五平六
'bing'wu'ping'si 兵五平四
'bing'xing'xian 兵行线
'bing'yi'jin'yi 兵一进一
'bing'yi'ping'er 兵一平二
'bo'feng'bo 卜凤波
'bu'bian'zuo'fu 不变作负
'bu'bian'zuo'he 不变作和
'bu'ju'pian'zhe'yu'dui'ce 布局骗着与对策
'bu'ju'yan'jiu 布局研究
'cai'yi 才溢
'cai'zhong'cheng 蔡忠诚
'cao'yan'lei 曹岩磊
'ce'mian'hu 侧面虎
'chang'da 长打
'chang'dui 长兑
'chang'gen 长跟
'chang'jiang 长将
'chang'lan 长拦
'chang'sha 长杀
'chang'xian 长献
'chang'zhuo 长捉
'che'ba'jin'ba 车八进八
'che'ba'jin'er 车八进二
'che'ba'jin'jiu 车八进九
'che'ba'jin'liu 车八进六
'che'ba'jin'qi 车八进七
'che'ba'jin'san 车八进三
'che'ba'jin'si 车八进四
'che'ba'jin'wu 车八进五
'che'ba'jin'yi 车八进一
'che'ba'ping'er 车八平二
'che'ba'ping'jiu 车八平九
'che'ba'ping'liu 车八平六
'che'ba'ping'qi 车八平七
'che'ba'ping'san 车八平三
'che'ba'ping'si 车八平四
'che'ba'ping'wu 车八平五
'che'ba'ping'yi 车八平一
'che'ba'tui'ba 车八退八
'che'ba'tui'er 车八退二
'che'ba'tui'jiu 车八退九
'che'ba'tui'liu 车八退六
'che'ba'tui'qi 车八退七
'che'ba'tui'san 车八退三
'che'ba'tui'si 车八退四
'che'ba'tui'wu 车八退五
'che'ba'tui'yi 车八退一
'che'che'jiang 撤车将
'che'er'jin'ba 车二进八
'che'er'jin'er 车二进二
'che'er'jin'jiu 车二进九
'che'er'jin'liu 车二进六
'che'er'jin'qi 车二进七
'che'er'jin'san 车二进三
'che'er'jin'si 车二进四
'che'er'jin'wu 车二进五
'che'er'jin'yi 车二进一
'che'er'ping'ba 车二平八
'che'er'ping'jiu 车二平九
'che'er'ping'liu 车二平六
'che'er'ping'qi 车二平七
'che'er'ping'san 车二平三
'che'er'ping'si 车二平四
'che'er'ping'wu 车二平五
'che'er'ping'yi 车二平一
'che'er'tui'ba 车二退八
'che'er'tui'er 车二退二
'che'er'tui'jiu 车二退九
'che'er'tui'liu 车二退六
'che'er'tui'qi 车二退七
'che'er'tui'san 车二退三
'che'er'tui'si 车二退四
'che'er'tui'wu 车二退五
'che'er'tui'yi 车二退一
'che'jiu'jin'ba 车九进八
'che'jiu'jin'er 车九进二
'che'jiu'jin'jiu 车九进九
'che'jiu'jin'liu 车九进六
'che'jiu'jin'qi 车九进七
'che'jiu'jin'san 车九进三
'che'jiu'jin'si 车九进四
'che'jiu'jin'wu 车九进五
'che'jiu'jin'yi 车九进一
'che'jiu'ping'ba 车九平八
'che'jiu'ping'er 车九平二
'che'jiu'ping'liu 车九平六
'che'jiu'ping'qi 车九平七
'che'jiu'ping'san 车九平三
'che'jiu'ping'si 车九平四
'che'jiu'ping'wu 车九平五
'che'jiu'ping'yi 车九平一
'che'jiu'tui'ba 车九退八
'che'jiu'tui'er 车九退二
'che'jiu'tui'jiu 车九退九
'che'jiu'tui'liu 车九退六
'che'jiu'tui'qi 车九退七
'che'jiu'tui'san 车九退三
'che'jiu'tui'si 车九退四
'che'jiu'tui'wu 车九退五
'che'jiu'tui'yi 车九退一
'che'liu'jin'ba 车六进八
