'bi'bu 裨补
'fu'cha 浮槎
'gou'lao 耇老
'han'e 含萼
'hong'mo 薨殁
'hua'liu 滑熘
'ji'lei 祭酹
'long'xiang'hu'zhi 龙骧虎峙
'ning'xin'er 宁馨儿
'qiong'cu 穷蹙
'ri'yin'yue'sai 日堙月塞
'ru'ji 入苙
'sang'shen 桑椹
'shan'xing 膻腥
'tao'xun 陶埙
'xiao'dian 小簟
'xie'pan 鞋襻
'xu'ding 圩顶
'yun'xiu 云岫
'za'dan 咂啖
'zhen'huai 轸怀
'zhen'qi 畛畦
'zhong'jian 踵见
