'ai'ai'feng'yan'wan 暧暧风烟晚
'ai'ai'ku'ku'gu 哀哀哭枯骨
'ai'ruo'wu'xiu'yun 霭若吴岫云
'ai'wan'chu'zhong'cheng 哀挽出重城
'ai'xiang'ju'wen'tian 哀响讵闻天
'ai'xue'yi'pian'xia'bu'de 碍雪一片下不得
'an'bang'qi'ma'lang 岸傍骑马郎
'an'de'chang'bu'lao 安得长不老
'an'de'chang'ku'bei 安得长苦悲
'an'de'chun'ni'bu'di'lie 安得春泥补地裂
'an'de'meng'shi'xi'shou'si'fang 安得猛士兮守四方
'an'jian'dai'kai'bian 按剑待开边
'an'ling'shui'bian'xue'li'gong 安陵谁辨削砺功
'an'neng'lian'qing'gong 安能恋青宫
'an'qi'mai'sha'shu 暗碛埋砂树
'an'qi'ru'peng'hai 安期入蓬海
'an'qiong'you'xu'zhi 暗蛩有虚织
'an'shang'chen'xiang'lou 暗上沉香楼
'an'shang'hu'die'fei 岸上蝴蝶飞
'an'shang'shui'jia'you'ye'lang 岸上谁家游冶郎
'an'shuang'yi'shu'su 暗霜移树宿
'an'xing'zhong'bu'yi 暗行终不疑
'an'yuan'wen'chao'bo 岸远闻潮波
'an'zhi'jin'qian'bu'yuan'ren 暗掷金钱卜远人
'an'zhong'chi'zhao'bu'jian'ying 暗中持照不见影
'ba'biao'lai'bin 八表来宾
'ba'de'wu'xin'pu 拔得无心蒲
'ba'dong'shang'lv'gua'fan'duo 巴东商侣挂帆多
'ba'dong'zhi'xia'sheng'ling'si 巴东之峡生凌澌
'ba'jian'jin'xing'chu 拔剑金星出
'ba'jiu'chu'fei'qi'mu'jing 八九雏飞其母惊
'ba'pu'lai 拔蒲来
'ba'shi'xi'lai'diao'wei'bin 八十西来钓渭滨
'ba'xi'wu'xia'zhi'ba'dong 巴西巫峡指巴东
'ba'yue'yi'ri'jun'qian'wu 八月一日君前舞
'bai'bu'jiu'zhe'ying'yan'luan 百步九折萦岩峦
'bai'cao'cheng'zhong'chun'bu'ru 白草城中春不入
'bai'cao'sai'chong'ming 百草塞虫鸣
'bai'cao'san'dong'se 白草三冬色
'bai'chuan'pen'xue'gao'cui'wei 百川喷雪高崔嵬
'bai'fu'jin'fan'feng'li'man 百幅锦帆风力满
'bai'gu'wu'di'gui 白骨无地归
'bai'he'sui'fei'gai 白鹤随飞盖
'bai'hu'chi'chui'yan'liu'xue 白鹄翅垂眼流血
'bai'ju'yi'cai'lian'qu 白居易采莲曲
'bai'ju'yi'fan'bai'tou'yin 白居易反白头吟
'bai'ju'yi'wan'ge 白居易挽歌
'bai'ju'yi'wu'ye'ti 白居易乌夜啼
'bai'ju'yi'yuan'shi 白居易怨诗
'bai'lian'shu'yao'xiu'ban'juan 白练束腰袖半卷
'bai'long'yan 拜龙颜
'bai'lu'man'shan'shan'ye'duo 白露满山山叶堕
'bai'ma'chen'zou'qin'chi'chen'qi 白马趁走覃赤尘起
'bai'ma'hu'ping'qiu'ri'guang 白马湖平秋日光
'bai'ma'hua'gan'qian'jie'jie 白马花竿前孑孑
'bai'ma'rao'jing'qi 白马绕旌旗
'bai'ma'shao'nian'you 白马少年游
'bai'ma'zhu'niu'che 白马逐牛车
'bai'nian'lao'xiao'cheng'mu'mei 百年老鸮成木魅
'bai'niao'ming 百鸟鸣
'bai'pin'feng'qi'shui'sheng'wen 白蘋风起水生文
'bai'ri'bu'zhao'wu'jing'cheng 白日不照吾精诚
'bai'ri'chen'guang'cai 白日沉光彩
'bai'ri'ji'cang'cang 白日祭苍苍
'bai'ri'quan'han'zhu'niao'chuang 白日全含朱鸟窗
'bai'ri'suo'mei 白日所没
'bai'ri'xia'kun'lun 白日下昆仑
