'a'zuo'shang'yang'ping 阿座上洋平
'ba'ri'he 巴日和
'bai'niao'lan'liang 白鸟蓝良
'ban'ben'zhen'ling 坂本真绫
'bei'cun'liang 北村谅
'bi'liu'jian'jun'zai 比留间俊哉
'bing'ying'bei'dou 冰鹰北斗
'bing'ying'cheng'shi 冰鹰诚矢
'cha'hua'bu 茶话部
'chi'tian'chun'shi 池田纯矢
'chuang'zuo'guai'wu 创作怪物
'chun'chuan'zhou 春川宙
'ci'shu 茨塾
'cun'lai'bu 村濑步
'da'shen'huang'ya 大神晃牙
'da'xu'he'chun 大须贺纯
'dan'xi'chu'fang 丹希厨房
'du'bian'tuo'hai 渡边拓海
'fan'shi'xiong'yi 帆世雄一
'fang'song'wei'yuan'hui 放松委员会
'feng'ban'liang'tai 逢坂良太
'feng'zao'xun 风早巽
'fu'jian'gong'xian 伏见弓弦
'gao'ban'zhi'ye 高坂知也
'gao'feng'cui 高峯翠
'gao'qiao'guang'shu 高桥广树
'gui'long'hong'lang 鬼龙红郎
'hai'du'yi 海渡翼
'hai'yang'sheng'wu 海洋生物
'hong'cha'bu 红茶部
'hua'jiang'xia'shu 花江夏树
'ji'gong'tao'li 姬宫桃李
'jiang'kou'tuo'ye 江口拓也
'jiang'zuo 讲座
'jing'ren'shu 敬人塾
'ju'tian'hang 驹田航
'kui'ri'xiang 葵日向
'kui'yu'tai 葵裕太
'lai'ming'quan 濑名泉
'lan'qiu'bu 篮球部
'lang'man'xi'ju 浪漫戏剧
'li'jian'chun 笠间淳
'li'lai'zhen'xiao 礼濑真宵
'lian'chun 涟纯
'lian'si'jing'ren 莲巳敬人
'ling'ming'xue'yuan 玲明学园
'liu'su'hu'wai'bu 留宿户外部
'lu'di'sheng'wu 陆地生物
'lv'chuan'guang 绿川光
'man'hua'hui 漫画会
'mei'yuan'yu'yi'lang 梅原裕一郎
'men'zhang'chen 门章臣
'meng'zhi'xiao 梦之咲
'mi'nei'you'xi 米内佑希
'ming'shang'lan 鸣上岚
'ming'wei 茗味
'ming'xing'mao'liu 明星昴流
'nan'yun'tie'hu 南云铁虎
'nei'tian'xiong'ma 内田雄马
'ni'xian'xia'mu 逆先夏目
'niao'hai'hao'fu 鸟海浩辅
'qi'teng'zhuang'ma 齐藤壮马
'qi'zhong'ci 七种茨
'qian'ye'zhi'zhao 前野智昭
'qian'zhao'jin'tai'lang 浅沼晋太郎
'qiao'ben'huang'tai'lang 桥本晃太朗
'qing'ye'fang 青叶纺
'qing'yin'bu 轻音部
'qun'shu 群书
'ren'tu'cheng'ming 仁兔成鸣
'ren'zhe'tong'hao'hui 忍者同好会
'ri'ri'shu'she 日日树涉
'san'mao'gao'ban 三毛缟斑
'san'mu'zhen'yi'lang 三木真一郎
'sen'jiu'bao'xiang'tai'lang 森久保祥太郎
'shan'ben'he'chen 山本和臣
'shan'kou'zhi'guang 山口智广
'shan'xia'da'hui 山下大辉
'shen'hai'zou'tai 深海奏汰
'shen'mi'bu 神秘部
'shen'qi'sa'ma 神崎飒马
'shen'wei'jin'yi'lang 神尾晋一郎
'shen'yong'gui'you 神永圭佑
'sheng'wu'ju'le'bu 生物俱乐部
'shi'chuan'jie'ren 石川界人
'shi'yuan'che'ye 柿原彻也
'shou'ze'qian'qiu 守泽千秋
'shu'hui 书会
'shuo'jian'lin'yue 朔间凛月
'shuo'jian'ling 朔间零
'tian'cheng'lin'yin 天城燐音
'tian'cheng'yi'cai 天城一彩
'tian'jing'bu 田径部
'tian'man'guang 天满光
'tian'pin'hui 甜品会
'tian'qi'huang'ping 天崎滉平
'tian'xiang'yuan'ying'zhi 天祥院英智
'tong'chai'zhi'kang 樋柴智康
'tu'tian'ling'yang 土田玲央
'wan'le'bu 玩乐部
'wei'yu'gui 梶裕贵
'wei'yuan'yue'ren 梶原岳人
'wu'dao'jia 武道家
'wu'qi'ren 五奇人
'xi'bei'gui 细贝圭
'xi'shan'hong'tai'lang 西山宏太朗
'xian'shi'ren 仙石忍
'xiao'ye'you'shu 小野友树
'xin'tian'xing'shu 新田杏树
'yan'ju'bu 演剧部
'ye'dao'jian'er 野岛健儿
'yi'geng'zhen'xu 衣更真绪
'yi'shou'a'duo'ni'si 乙狩阿多尼斯
'yi'teng'zheng'si 伊藤正巳
'ying'he'hu'po 樱河琥珀
'ying'pian'mei'jia 影片美伽
'you'mu'zhen 游木真
'you'xi'bu 游戏部
'yu'duo'ye'she 羽多野涉
'yu'feng'xun 羽风薰
'yuan'yi'zhe 园艺者
'yue'yong'lei'ou 月永雷欧
'yun'dong'sheng'cun'bu 运动生存部
'zeng'tian'jun'shu 增田俊树
'zhai'gong'zong 斋宫宗
'zhen'bai'you'ye 真白友也
'zhong'dao'liang'shu 中岛良树
'zhong'song'qian'qing 重松千晴
'zhong'ze'kuang'zhi 中泽匡智
'zhu'ying'si 朱樱司
'zhui'ming'dan'xi 椎名丹希
'zi'zhi'chuang 紫之创
'zou'fang'bu'shun'yi 诹访部顺一
'zuo'he'mei'zhen 佐贺美阵
