'ai'ai'ding'men'wai 蔼蔼鼎门外
'ai'ai'jing'cheng'zai'jiu'tian 蔼蔼京城在九天
'ai'chi'neng'jiu'li 爱池能久立
'ai'jun'xin'mai'jie'xi'zhai 爱君新买街西宅
'ai'nai'yi'sheng'shan'shui'lv 欸乃一声山水绿
'ai'yao'zhen'ji'cong'ci'qi 哀谣振楫从此起
'ai'yu'yun'you'xu 哀玉韵由虚
'ai'yuan'he'chu'ming 哀猿何处鸣
'an'bang'jian'zhi'qiao 鞍傍见雉翘
'an'dao'hou'jia'zi 按道侯家子
'an'du'lai'shi'wei'shu'zi 案牍来时唯署字
'an'fu'yi'ju'shui'neng'zhi 暗覆一局谁能知
'an'jian'yuan'qi'ying 安见元气英
'an'neng'ji'zhuang'xin 安能激壮心
'an'xing'shu'bu'feng'xu'ming 暗行数步逢虚明
'an'zhi'en'ze'hou 安知恩泽侯
'an'zhi'fu'niao'zuo'yu'fei 安知鵩鸟座隅飞
'an'zhi'shi'ke'qi 安知室可欺
'ao'jing'zhen'hai'feng'lei'qi 鳌惊震海风雷起
'ao'nao'ren'xin'bu'ru'shi 懊恼人心不如石
'ba'cheng'cong'ci'qu 拔城从此去
'ba'fang'feng'yu'hui'zhong'yang 八方风雨会中央
'ba'fang'tong'huo'yi'he'qu 八方通货溢河渠
'ba'gong'shan'xia'qing'huai'shui 八公山下清淮水
'ba'he'zhou'you'jian'kang 罢和州游建康
'ba'ji'bi'bu'zhen 霸基弊不振
'ba'jiang'yan'lang'shen 巴江烟浪深
'ba'jun'gu'su'bei'gui'du'yang'zi'jin 罢郡姑苏北归渡扬子津
'ba'jun'gui'luo'yang'ji'you'ren 罢郡归洛阳寄友人
'ba'jun'gui'luo'yang'xian'ju 罢郡归洛阳闲居
'ba'ling'cheng'bai'zhi 巴陵城百雉
'ba'luan'qiang'qiang'du'yin'han 八鸾锵锵渡银汉
'ba'qu'ling'hua'bai'lian'jing 把取菱花百炼镜
'ba'qu'wan'lei'yun'jian'xiang 拔去万累云间翔
'ba'ren'gong'shou'yin 巴人拱手吟
'ba'ren'lei'ying'yuan'sheng'luo 巴人泪应猿声落
'ba'ren'neng'chang'ben'xiang'ge 巴人能唱本乡歌
'ba'shan'chu'shui'qi'liang'de 巴山楚水凄凉地
'ba'yue'shi'wu'ri'ye'tao'yuan'wan'yue 八月十五日夜桃源玩月
'ba'yue'shi'wu'ye'wan'yue 八月十五夜玩月
'ba'yue'tao'sheng'hou'di'lai 八月涛声吼地来
'bai'bian'qian'hua'wu'qiong'yi 百变千化无穷已
'bai'biao'lang'guan'zao'du'qiao 拜表郎官早渡桥
'bai'cao'dang'men'mao'she'di 百草当门茅舍低
'bai'di'cheng'bian'you'xiang'yu 白帝城边又相遇
'bai'di'cheng'tou'chun'cao'sheng 白帝城头春草生
'bai'er'shan'he'xiong'shang'guo 百二山河雄上国
'bai'fa'cang'guan'nie'geng'jia 白发藏冠镊更加
'bai'fa'qing'shan'shui'bi'shu 白发青衫谁比数
'bai'he'cuan'bi'xun 败荷攒碧浔
'bai'kou'kong'wei'bao'nuan'jia 百口空为饱暖家
'bai'lu'er 白鹭儿
'bai'luo'xiang'yang'zhen'luo'yang 摆落襄阳镇洛阳
'bai'ma'hu'ping'qiu'ri'guang 白马湖平秋日光
'bai'ma'xin'dao'tong'tuo'li 白马新到铜驼里
'bai'mu'ting'zhong'ban'shi'tai 百亩庭中半是苔
'bai'ni'chi'yin'zou'feng'chen 白泥赤印走风尘
'bai'pi'shang'liang'jiu'xiang'ru 百辟商量旧相入
'bai'pi'zan'jia'mo 百辟赞嘉谟
'bai'ri'zhao'kong'xin 白日照空心
'bai'ri'zuo'you'fu'tian'huang 白日左右浮天潢
'bai'she'ren'jian'chou'zhuo'shi'yin'yi'ji'xie 白舍人见酬拙诗因以寄谢
'bai'she'yin 百舌吟
'bai'shen'shou'zhi'zheng'ben'chi 百神受职争奔驰
'bai'sheng'ben'zi'you'qian'qi 百胜本自有前期
'bai'sheng'lv'wu'di 百胜虑无敌
'bai'shi'wu'cheng'lao'you'cui 百事无成老又催
'bai'shou'xiang'feng'chu 白首相逢处
'bai'shui'guang'cen'ci 白水光参差
'bai'tou'fu'yu'dao'jiang'bin 白头俯伛到江滨
'bai'yan'shan'xia'shu'jiang'qing 白盐山下蜀江清
'bai'yin'pan'li'yi'qing'luo 白银盘里一青螺
'bai'yu'hu'chuang'xiao'yong'zhong 白羽胡床啸咏中
'bai'yue'nan'ming'tong'wai'tai 百越南溟统外台
'bai'yun'man'wan'hua'pai'huai 白云满碗花徘徊
'bai'zhi'jiang'bian'fen'yi'lu 白芷江边分驿路
'bai'zhou'meng'meng'mian'kuang'chuang 白昼懵懵眠匡床
'bao'gui'jing'fu'chen 曝龟惊复沉
'bao'guo'song'jun'xin 报国松筠心
'bao'han'tong'yuan'er 包含通远迩
'bao'ma'ming'ke'ta'xiao'chen 宝马鸣珂踏晓尘
'bao'ri'yi'long'gun 抱日依龙衮
'bao'shu'fan'yi'xue'chu'cheng 宝书翻译学初成
'bao'shuang'gu'zhu'sheng'pian'qie 饱霜孤竹声偏切
'bao'xia'chu'lin'shou'zi'kai 宝匣初临手自开
'bao'yu'jiao'long'sheng 暴雨蛟龙生
'bao'zhu'jing'shan'gui 爆竹惊山鬼
'bei'chao'wen'shi'zhong'xu'ling 北朝文士重徐陵
'bei'chi'han'yan'yao'cao'duan 北池含烟瑶草短
'bei'chuang'fen'ming'bian'lu'yu 北窗分明辨鲁鱼
'bei'fu'yuan'qi'xian'chong'xiao 背负元气掀重霄
'bei'que'pian'hong'zi 贝阙骈红紫
'bei'ren'mo'shang'dong'xiang'qing 北人陌上动乡情
