'bao'zhi 报纸
'bian'ji'ji 编辑机
'bian'ji'kong'zhi'qi 编辑控制器
'bian'ji'zhi'zuo'she'bei 编辑制作设备
'bian'ma'qi 编码器
'bo'chu 播出
'cai'pen'zhi 彩喷纸
'chang'pian 唱片
'chong'qi'mo'xing 充气模型
'chong'yin'cai'kuo'she'bei 冲印彩扩设备
'chu'ban 出版
'chu'ban'xiang'mu'he'zuo 出版项目合作
'cu'xiao'tai 促销台
'deng'xiang 灯箱
'deng'xiang'bu 灯箱布
'dian'lan'jie'xian'he 电缆接线盒
'dian'ying'fang'ying'she'bei 电影放映设备
'dian'zi'du'wu 电子读物
'er'shou'guang'dian'she'bei 二手广电设备
'fa'she'ji 发射机
'fang'yin'she'bei 放音设备
'fei'xian'xing'bian'ji'xi'tong 非线性编辑系统
'fen'pei'qi 分配器
'fen'pei'xi'tong'fang'da'qi 分配系统放大器
'fen'zhi'qi 分支器
'gong'gong'guang'bo'xi'tong 公共广播系统
'gua'li 挂历
'guang'bo'fa'she'ji 广播发射机
'guang'dian 广电
'guang'dian'xin'hao'fen'pei'qi 广电信号分配器
'guang'dian'xin'hao'hun'he'qi 广电信号混合器
'guang'dian'xin'hao'jie'tiao'qi 广电信号解调器
'guang'dian'xin'hao'lv'bo'qi 广电信号滤波器
'guang'dian'xin'hao'tiao'zhi'qi 广电信号调制器
'guang'duan'ji 光端机
'guang'fa'she'ji 光发射机
'guang'gao 广告
'guang'gao'ban 广告板
'guang'gao'ce'hua 广告策划
'guang'gao'cu'xiao'li'pin 广告促销礼品
'guang'gao'dai'li 广告代理
'guang'gao'fa'bu 广告发布
'guang'gao'fu'wu 广告服务
'guang'gao'ji 广告机
'guang'gao'pai 广告牌
'guang'gao'qi'gan 广告旗杆
'guang'gao'tiao'fu 广告条幅
'guang'gao'zhi'zuo 广告制作
'guang'jie'shou'ji 光接收机
'guang'lan 光缆
'guang'lan'jie'tou'he 光缆接头盒
'guang'shuai'jian'qi 光衰减器
'guang'xian'bo'fen'fu'yong'qi 光纤波分复用器
'guang'xian'fang'da'qi 光纤放大器
'guang'xian'lian'jie'qi 光纤连接器
'guang'xian'shou'fa'qi 光纤收发器
'guang'xian'tiao'xian 光纤跳线
'guang'xue'she'xiang'ji 光学摄像机
'guang'xue'xiang'ji 光学相机
'hua'ce 画册
'jiao'huan'ji 交换机
'jiao'juan 胶卷
'jiao'pian 胶片
'jie'ru'she'bei 接入设备
'jie'shou'xi'tong 接收系统
'jing'tou 镜头
'ke'xue'ji'shu'lei 科学技术类
'kong'bai'lu'xiang'dai 空白录像带
'kong'bai'lu'yin'dai 空白录音带
'ku'cun'tu'shu 库存图书
'ku'cun'yin'xiang'zhi'pin 库存音像制品
'lu'xiang'dai 录像带
'lu'xiang'ji 录像机
'lu'yin'dai 录音带
'lu'yin'peng 录音棚
'lu'yin'she'bei 录音设备
'lu'you'qi 路由器
'pin'dao'zhuan'huan'qi 频道转换器
'qi'kan 期刊
'qi'qiu 气球
