'ai'zi'bing 艾滋病
'bai'xi'bao'jian'shao 白细胞减少
'bai'xue'bing 白血病
'bian'mi 便秘
'chong'xue'xing'xin'li'shuai'jie 充血性心力衰竭
'chu'xie'qing'xiang 出血倾向
'chui'ti'gong'neng'bu'quan 垂体功能不全
'dai'xie'ji'nei'fen'mi'xi'tong'yong'yao 代谢及内分泌系统用药
'dai'xie'xing'jian'zhong'du 代谢性碱中毒
'dai'xie'xing'suan'zhong'du 代谢性酸中毒
'dan'dao'ji'bing 胆道疾病
'di'gai'xue'zheng 低钙血症
'di'jia'xue'zheng 低钾血症
'di'na'xue'zheng 低钠血症
'di'xue'ya 低血压
'dian'jie'zhi'suan'jian'ping'heng'ji'ying'yang'yao 电解质酸碱平衡及营养药
'dian'xian 癫痫
'dong'mai'ying'hua 动脉硬化
'dui'huang'an'lei'yao'wu'guo'min 对磺胺类药物过敏
'dui'qing'mei'su'lei'yao'wu'guo'min 对青霉素类药物过敏
'dui'shui'yang'suan'yan'guo'min 对水杨酸盐过敏
'dui'tou'bao'jun'su'lei'yao'wu'guo'min 对头孢菌素类药物过敏
'duo'tan 多痰
'fang'shi'chuan'dao'zu'zhi 房室传导阻滞
'fei'chu'xue 肺出血
'fei'jie'he 肺结核
'fei'qi'zhong 肺气肿
'fei'shui'zhong 肺水肿
'fei'yan 肺炎
'fei'yuan'xing'xin'zang'bing 肺源性心脏病
'fu'xie 腹泻
'gan'gong'neng'bu'quan 肝功能不全
'gan'ran 感染
'gan'zang'ji'bing 肝脏疾病
'gan'zao'xing'huo'wei'suo'xing'bi'yan 干燥性或萎缩性鼻炎
'gao'dan'xue'zheng 高氮血症
'gao'gai'xue'zheng 高钙血症
'gao'jia'xue'zheng 高钾血症
'gao'na'xue'zheng 高钠血症
'gao'niao'suan'xue'zheng 高尿酸血症
'gao'ru'suan'xue'zheng 高乳酸血症
'gao'xue'tang 高血糖
'gao'xue'ya 高血压
'gao'zhi'xue'zheng 高脂血症
'guan'xin'bing'wei'te'zhi 冠心病未特指
'hu'xi'shuai'jie 呼吸衰竭
'hu'xi'xi'tong'yong'yao 呼吸系统用药
'hu'xi'xing'jian'zhong'du 呼吸性碱中毒
'hu'xi'xing'suan'zhong'du 呼吸性酸中毒
'hun'mi 昏迷
'ji'xing'xin'gong'neng'bu'quan 急性心功能不全
'jia'zhuang'pang'xian'gong'neng'jian'tui 甲状旁腺功能减退
'jia'zhuang'xian'ji'bing 甲状腺疾病
'jing'jue 惊厥
'jing'shen'bing'huo'jing'shen'bing'shi 精神病或精神病史
'jing'shen'zhang'ai'yong'yao 精神障碍用药
'ju'xi'bao'xing'pin'xue 巨细胞性贫血
'kang'bian'tai'fan'ying'yao 抗变态反应药
'kang'gan'ran'yao 抗感染药
'ke'sou 咳嗽
'lan'yong'yao'wu 滥用药物
'lei'feng'shi'xing'guan'jie'yan 类风湿性关节炎
'lu'nei'gao'ya 颅内高压
'ma'zui'yong'yao'ji'ma'zui'fu'zhu'yao 麻醉用药及麻醉辅助药
'mian'yi'que'xian 免疫缺陷
'mian'yi'xi'tong'yong'yao 免疫系统用药
'nan'xing'sheng'zhi'xi'tong'yong'yao 男性生殖系统用药
'nao'chu'xue 脑出血
'nao'geng'si 脑梗死
'nao'xue'guan'yi'wai'wei'te'zhi 脑血管意外未特指
'niao'zhu'liu 尿潴留
'ning'xue'gong'neng'zhang'ai'wei'te'zhi 凝血功能障碍未特指
'nv'xing'sheng'zhi'xi'tong'yong'yao 女性生殖系统用药
'pa'jin'sen'bing 帕金森病
'pi'fu'ji'pi'xia'yong'yao 皮肤及皮下用药
'pin'xue'wei'te'zhi 贫血未特指
'qi'ta'yao'wu 其它药物
'qi'ta'zhuan'ke'yong'yao 其它专科用药
'qian'lie'xian'zeng'sheng 前列腺增生
'qing'guang'yan 青光眼
'que'fa'zheng 缺乏症
'que'tie'xing'pin'xue 缺铁性贫血
'ren'shen'gao'xue'ya'zong'he'zheng 妊娠高血压综合征
'rong'xue'xing'pin'xue 溶血性贫血
'shang'xiao'hua'dao'chu'xie 上消化道出血
'shao'niao'huo'wu'niao 少尿或无尿
'shen'bing'zong'he'zheng 肾病综合征
'shen'gong'neng'bu'quan 肾功能不全
'shen'jie'shi 肾结石
'shen'jing'xi'tong'yong'yao 神经系统用药
'shen'jing'zu'zhi'ji'e'xing'zong'he'zheng 神经阻滞剂恶性综合征
'shen'mi'niao'xi'tong'yong'yao 肾泌尿系统用药
'shen'shang'xian'pi'zhi'gong'neng'bu'quan 肾上腺皮质功能不全
'shen'yan 肾炎
'shen'zang'ji'bing 肾脏疾病
'sheng'wu'zhi'pin 生物制品
'shi'ge'xi'bao'liu 嗜铬细胞瘤
'tang'niao'bing 糖尿病
'ting'li'zhang'ai 听力障碍
'tong'feng 痛风
'tuo'shui 脱水
