'a'han 阿含
'a'jia'da'sha'dou 阿迦答沙都
'a'la'han 阿拉汉
'a'nan'da 阿难达
'a'nu'lu'ta 阿奴卢塔
'a'pan'ti 阿槃提
'a'pi'da'mo 阿毗达摩
'a'sha'ji 阿沙基
'a'shou'ka 阿首咖
'a'su'luo 阿蘇罗
'an'ya'gun'dan'ya 安雅袞丹雅
'ang'ga 盎嘎
'ba'da'li'zi 巴嗒厘子
'ba'di'mo'ka 巴帝摩卡
'ba'gu'la 吧古喇
'ba'ji'di'ya 巴吉帝亚
'ba'jia'ba'di'gou'da'mi 巴迦巴帝苟答弥
'ba'la'ji'ga 巴拉基嘎
'ba'la'mi 巴拉密
'ba'la'na'xi 巴拉纳西
'ba'xie'na'di 巴谢那地
'ben'na'man'da'ni'bu'da 本那满答尼补答
'bi'ku 比库
'bi'ku'ni 比库尼
'bi'ling'da'wa'cha 毕陵达瓦差
'bin'bi'sa'la 宾比萨拉
'bin'dou'la'ba'la'du'a'jia 宾兜喇跋拉度阿迦
'bu'de'ga'ya 布德嘎亚
'chan'na 阐那
'chan'na 禅那
'da'ba'ma'la'zi 达拔马喇子
'da'ka'xi'la 答咖西喇
'da'mo 达摩
'die'wa'da'da 迭瓦达答
'dou'xi'da 都西答
'du'jue 独觉
'e'zuo 恶作
'fei'she 吠舍
'fo'tuo 佛陀
'ga'lu'la 嘎卢腊
'ga'ti'na 嘎提那
'ga'wang'ba'di 嘎旺巴帝
'gan'ma 甘马
'gan'ta'ba 甘塔拔
'gan'ta'la 甘塔拉
'gao'sha'la 高沙喇
'gao'shang'bi 高赏比
'gou'da'ma 苟答马
'gu'di 孤邸
'gu'lu 古卢
'gu'xi'na'la 古西那拉
'gui'ming 皈命
'guo'na'ka'ma'na 果那咖马那
'ji'da 吉答
'ji'wa'ka 基瓦咖
'jin'bi'la 金比喇
'jin'shi'nan 近事男
'ka'bi'la'wa'tu 咖毕喇瓦土
'ka'gu'san'ta 咖古三塔
'ka'lu'da'yi 咖噜达夷
'ka'sha'ba 咖沙巴
'ka'xi 咖西
'ke'ma 柯玛
'ku'zhu'da'la 库竹答拉
'la'hu'la 拉胡喇
'le'wa'da 勒瓦答
'li'jing 礼敬
'lun'bi'ni 伦比尼
'ma'ga'ta 马嘎塔
'ma'ha'guo'ti'da 马哈果提答
'ma'ha'ka'bi'na 马哈咖比那
'ma'ha'ka'sha'ba 马哈咖沙巴
'ma'ha'ka'zha'ya'na 马哈咖吒亚那
'ma'ha'mo'ga'la'na 马哈摩嘎喇那
'ma'ha'na'ma 马哈那马
'ma'la 马喇
'ma'li'ka 玛莉咖
'ma'na'da 马那答
'ma'xing'de 马兴德
'mei'de'ya 美德亚
'mi'lin'da 弥林达
'mou'ni 牟尼
'nan'da 难达
'ni'qian'tuo 尼乾陀
'ni'sa'qi'ya'ba'ji'di'ya 尼萨耆亚巴吉帝亚
'ru'chu'xi 入出息
'ru'liu'dao 入流道
'sa'du 萨度
'sang'ka'di 桑喀帝
'sang'ka'di'xie'sha 桑喀地谢沙
'sang'ka'mi'da 桑喀蜜妲
'sang'ka'sha 桑咖沙
'sha'di'li 刹帝利
'sha'ka'tian'di 沙咖天帝
'sha'li'bu'da 沙利补答
'sha'ma'nei'la 沙马内拉
'sha'ma'nei'li 沙马内莉
'sha'ma'wa'di 沙玛瓦帝
'sha'wa'ti 沙瓦提
'shi'jia 释迦
'shi'jia'mou'ni 释迦牟尼
'su'ba'da 蘇跋达
'su'pu'di 蘇菩帝
'tu'la'nan'da 土喇难达
'tu'la'zha'ya 土喇吒亚
'wa'ji 瓦基
'wa'sa 瓦萨
'wei'ba'sha'na 维巴沙那
'wei'ba'xi 维巴西
'wei'du'da'ba 维毒哒跋
'wei'sha'ka 维沙卡
'wei'sha'li 韦沙离
'wei'sha'pu 韦沙菩
'wei'sha'wa'na 韦沙瓦纳
'wu'ba'li 伍巴离
'wu'ba'nan'da 伍巴难达
'wu'bo'sa'ta 伍波萨他
'wu'da'la'nan'da'mu 伍答拉难答母
'wu'da'ya'na 伍达亚那
'wu'da'yi 伍达夷
'wu'ga 伍嘎
'wu'lu'wei'la 伍卢韦喇
'xi'qi 西奇
'xia'qun 下裙
'ya'ka 亚卡
'ya'ma 亚马
'ya'sha 亚沙
'ya'shou'ta'la 亚寿塔拉
'yan'mo 阎魔
'yan'ye'yi 掩腋衣
'ying'hui'guo 应悔过
'you'shen'jian 有身见
'you'xun 由旬
'yu'na 臾那
'zai'xue'ni 在学尼
'zhan'bu'zhou 瞻部洲
'zhan'tuo'luo 旃陀罗
'zhi'na 支那
'zhi'ti 支提
'zhu'la'ban'ta'ga 朱腊般他嘎
'zhun'da 准达
'zuo'ju 坐具
