'bang'kong'bang'wei 棒控棒位
'bei'jing'he'yi'qi'chang 北京核仪器厂
'ding'biao'qi 定标器
'dui'nei'ce'liang 堆内测量
'dui'wai'ce'liang 堆外测量
'fu'he'yu'fan'fu'he 符合与反符合
'fu'she 辐射
'he'ce 核测
'he'fu'she 核辐射
'ji'shu'qi 计数器
'mai'chong 脉冲
'qu'dong'ji'gou 驱动机构
'zhong'he'bei'jing'he'yi'qi'chang 中核北京核仪器厂
'zhong'zi'tong'liang 中子通量
'zhong'zi'zhu'liang'lv 中子注量率
