'ai'ju 爱巨
'ai'zi 矮子
'chuan'qi'tun'ji'zhe 传奇囤积者
'ci'ke 刺客
'da'bing 大兵
'feng'bao'qian'yan 风暴前沿
'feng'zi 疯子
'fo'luo'lun'sa'ren 佛罗伦萨人
'huo'ying 火鹰
'luo'li 萝莉
'mo'nv 魔女
'mo'xi'de'kui'zeng 莫西的馈赠
'nuo'fu'pao 懦夫炮
'wu'di'da'sha'chong 无敌大沙虫
'wu'di'ji'da'shi 无敌基大师
'wu'di'pi'te 无敌皮特
'wu'di'qian'lie'zhe 无敌前列者
'xiao'pian'zi 小骗子
