'a'du'wu 阿堵物
'an'le'wo 安乐窝
'ao'shuang'zhi 傲霜枝
'ba'bu'ai 八不挨
'ba'dou'cai 八斗才
'ba'long'xun 八龙荀
'ba'xia'li 八下里
'ba'yi'meng 八翼梦
'bai'ba'zi 拜把子
'bai'fei'la 白费蜡
'bai'jia'zi 摆架子
'bai'jia'zi 败家子
'bai'li'cai 百里才
'bai'ma'sheng 白马生
'bai'ri'meng 白日梦
'bai'shi'shi 百世师
'bai'shi'wen 百事问
'ban'diao'zi 半吊子
'ban'jiao'shi 绊脚石
'ban'mian'zhuang 半面妆
'ban'ping'cu 半瓶醋
'bang'dao'mang 帮倒忙
'bao'bu'ping 抱不平
'bao'fa'hu 暴发户
'bao'fo'jiao 抱佛脚
'bao'hu'san 保护伞
'bao'yan'fu 饱眼福
'bei'hei'guo 背黑锅
'bei'qun'kong 北群空
'bei'zhong'wu 杯中物
'ben'cao'jing 本草经
'bi'ao'tang 鼻凹糖
'bi'feng'gang 避风港
'bi'men'geng 闭门羹
'bi'shang'guan 壁上观
'bi'yi'niao 比翼鸟
'bian'lu'ma 变鹿马
'bian'se'long 变色龙
'biao'mian'guang 表面光
'bing'di'lian 并蒂莲
'bing'tou'lian 并头莲
'bu'cheng'qi 不成器
'bu'dao'weng 不倒翁
'bu'de'ming 不得命
'bu'er'men 不二门
'bu'hou'chen 步后尘
'bu'xiao'zi 不肖子
'bu'xuan'zhong 不旋踵
'bu'yi'jiao 布衣交
'bu'zi'liang 不自量
'ca'bian'qiu 擦边球
'ca'lan'wu 拆烂污
'ca'pi'gu 擦屁股
'chang'an'jin 长安近
'chang'an'yuan 长安远
'chang'fan'diao 唱反调
'chang'gao'diao 唱高调
'chang'jing'yin 长鲸饮
'chang'liu'shui 长流水
'chang'qing'bing 长卿病
'chang'she'fu 长舌妇
'chao'leng'fan 炒冷饭
'chao'you'yu 炒鱿鱼
'che'lun'zhan 车轮战
'chi'bai'shi 吃白食
'chi'hu'dan 吃虎胆
'chi'zhong'wu 池中物
'chou'ba'guai 丑八怪
'chu'feng'tou 出锋头
'chu'feng'tou 出风头
'chu'jiu'jiao 杵臼交
'chu'qi'tong 出气筒
'chu'sheng'du 初生犊
'chu'tou'niao 出头鸟
'chu'yang'xiang 出洋相
'chuan'yu'dao 穿窬盗
'chui'gu'shou 吹鼓手
'chui'niu'pi 吹牛皮
'cu'tan'zi 醋坛子
'cui'ming'gui 催命鬼
'cuo'an'tou 错安头
'cuo'ren'shui 错认水
'cuo'zhi'la 错支剌
'cuo'zhu'shui 错煮水
'da'bian'gu 打边鼓
'da'guang'gun 打光棍
