'a'mi'qin'shu 阿米芹属
'a'wei'shu 阿魏属
'ai'ci'su'shu 矮刺苏属
'ai'di'cao'shu 爱地草属
'ai'ma'shu 艾麻属
'ai'na'xiang'shu 艾纳香属
'ai'san'qin'shu 矮伞芹属
'ai'ze'qin'shu 矮泽芹属
'ai'zhu'lan'shu 矮柱兰属
'an'han'xian'shu 安旱苋属
'an'jue'shu 安蕨属
'an'long'hua'shu 安龙花属
'an'luo'shu 暗罗属
'an'shu 桉属
'an'xi'xiang'ke 安息香科
'an'xi'xiang'shu 安息香属
'ang'tian'lian'shu 昂天莲属
'ao'chun'jiang'shu 凹唇姜属
'ao'ru'qin'shu 凹乳芹属
'ao'she'lan'shu 凹舌兰属
'ao'yang'shu 澳杨属
'ao'zhou'jian'guo'shu 澳洲坚果属
'ba'bao'shu 八宝属
'ba'bao'shu'shu 八宝树属
'ba'dou'shu 巴豆属
'ba'dou'teng'shu 巴豆藤属
'ba'ji'tian'shu 巴戟天属
'ba'jiao'feng'ke 八角枫科
'ba'jiao'feng'shu 八角枫属
'ba'jiao'jin'pan'shu 八角金盘属
'ba'jiao'ke 芭蕉科
'ba'jiao'lian'shu 八角莲属
'ba'jiao'shu 芭蕉属
'ba'jiao'shu 八角属
'ba'qia'shu 菝葜属
'ba'rui'hua'shu 八蕊花属
'ba'shan'mu'zhu'shu 巴山木竹属
'ba'wang'shu 霸王属
'ba'yue'gua'shu 八月瓜属
'bai'bao'qin'shu 白苞芹属
'bai'bei'ye'shu 白背叶属
'bai'bu'ke 百部科
'bai'bu'shu 百部属
'bai'cha'shu'shu 白茶树属
'bai'ci'ju'shu 白刺菊属
'bai'ci'shu 白刺属
'bai'da'feng'shu 白大凤属
'bai'dian'lan'shu 白点兰属
'bai'die'lan'shu 白蝶兰属
'bai'dou'shan'shu 白豆杉属
'bai'fan'shu'shu 白饭树属
'bai'fen'teng'shu 白粉藤属
'bai'gu'ding'shu 白鼓钉属
'bai'he'ke 百合科
'bai'he'shu 百合属
'bai'hua'cai'ke 白花菜科
'bai'hua'cai'shu 白花菜属
'bai'hua'dan'shu 白花丹属
'bai'hua'hao'shu 百花蒿属
'bai'hua'xian'shu 白花苋属
'bai'ji'shu 白芨属
'bai'jiang'ke 败酱科
'bai'jiang'shu 败酱属
'bai'jie'gu'shu 白接骨属
'bai'jie'shu 白芥属
'bai'jin'hua'shu 百金花属
'bai'jin'shu 稗荩属
'bai'jiu'cao'shu 白酒草属
'bai'ju'mu'shu 白菊木属
'bai'juan'mei'shu 白鹃梅属
'bai'ke 柏科
'bai'la'mu'shu 柏拉木属
'bai'le'hua'shu 百簕花属
'bai'li'xiang'shu 百里香属
'bai'ma'gu'shu 白马骨属
'bai'ma'shu 白麻属
'bai'mai'gen'shu 百脉根属
'bai'mao'shu 白茅属
'bai'mu'shu 柏木属
'bai'neng'wei'shu 百能葳属
'bai'qian'ceng'shu 白千层属
'bai'qu'cai'shu 白屈菜属
'bai'ri'ju'shu 百日菊属
'bai'rui'cao'shu 百蕊草属
'bai'shu 稗属
'bai'shu'shu 白树属
'bai'shui'teng'shu 白水藤属
'bai'si'cao'shu 白丝草属
'bai'sui'hua'shu 白穗花属
