'bai'dai 白带
'bai'huang'dai 白黄带
'bai'ti 摆踢
'bai'zhe'bu'qu 百折不屈
'bao'qian 抱歉
'bei'ji 背肌
'bei'shen'zheng'li'dao'fu 背身整理道服
'cai'pan 裁判
'can'jia'bi'sai 参加比赛
'ce'hua'bu 侧滑步
'ce'ti 侧踢
'che'bu 撤步
'cheng'ren'zu 成人组
'da'fang'ba 大方靶
'da'tai'quan'dao'xie'hui 大跆拳道协会
'dan'shou'dao 单手刀
'dao'chang 道场
'dao'fu 道服
'dao'tong'tian'xia 道通天下
'dao'zhu 道主
'de'bu'wei 的部位
'de'ju'li 的距离
'de'zi'shi 的姿势
'di'tai 地跆
'dian'bu 垫步
'dian'zi'hu'ju 电子护具
'duan'wei 段位
'fan'fu'lian'xi 反复练习
'fan'heng'ti 反横踢
'fan'ji'heng'ti'hou'ti 反击横踢后踢
'fan'lun'ti 反抡踢
'fan'mian'ji'fa 反面技法
'fan'shou'fu'wo'cheng 反手俯卧撑
'fan'ying 反应
'fan'ying'su'du 反应速度
'fang'shou 防守
'fei'ti 飞踢
'fu'wo'cheng 俯卧撑
'gao'li 高丽
'ge'dang 搁挡
'ge'dang 格挡
'ge'zhong'tui'fa 各种腿法
'gong'jin'ji'bi'sai 公斤级比赛
'gong'jin'ji'guan'jun 公斤级冠军
'gou'ti 勾踢
'guan'shou 贯手
'guo'ji'tai'quan'dao'lian'meng 国际跆拳道联盟
'guo'ji'yuan 国技院
'guo'jia'dui 国家队
'guo'jia'ti'yu'zong'ju 国家体育总局
'han'shui 汉水
'han'wu'guan 汉武馆
'hei'dai 黑带
'heng'ti 横踢
'heng'ti'jie'shuang'fei'jie'hou'ti 横踢接双飞接后踢
'hong'dai 红带
'hong'hei'dai 红黑带
'hong'lan'dai 红蓝带
'hong'zhen'zong 洪镇宗
'hou'fang'dan'shou'zhua 后方单手抓
'hou'fang'jian'bu'zhua 后方肩部抓
'hou'fang'liang'shou'zhua 后方两手抓
'hou'gong'bu 后弓步
'hou'hua'bu 后滑步
'hou'ti 后踢
'hou'xuan'ti 后旋踢
'hu'dang 护裆
'hu'ju 护具
'hu'shen'dao'fa 护身倒法
'hu'shou 护手
'hu'tou 护头
'hu'tui 护腿
'hu'xiong 护胸
'hua'bu 滑步
'huan'bu 换步
'huang'dai 黄带
'huang'lv'dai 黄绿带
'hui'wei'dong'zuo 回位动作
'hui'xuan'ti 回旋踢
'ji'wei 级位
'jia'su 加速
'jian'bu'zhua'zheng'mian'da 肩部抓正面打
'jiang'de'yuan 讲德院
'jiao'ba 脚靶
'jiao'bei 脚背
'jiao'bu'dong'zuo'zhun'bei 脚步动作准备
'jiao'gen'di'bu 脚跟底部
'jiao'hou'gen 脚后跟
'jiao'hou'zhang 脚后掌
'jiao'lian 教练
'jiao'qian'zhang 脚前掌
'jiao'ti 脚踢
'jiao'ti'shi 脚踢时
'jiao'zhi 脚趾
'jie'xia'pi 接下劈
'jin'gang 金刚
'jin'gong 进攻
'jin'gong'shi 进攻时
'jin'ji 晋级
'jin'shun'pei 金顺培
'jing'li 敬礼
'kang'ji'da 抗击打
'ke'ji 克己
'kun'ming'tai'quan'dao'xie'hui 昆明跆拳道协会
'lan'dai 蓝带
'lan'hong'dai 蓝红带
'li'cheng'wan 李承琓
'li'jiao'yun 李教允
'li'jin'hong 李今洪
'li'liang 力量
'li'long'yu 李龙雨
'li'wo'cheng'tiao 立卧撑跳
'li'yi 礼仪
'li'yong'bian 李永变
'li'zheng 立正
'lian'chi 廉耻
'lian'xi'fang'fa 练习方法
'liang'tou'qi 两头起
'lun'ti 抡踢
'lv'dai 绿带
'lv'lan'dai 绿蓝带
'ma'bu 马步
'ma'bu'chong'quan 马步冲拳
'mu'ban 木板
'nei'ge'dang 内格挡
'ni'hao 你好
'pin'shi 品势
'ping'yuan 平原
'qian'gong'bu 前弓步
'qian'hua'bu 前滑步
'qian'jiao'fan'gou'ti 前脚反勾踢
'qian'shang'ti 前上踢
'qian'ti 前踢
'qian'tui'heng'ti 前腿横踢
'qian'tui'xia'pi 前腿下劈
'qian'yue'bu 前跃步
'qing'tao'guan 青涛馆
'qiu'bo 邱波
'quan'wo'cheng 拳卧撑
'ren'nai 忍耐
'san'da 散打
'san'fei'ti'jie'hou'bai'tui 三飞踢接后摆腿
'sha'dai 沙袋
'shang'bu 上步
'shang'ge'dang 上格挡
'shang'ti 上踢
'shao'xi 稍息
'shi'jie'ji'bi'sai 世界级比赛
'shi'jie'ji'tai'quan'dao'bi'sai 世界级跆拳道比赛
'shi'jie'tai'quan'dao'lian'meng 世界跆拳道联盟
'shi'jin 十进
'shi'jin'sai 世锦赛
'shi'zhan 实战
'shi'zhan'zhong 实战中
'shou'dao 手刀
'shou'dao'nei'ge'dang 手刀内格挡
'shou'dao'wai'ge'dang 手刀外格挡
'shuang'shou'dao 双手刀
'song'wu'guan 松武馆
'su'du'he'gao'du 速度和高度
'suo'chu'wei'zhi 所处位置
