'bian'ya'qi 变压器
'bian'ya'qi'tai 变压器台
'die'luo'shi'rong'duan'qi 跌落式熔断器
'fen'zhi'kai 分支开
'gan'shang'bian 杆上变
'gan'shi'bian 干式变
'ge'li'dao'zha 隔离刀闸
'gong'bian 公变
'huan'wang'gui 环网柜
'kai'guan 开关
'kai'guan'zhan 开关站
'mei'shi'xiang'bian 美式箱变
'ou'shi'xiang'bian 欧式箱变
'rong'guan 熔管
'shi'nei'bian 室内变
'xiao'qu'bian 小区变
'you'jin'shi'pei'bian 油浸式配变
'zhu'shang'kai'guan 柱上开关
'zhu'shang'zhen'kong'kai'guan 柱上真空开关
'zhuan'bian 专变
'zong'he'bian 综合变
