'biao'zi 表子
'chan'yu 谄谀
'chong'yang'mei'wai 崇洋魅外
'chu'ci'qing'jie 初次情结
'dao'mei 倒楣
'fang'ai 防碍
'hu'mei'zi 狐猸子
'ji'huo 愱火
'ji'huo'zhong'shao 愱火中烧
'ji'ren 伎人
'jiao'ruo 憍弱
'kai'ren'zuo 开刃作
'lu'li 虏隶
'mei'huo 魅惑
'nan'ji 男伎
'ning'chen 佞臣
'piao'chang 螵倡
'piao'ke 螵客
'qian'qi 慊弃
'qiang'han 强忓
'qiao'ni'ba'de 劁你爸的
'qie'qie 怯怯
'she'yi 涉疑
'tan'lin 贪惏
'wu'ru 污辱
'xiao'jiao'fu 小憍夫
'xiao'xian'sheng 小先生
'xie'nv'tan'lang 谢女檀郎
'yao'jing 祅精
'yi'dai'tian'jiao 一代天娇
